iter	Logloss
0	0.6809248657
5	0.6303187783
10	0.5937708832
15	0.567588519
20	0.5482075895
25	0.5335297309
30	0.5220608059
35	0.5129535115
40	0.5060261343
45	0.5003019154
50	0.4957143454
55	0.4920216841
60	0.4883075952
65	0.48599649
70	0.4829950027
75	0.4801404399
80	0.4778446754
85	0.4750386586
90	0.4724432551
95	0.470668729
100	0.4686707726
105	0.4670078378
110	0.465592829
115	0.4642343829
120	0.4633307152
125	0.4621310704
130	0.4612763445
135	0.4604051892
140	0.4597251001
145	0.4590400625
150	0.4584201486
155	0.4578392795
160	0.4572440098
165	0.4567238602
170	0.4562536422
175	0.4557865913
180	0.455306476
185	0.4548957405
190	0.4545300373
195	0.4540446766
200	0.453619491
205	0.4533221283
210	0.453093601
215	0.4527754541
220	0.4525165423
225	0.4522233859
230	0.4519798148
235	0.451702494
240	0.4515004913
245	0.4513230337
250	0.4510969807
255	0.4508086245
260	0.4506144901
265	0.4504430204
270	0.450298966
275	0.4500859279
280	0.4497885652
285	0.4496021011
290	0.4494424586
295	0.4492359032
300	0.4490548331
305	0.4489008815
310	0.4486806183
315	0.4483224371
320	0.4479930569
325	0.4477321656
330	0.4475817275
335	0.447463307
340	0.4472958456
345	0.4470572231
350	0.4469028261
355	0.4468070208
360	0.4466686078
365	0.4465413788
370	0.4463972749
375	0.4462452038
380	0.4461512295
385	0.4460129155
390	0.4458822224
395	0.4457469766
400	0.4456516661
405	0.4455379963
410	0.4454094806
415	0.4452979882
420	0.4451339414
425	0.445047489
430	0.4448548886
435	0.4447967423
440	0.4447246409
445	0.444607507
450	0.4445074954
455	0.4444004567
460	0.4443147466
465	0.4442263642
470	0.4441007187
475	0.4440142168
480	0.4438960932
485	0.4438151832
490	0.4436658833
495	0.443518068
500	0.443419343
505	0.4433624834
510	0.4432295139
515	0.4430961485
520	0.4429685731
525	0.4428659387
530	0.4428024479
535	0.4426513665
540	0.4425784238
545	0.4425133989
550	0.4424181379
555	0.4423194129
560	0.4422549324
565	0.4421865424
570	0.4421402728
575	0.4420473377
580	0.4419431692
585	0.441884924
590	0.4418019851
595	0.4417066251
600	0.4416358598
605	0.4415768723
610	0.4414920034
615	0.4413878349
620	0.4413225626
625	0.4412701567
630	0.4412158703
635	0.4411587138
640	0.4410409366
645	0.4409296916
650	0.440842002
655	0.4407046778
660	0.4406448489
665	0.4406030826
670	0.4404827816
675	0.4404416585
680	0.4403631239
685	0.4402996826
690	0.4401566179
695	0.4400257764
700	0.4399286844
705	0.4398500508
710	0.4397698832
715	0.4396952085
720	0.439603461
725	0.4395614472
730	0.439497511
735	0.4393912641
740	0.439251911
745	0.4391663988
750	0.4391020667
755	0.4390670305
760	0.4389954239
765	0.4389262422
770	0.4388647308
775	0.4387633831
780	0.4386803947
785	0.4385887957
790	0.4385212965
795	0.4384547375
800	0.4383668995
805	0.43830039
810	0.438244916
815	0.4381703897
820	0.4381324338
825	0.4379826885
830	0.4379386458
835	0.4378587256
840	0.437810625
845	0.4377493115
850	0.4376692923
855	0.4376231712
860	0.4375856112
865	0.4375067301
870	0.4374367566
875	0.4373325881
880	0.4372604867
