2024-01-25 01:51:42,946 INFO    MainThread:699006 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_setup.py:_flush():76] Configure stats pid to 699006
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/.config/wandb/settings
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_setup.py:_flush():76] Loading settings from /data/ephemeral/level2-dkt-recsys-06/wandb/settings
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': 'LGBM_training.py', 'entity': 'boostcamp6-recsys6', 'project': 'lightgbm-sweep'}
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code/boost/LGBM_training.py', 'program_abspath': '/data/ephemeral/level2-dkt-recsys-06/code/boost/LGBM_training.py', 'program': '/data/ephemeral/level2-dkt-recsys-06/code/boost/LGBM_training.py'}
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_init.py:_log_setup():526] Logging user logs to /data/ephemeral/level2-dkt-recsys-06/wandb/run-20240125_015142-96802a90/logs/debug.log
2024-01-25 01:51:42,947 INFO    MainThread:699006 [wandb_init.py:_log_setup():527] Logging internal logs to /data/ephemeral/level2-dkt-recsys-06/wandb/run-20240125_015142-96802a90/logs/debug-internal.log
2024-01-25 01:51:42,948 INFO    MainThread:699006 [wandb_init.py:init():566] calling init triggers
2024-01-25 01:51:42,948 INFO    MainThread:699006 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'project': 'lightgbm-sweep', 'method': 'bayes', 'metric': {'name': 'auc', 'goal': 'maximize'}, 'parameters': {'num_leaves': {'min': 20, 'max': 60}, 'learning_rate': {'min': 0.01, 'max': 0.4}, 'min_data_in_leaf': {'min': 5, 'max': 120}, 'feature_fraction': {'min': 0.3, 'max': 1.0}, 'bagging_fraction': {'min': 0.7, 'max': 1.0}, 'bagging_freq': {'min': 5, 'max': 20}, 'lambda_l1': {'min': 0.0, 'max': 10.0}, 'lambda_l2': {'min': 0.0, 'max': 15.0}, 'max_depth': {'min': 10, 'max': 50}, 'ratio': {'min': 0.05, 'max': 0.3}}}
2024-01-25 01:51:42,948 INFO    MainThread:699006 [wandb_init.py:init():616] starting backend
2024-01-25 01:51:42,948 INFO    MainThread:699006 [wandb_init.py:init():620] setting up manager
2024-01-25 01:51:42,960 INFO    MainThread:699006 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-25 01:51:42,964 INFO    MainThread:699006 [wandb_init.py:init():628] backend started and connected
2024-01-25 01:51:42,986 INFO    MainThread:699006 [wandb_init.py:init():720] updated telemetry
2024-01-25 01:51:43,061 INFO    MainThread:699006 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-25 01:51:44,399 INFO    MainThread:699006 [wandb_run.py:_on_init():2254] communicating current version
2024-01-25 01:51:44,600 INFO    MainThread:699006 [wandb_run.py:_on_init():2263] got version response 
2024-01-25 01:51:44,600 INFO    MainThread:699006 [wandb_init.py:init():804] starting run threads in backend
2024-01-25 01:51:48,157 INFO    MainThread:699006 [wandb_run.py:_console_start():2233] atexit reg
2024-01-25 01:51:48,157 INFO    MainThread:699006 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-25 01:51:48,158 INFO    MainThread:699006 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-25 01:51:48,158 INFO    MainThread:699006 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-25 01:51:48,164 INFO    MainThread:699006 [wandb_init.py:init():847] run started, returning control to user process
