[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.811494	valid_1's auc: 0.811604
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.827346	valid_1's auc: 0.827363
[3]	training's auc: 0.832858	valid_1's auc: 0.832922
[4]	training's auc: 0.836723	valid_1's auc: 0.83682
[5]	training's auc: 0.838908	valid_1's auc: 0.839022
[6]	training's auc: 0.840795	valid_1's auc: 0.840776
[7]	training's auc: 0.842468	valid_1's auc: 0.842175
[8]	training's auc: 0.843885	valid_1's auc: 0.843445
[9]	training's auc: 0.84525	valid_1's auc: 0.844622
[10]	training's auc: 0.846157	valid_1's auc: 0.845226
[11]	training's auc: 0.846985	valid_1's auc: 0.845791
[12]	training's auc: 0.848134	valid_1's auc: 0.846729
[13]	training's auc: 0.849252	valid_1's auc: 0.847672
[14]	training's auc: 0.849959	valid_1's auc: 0.847986
[15]	training's auc: 0.850699	valid_1's auc: 0.848574
[16]	training's auc: 0.851636	valid_1's auc: 0.84923
[17]	training's auc: 0.852045	valid_1's auc: 0.849721
[18]	training's auc: 0.852807	valid_1's auc: 0.850184
[19]	training's auc: 0.853542	valid_1's auc: 0.850684
[20]	training's auc: 0.853941	valid_1's auc: 0.850906
[21]	training's auc: 0.854457	valid_1's auc: 0.851186
[22]	training's auc: 0.854831	valid_1's auc: 0.851403
[23]	training's auc: 0.855427	valid_1's auc: 0.85194
[24]	training's auc: 0.855848	valid_1's auc: 0.852118
[25]	training's auc: 0.856509	valid_1's auc: 0.852563
[26]	training's auc: 0.857151	valid_1's auc: 0.85305
[27]	training's auc: 0.857636	valid_1's auc: 0.853285
[28]	training's auc: 0.857991	valid_1's auc: 0.853458
[29]	training's auc: 0.858415	valid_1's auc: 0.853573
[30]	training's auc: 0.858764	valid_1's auc: 0.853653
[31]	training's auc: 0.859101	valid_1's auc: 0.853773
[32]	training's auc: 0.859453	valid_1's auc: 0.853994
[33]	training's auc: 0.859885	valid_1's auc: 0.854186
[34]	training's auc: 0.860094	valid_1's auc: 0.854228
[35]	training's auc: 0.860489	valid_1's auc: 0.854339
[36]	training's auc: 0.861038	valid_1's auc: 0.854693
[37]	training's auc: 0.861295	valid_1's auc: 0.854691
[38]	training's auc: 0.86147	valid_1's auc: 0.854715
[39]	training's auc: 0.861778	valid_1's auc: 0.85486
[40]	training's auc: 0.862068	valid_1's auc: 0.854966
[41]	training's auc: 0.862271	valid_1's auc: 0.85498
[42]	training's auc: 0.86245	valid_1's auc: 0.85498
[43]	training's auc: 0.862615	valid_1's auc: 0.854979
[44]	training's auc: 0.862876	valid_1's auc: 0.855163
[45]	training's auc: 0.863122	valid_1's auc: 0.855197
[46]	training's auc: 0.863254	valid_1's auc: 0.855222
[47]	training's auc: 0.863641	valid_1's auc: 0.855423
[48]	training's auc: 0.863943	valid_1's auc: 0.855483
[49]	training's auc: 0.864304	valid_1's auc: 0.855576
[50]	training's auc: 0.864446	valid_1's auc: 0.855583
[51]	training's auc: 0.864652	valid_1's auc: 0.855607
[52]	training's auc: 0.86482	valid_1's auc: 0.855626
[53]	training's auc: 0.865019	valid_1's auc: 0.855627
[54]	training's auc: 0.86513	valid_1's auc: 0.855611
[55]	training's auc: 0.865488	valid_1's auc: 0.855741
[56]	training's auc: 0.865698	valid_1's auc: 0.855809
[57]	training's auc: 0.865918	valid_1's auc: 0.85599
[58]	training's auc: 0.866094	valid_1's auc: 0.856051
[59]	training's auc: 0.866214	valid_1's auc: 0.856048
[60]	training's auc: 0.866405	valid_1's auc: 0.856063
[61]	training's auc: 0.866654	valid_1's auc: 0.856084
[62]	training's auc: 0.866839	valid_1's auc: 0.856123
[63]	training's auc: 0.866977	valid_1's auc: 0.856129
[64]	training's auc: 0.867216	valid_1's auc: 0.856198
[65]	training's auc: 0.867425	valid_1's auc: 0.856237
[66]	training's auc: 0.867633	valid_1's auc: 0.856316
[67]	training's auc: 0.867863	valid_1's auc: 0.856323
[68]	training's auc: 0.867972	valid_1's auc: 0.85631
[69]	training's auc: 0.868205	valid_1's auc: 0.856324
[70]	training's auc: 0.868399	valid_1's auc: 0.85632
[71]	training's auc: 0.868496	valid_1's auc: 0.856308
[72]	training's auc: 0.868869	valid_1's auc: 0.856466
[73]	training's auc: 0.869033	valid_1's auc: 0.856445
[74]	training's auc: 0.869242	valid_1's auc: 0.856404
[75]	training's auc: 0.869446	valid_1's auc: 0.856392
[76]	training's auc: 0.869608	valid_1's auc: 0.856489
[77]	training's auc: 0.86978	valid_1's auc: 0.856502
[78]	training's auc: 0.869889	valid_1's auc: 0.856503
[79]	training's auc: 0.869997	valid_1's auc: 0.856497
[80]	training's auc: 0.870175	valid_1's auc: 0.85654
[81]	training's auc: 0.870497	valid_1's auc: 0.856691
[82]	training's auc: 0.870744	valid_1's auc: 0.856813
[83]	training's auc: 0.870987	valid_1's auc: 0.856886
[84]	training's auc: 0.871158	valid_1's auc: 0.856884
[85]	training's auc: 0.87128	valid_1's auc: 0.85687
[86]	training's auc: 0.871377	valid_1's auc: 0.856868
[87]	training's auc: 0.871432	valid_1's auc: 0.856875
[88]	training's auc: 0.871733	valid_1's auc: 0.857018
[89]	training's auc: 0.871875	valid_1's auc: 0.856993
[90]	training's auc: 0.872073	valid_1's auc: 0.856978
[91]	training's auc: 0.872179	valid_1's auc: 0.856984
[92]	training's auc: 0.872268	valid_1's auc: 0.85698
[93]	training's auc: 0.872402	valid_1's auc: 0.856998
[94]	training's auc: 0.872562	valid_1's auc: 0.857063
[95]	training's auc: 0.872788	valid_1's auc: 0.857099
[96]	training's auc: 0.873031	valid_1's auc: 0.85718
[97]	training's auc: 0.873156	valid_1's auc: 0.857184
[98]	training's auc: 0.873289	valid_1's auc: 0.857161
[99]	training's auc: 0.873502	valid_1's auc: 0.85723
[100]	training's auc: 0.873614	valid_1's auc: 0.857221
[101]	training's auc: 0.873846	valid_1's auc: 0.857213
[102]	training's auc: 0.873934	valid_1's auc: 0.857203
[103]	training's auc: 0.874119	valid_1's auc: 0.857245
[104]	training's auc: 0.874313	valid_1's auc: 0.857238
[105]	training's auc: 0.874399	valid_1's auc: 0.857226
[106]	training's auc: 0.874478	valid_1's auc: 0.857214
[107]	training's auc: 0.874626	valid_1's auc: 0.857308
[108]	training's auc: 0.874714	valid_1's auc: 0.857312
[109]	training's auc: 0.87491	valid_1's auc: 0.857332
[110]	training's auc: 0.875005	valid_1's auc: 0.85731
[111]	training's auc: 0.875196	valid_1's auc: 0.857365
[112]	training's auc: 0.875295	valid_1's auc: 0.857353
[113]	training's auc: 0.875366	valid_1's auc: 0.857345
[114]	training's auc: 0.875503	valid_1's auc: 0.857373
[115]	training's auc: 0.875675	valid_1's auc: 0.857449
[116]	training's auc: 0.87582	valid_1's auc: 0.857483
[117]	training's auc: 0.875899	valid_1's auc: 0.857491
[118]	training's auc: 0.876056	valid_1's auc: 0.857497
[119]	training's auc: 0.87615	valid_1's auc: 0.85748
[120]	training's auc: 0.876234	valid_1's auc: 0.8575
[121]	training's auc: 0.876331	valid_1's auc: 0.857509
[122]	training's auc: 0.876469	valid_1's auc: 0.857479
[123]	training's auc: 0.876616	valid_1's auc: 0.857468
[124]	training's auc: 0.876687	valid_1's auc: 0.85746
[125]	training's auc: 0.876769	valid_1's auc: 0.857437
[126]	training's auc: 0.877036	valid_1's auc: 0.857531
[127]	training's auc: 0.877101	valid_1's auc: 0.857525
[128]	training's auc: 0.877206	valid_1's auc: 0.85755
[129]	training's auc: 0.877278	valid_1's auc: 0.857544
[130]	training's auc: 0.877358	valid_1's auc: 0.857549
[131]	training's auc: 0.877565	valid_1's auc: 0.857589
[132]	training's auc: 0.877705	valid_1's auc: 0.857655
[133]	training's auc: 0.877882	valid_1's auc: 0.857681
[134]	training's auc: 0.87801	valid_1's auc: 0.85773
[135]	training's auc: 0.878113	valid_1's auc: 0.857715
[136]	training's auc: 0.878257	valid_1's auc: 0.857738
[137]	training's auc: 0.878418	valid_1's auc: 0.857742
[138]	training's auc: 0.878497	valid_1's auc: 0.857739
[139]	training's auc: 0.878641	valid_1's auc: 0.857748
[140]	training's auc: 0.878739	valid_1's auc: 0.857744
[141]	training's auc: 0.878893	valid_1's auc: 0.857729
[142]	training's auc: 0.879003	valid_1's auc: 0.857796
[143]	training's auc: 0.879064	valid_1's auc: 0.857803
[144]	training's auc: 0.879108	valid_1's auc: 0.857843
[145]	training's auc: 0.879185	valid_1's auc: 0.85784
[146]	training's auc: 0.87927	valid_1's auc: 0.857839
[147]	training's auc: 0.879358	valid_1's auc: 0.857829
[148]	training's auc: 0.879464	valid_1's auc: 0.857828
[149]	training's auc: 0.879531	valid_1's auc: 0.857818
[150]	training's auc: 0.879649	valid_1's auc: 0.857774
[151]	training's auc: 0.879728	valid_1's auc: 0.85777
[152]	training's auc: 0.879859	valid_1's auc: 0.857758
[153]	training's auc: 0.88	valid_1's auc: 0.85775
[154]	training's auc: 0.880146	valid_1's auc: 0.857738
[155]	training's auc: 0.880216	valid_1's auc: 0.85774
[156]	training's auc: 0.880294	valid_1's auc: 0.85773
[157]	training's auc: 0.880385	valid_1's auc: 0.857737
[158]	training's auc: 0.880459	valid_1's auc: 0.857751
[159]	training's auc: 0.880539	valid_1's auc: 0.857767
[160]	training's auc: 0.880717	valid_1's auc: 0.857876
[161]	training's auc: 0.880819	valid_1's auc: 0.857853
[162]	training's auc: 0.880884	valid_1's auc: 0.857852
[163]	training's auc: 0.881007	valid_1's auc: 0.857854
[164]	training's auc: 0.881072	valid_1's auc: 0.85785
[165]	training's auc: 0.881141	valid_1's auc: 0.857846
[166]	training's auc: 0.881207	valid_1's auc: 0.857837
[167]	training's auc: 0.881346	valid_1's auc: 0.857837
[168]	training's auc: 0.881368	valid_1's auc: 0.857827
[169]	training's auc: 0.881557	valid_1's auc: 0.857862
[170]	training's auc: 0.881633	valid_1's auc: 0.857843
[171]	training's auc: 0.881691	valid_1's auc: 0.857826
[172]	training's auc: 0.88179	valid_1's auc: 0.85781
[173]	training's auc: 0.881859	valid_1's auc: 0.857822
[174]	training's auc: 0.882043	valid_1's auc: 0.857841
[175]	training's auc: 0.882106	valid_1's auc: 0.857838
[176]	training's auc: 0.882178	valid_1's auc: 0.857834
[177]	training's auc: 0.882247	valid_1's auc: 0.857814
[178]	training's auc: 0.882362	valid_1's auc: 0.857815
[179]	training's auc: 0.882561	valid_1's auc: 0.857807
[180]	training's auc: 0.882649	valid_1's auc: 0.857798
[181]	training's auc: 0.88275	valid_1's auc: 0.85777
[182]	training's auc: 0.882828	valid_1's auc: 0.857765
[183]	training's auc: 0.882905	valid_1's auc: 0.857753
[184]	training's auc: 0.882954	valid_1's auc: 0.857745
[185]	training's auc: 0.883126	valid_1's auc: 0.857779
[186]	training's auc: 0.883214	valid_1's auc: 0.857774
[187]	training's auc: 0.883345	valid_1's auc: 0.857753
[188]	training's auc: 0.883444	valid_1's auc: 0.857756
[189]	training's auc: 0.883539	valid_1's auc: 0.85776
[190]	training's auc: 0.883602	valid_1's auc: 0.857768
Early stopping, best iteration is:
[160]	training's auc: 0.880717	valid_1's auc: 0.857876
VALID AUC : 0.8578760711744959 ACC : 0.8028033274227032
