[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.820511	valid_1's auc: 0.820461
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.825821	valid_1's auc: 0.82591
[3]	training's auc: 0.831877	valid_1's auc: 0.831992
[4]	training's auc: 0.834459	valid_1's auc: 0.834458
[5]	training's auc: 0.836209	valid_1's auc: 0.836142
[6]	training's auc: 0.837791	valid_1's auc: 0.837755
[7]	training's auc: 0.839029	valid_1's auc: 0.838854
[8]	training's auc: 0.840464	valid_1's auc: 0.840224
[9]	training's auc: 0.841034	valid_1's auc: 0.840673
[10]	training's auc: 0.841612	valid_1's auc: 0.841151
[11]	training's auc: 0.842484	valid_1's auc: 0.842043
[12]	training's auc: 0.843554	valid_1's auc: 0.842886
[13]	training's auc: 0.84496	valid_1's auc: 0.844189
[14]	training's auc: 0.845627	valid_1's auc: 0.844648
[15]	training's auc: 0.84659	valid_1's auc: 0.845541
[16]	training's auc: 0.847608	valid_1's auc: 0.846318
[17]	training's auc: 0.848057	valid_1's auc: 0.84678
[18]	training's auc: 0.848822	valid_1's auc: 0.847338
[19]	training's auc: 0.849652	valid_1's auc: 0.847998
[20]	training's auc: 0.850325	valid_1's auc: 0.848545
[21]	training's auc: 0.851095	valid_1's auc: 0.849099
[22]	training's auc: 0.851614	valid_1's auc: 0.84947
[23]	training's auc: 0.852013	valid_1's auc: 0.849869
[24]	training's auc: 0.8527	valid_1's auc: 0.850349
[25]	training's auc: 0.853301	valid_1's auc: 0.850744
[26]	training's auc: 0.853861	valid_1's auc: 0.851113
[27]	training's auc: 0.854248	valid_1's auc: 0.85137
[28]	training's auc: 0.854571	valid_1's auc: 0.851628
[29]	training's auc: 0.855211	valid_1's auc: 0.852065
[30]	training's auc: 0.855733	valid_1's auc: 0.852402
[31]	training's auc: 0.856073	valid_1's auc: 0.852583
[32]	training's auc: 0.856534	valid_1's auc: 0.852901
[33]	training's auc: 0.857104	valid_1's auc: 0.8533
[34]	training's auc: 0.857615	valid_1's auc: 0.853582
[35]	training's auc: 0.858131	valid_1's auc: 0.8539
[36]	training's auc: 0.85842	valid_1's auc: 0.854015
[37]	training's auc: 0.858624	valid_1's auc: 0.854167
[38]	training's auc: 0.859009	valid_1's auc: 0.854336
[39]	training's auc: 0.859312	valid_1's auc: 0.85452
[40]	training's auc: 0.859542	valid_1's auc: 0.854643
[41]	training's auc: 0.859857	valid_1's auc: 0.854715
[42]	training's auc: 0.860162	valid_1's auc: 0.854833
[43]	training's auc: 0.860535	valid_1's auc: 0.85499
[44]	training's auc: 0.860801	valid_1's auc: 0.855178
[45]	training's auc: 0.861047	valid_1's auc: 0.85525
[46]	training's auc: 0.861344	valid_1's auc: 0.855382
[47]	training's auc: 0.861632	valid_1's auc: 0.85544
[48]	training's auc: 0.861752	valid_1's auc: 0.855521
[49]	training's auc: 0.862095	valid_1's auc: 0.85568
[50]	training's auc: 0.862473	valid_1's auc: 0.855889
[51]	training's auc: 0.862736	valid_1's auc: 0.856034
[52]	training's auc: 0.862975	valid_1's auc: 0.856081
[53]	training's auc: 0.863184	valid_1's auc: 0.856151
[54]	training's auc: 0.863381	valid_1's auc: 0.856221
[55]	training's auc: 0.863579	valid_1's auc: 0.856294
[56]	training's auc: 0.863768	valid_1's auc: 0.856293
[57]	training's auc: 0.863825	valid_1's auc: 0.856373
[58]	training's auc: 0.864016	valid_1's auc: 0.856433
[59]	training's auc: 0.864284	valid_1's auc: 0.856545
[60]	training's auc: 0.864497	valid_1's auc: 0.856632
[61]	training's auc: 0.864689	valid_1's auc: 0.856652
[62]	training's auc: 0.864902	valid_1's auc: 0.856739
[63]	training's auc: 0.865233	valid_1's auc: 0.856904
[64]	training's auc: 0.865317	valid_1's auc: 0.856932
[65]	training's auc: 0.865546	valid_1's auc: 0.856914
[66]	training's auc: 0.865736	valid_1's auc: 0.857035
[67]	training's auc: 0.865892	valid_1's auc: 0.8571
[68]	training's auc: 0.866068	valid_1's auc: 0.857142
[69]	training's auc: 0.866321	valid_1's auc: 0.857281
[70]	training's auc: 0.866596	valid_1's auc: 0.857423
[71]	training's auc: 0.866767	valid_1's auc: 0.857455
[72]	training's auc: 0.866964	valid_1's auc: 0.857532
[73]	training's auc: 0.867087	valid_1's auc: 0.857542
[74]	training's auc: 0.867317	valid_1's auc: 0.857678
[75]	training's auc: 0.867469	valid_1's auc: 0.857682
[76]	training's auc: 0.867678	valid_1's auc: 0.857787
[77]	training's auc: 0.867745	valid_1's auc: 0.85781
[78]	training's auc: 0.867884	valid_1's auc: 0.857846
[79]	training's auc: 0.86806	valid_1's auc: 0.857911
[80]	training's auc: 0.86826	valid_1's auc: 0.857972
[81]	training's auc: 0.868389	valid_1's auc: 0.858
[82]	training's auc: 0.868538	valid_1's auc: 0.858059
[83]	training's auc: 0.868798	valid_1's auc: 0.858156
[84]	training's auc: 0.869054	valid_1's auc: 0.858243
[85]	training's auc: 0.869212	valid_1's auc: 0.85828
[86]	training's auc: 0.869327	valid_1's auc: 0.858306
[87]	training's auc: 0.869506	valid_1's auc: 0.858331
[88]	training's auc: 0.869716	valid_1's auc: 0.85839
[89]	training's auc: 0.869886	valid_1's auc: 0.85849
[90]	training's auc: 0.870067	valid_1's auc: 0.858451
[91]	training's auc: 0.870152	valid_1's auc: 0.858443
[92]	training's auc: 0.870249	valid_1's auc: 0.858442
[93]	training's auc: 0.870372	valid_1's auc: 0.858466
[94]	training's auc: 0.870529	valid_1's auc: 0.858471
[95]	training's auc: 0.870689	valid_1's auc: 0.858538
[96]	training's auc: 0.870842	valid_1's auc: 0.858523
[97]	training's auc: 0.870961	valid_1's auc: 0.858542
[98]	training's auc: 0.871093	valid_1's auc: 0.858574
[99]	training's auc: 0.871245	valid_1's auc: 0.858631
[100]	training's auc: 0.871411	valid_1's auc: 0.858685
[101]	training's auc: 0.871604	valid_1's auc: 0.858754
[102]	training's auc: 0.871782	valid_1's auc: 0.858808
[103]	training's auc: 0.872021	valid_1's auc: 0.858894
[104]	training's auc: 0.872222	valid_1's auc: 0.859005
[105]	training's auc: 0.872386	valid_1's auc: 0.859042
[106]	training's auc: 0.87256	valid_1's auc: 0.859063
[107]	training's auc: 0.872696	valid_1's auc: 0.8591
[108]	training's auc: 0.87285	valid_1's auc: 0.859098
[109]	training's auc: 0.873014	valid_1's auc: 0.859144
[110]	training's auc: 0.873077	valid_1's auc: 0.859144
[111]	training's auc: 0.873205	valid_1's auc: 0.859167
[112]	training's auc: 0.873355	valid_1's auc: 0.859193
[113]	training's auc: 0.873545	valid_1's auc: 0.859226
[114]	training's auc: 0.873672	valid_1's auc: 0.859249
[115]	training's auc: 0.873791	valid_1's auc: 0.859284
[116]	training's auc: 0.873926	valid_1's auc: 0.85933
[117]	training's auc: 0.874004	valid_1's auc: 0.859322
[118]	training's auc: 0.874168	valid_1's auc: 0.859355
[119]	training's auc: 0.874261	valid_1's auc: 0.859369
[120]	training's auc: 0.874316	valid_1's auc: 0.859435
[121]	training's auc: 0.874405	valid_1's auc: 0.859437
[122]	training's auc: 0.874505	valid_1's auc: 0.859432
[123]	training's auc: 0.874562	valid_1's auc: 0.859483
[124]	training's auc: 0.874616	valid_1's auc: 0.859474
[125]	training's auc: 0.874681	valid_1's auc: 0.859465
[126]	training's auc: 0.874736	valid_1's auc: 0.859453
[127]	training's auc: 0.874882	valid_1's auc: 0.859479
[128]	training's auc: 0.875037	valid_1's auc: 0.859499
[129]	training's auc: 0.875181	valid_1's auc: 0.859523
[130]	training's auc: 0.875362	valid_1's auc: 0.859572
[131]	training's auc: 0.875468	valid_1's auc: 0.85956
[132]	training's auc: 0.875641	valid_1's auc: 0.859594
[133]	training's auc: 0.875772	valid_1's auc: 0.859603
[134]	training's auc: 0.875864	valid_1's auc: 0.859623
[135]	training's auc: 0.875963	valid_1's auc: 0.85959
[136]	training's auc: 0.876012	valid_1's auc: 0.859597
[137]	training's auc: 0.876165	valid_1's auc: 0.859638
[138]	training's auc: 0.876319	valid_1's auc: 0.859635
[139]	training's auc: 0.87648	valid_1's auc: 0.859672
[140]	training's auc: 0.87658	valid_1's auc: 0.859695
[141]	training's auc: 0.876711	valid_1's auc: 0.859725
[142]	training's auc: 0.87684	valid_1's auc: 0.859786
[143]	training's auc: 0.876998	valid_1's auc: 0.859806
[144]	training's auc: 0.877068	valid_1's auc: 0.859866
[145]	training's auc: 0.877152	valid_1's auc: 0.859909
[146]	training's auc: 0.877255	valid_1's auc: 0.859933
[147]	training's auc: 0.877337	valid_1's auc: 0.859935
[148]	training's auc: 0.877482	valid_1's auc: 0.859976
[149]	training's auc: 0.8775	valid_1's auc: 0.859974
[150]	training's auc: 0.877603	valid_1's auc: 0.859961
[151]	training's auc: 0.877687	valid_1's auc: 0.859963
[152]	training's auc: 0.877819	valid_1's auc: 0.859964
[153]	training's auc: 0.877964	valid_1's auc: 0.860005
[154]	training's auc: 0.878069	valid_1's auc: 0.860049
[155]	training's auc: 0.878208	valid_1's auc: 0.86007
[156]	training's auc: 0.878301	valid_1's auc: 0.860117
[157]	training's auc: 0.87836	valid_1's auc: 0.860133
[158]	training's auc: 0.878468	valid_1's auc: 0.860128
[159]	training's auc: 0.878523	valid_1's auc: 0.860196
[160]	training's auc: 0.878596	valid_1's auc: 0.860197
[161]	training's auc: 0.878643	valid_1's auc: 0.860187
[162]	training's auc: 0.878771	valid_1's auc: 0.860188
[163]	training's auc: 0.87888	valid_1's auc: 0.860234
[164]	training's auc: 0.878931	valid_1's auc: 0.860223
[165]	training's auc: 0.879065	valid_1's auc: 0.860222
[166]	training's auc: 0.879209	valid_1's auc: 0.860237
[167]	training's auc: 0.879307	valid_1's auc: 0.860257
[168]	training's auc: 0.879424	valid_1's auc: 0.860298
[169]	training's auc: 0.879508	valid_1's auc: 0.860303
