[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.807432	valid_1's auc: 0.806747
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.816109	valid_1's auc: 0.81553
[3]	training's auc: 0.824034	valid_1's auc: 0.823684
[4]	training's auc: 0.824449	valid_1's auc: 0.823977
[5]	training's auc: 0.827674	valid_1's auc: 0.827248
[6]	training's auc: 0.830132	valid_1's auc: 0.829748
[7]	training's auc: 0.831661	valid_1's auc: 0.83128
[8]	training's auc: 0.832143	valid_1's auc: 0.831658
[9]	training's auc: 0.831704	valid_1's auc: 0.831079
[10]	training's auc: 0.832554	valid_1's auc: 0.831747
[11]	training's auc: 0.83327	valid_1's auc: 0.832448
[12]	training's auc: 0.833052	valid_1's auc: 0.832194
[13]	training's auc: 0.833732	valid_1's auc: 0.832806
[14]	training's auc: 0.833268	valid_1's auc: 0.832329
[15]	training's auc: 0.834653	valid_1's auc: 0.833691
[16]	training's auc: 0.835626	valid_1's auc: 0.834597
[17]	training's auc: 0.836688	valid_1's auc: 0.835664
[18]	training's auc: 0.837484	valid_1's auc: 0.836344
[19]	training's auc: 0.838003	valid_1's auc: 0.836859
[20]	training's auc: 0.83895	valid_1's auc: 0.837807
[21]	training's auc: 0.839179	valid_1's auc: 0.83798
[22]	training's auc: 0.839965	valid_1's auc: 0.838726
[23]	training's auc: 0.840639	valid_1's auc: 0.839412
[24]	training's auc: 0.841125	valid_1's auc: 0.839834
[25]	training's auc: 0.841483	valid_1's auc: 0.84011
[26]	training's auc: 0.842076	valid_1's auc: 0.840629
[27]	training's auc: 0.842519	valid_1's auc: 0.841088
[28]	training's auc: 0.842831	valid_1's auc: 0.841409
[29]	training's auc: 0.843154	valid_1's auc: 0.841626
[30]	training's auc: 0.84368	valid_1's auc: 0.842108
[31]	training's auc: 0.844009	valid_1's auc: 0.842387
[32]	training's auc: 0.844587	valid_1's auc: 0.842958
[33]	training's auc: 0.844895	valid_1's auc: 0.84327
[34]	training's auc: 0.845404	valid_1's auc: 0.843653
[35]	training's auc: 0.845738	valid_1's auc: 0.843909
[36]	training's auc: 0.845938	valid_1's auc: 0.844067
[37]	training's auc: 0.846179	valid_1's auc: 0.84424
[38]	training's auc: 0.846693	valid_1's auc: 0.844688
[39]	training's auc: 0.846879	valid_1's auc: 0.844823
[40]	training's auc: 0.847241	valid_1's auc: 0.845125
[41]	training's auc: 0.847507	valid_1's auc: 0.8453
[42]	training's auc: 0.847914	valid_1's auc: 0.845615
[43]	training's auc: 0.848384	valid_1's auc: 0.845964
[44]	training's auc: 0.848606	valid_1's auc: 0.846199
[45]	training's auc: 0.848839	valid_1's auc: 0.846363
[46]	training's auc: 0.849084	valid_1's auc: 0.846523
[47]	training's auc: 0.84939	valid_1's auc: 0.846781
[48]	training's auc: 0.849633	valid_1's auc: 0.84703
[49]	training's auc: 0.849852	valid_1's auc: 0.84719
[50]	training's auc: 0.85023	valid_1's auc: 0.847493
[51]	training's auc: 0.85061	valid_1's auc: 0.847792
[52]	training's auc: 0.850748	valid_1's auc: 0.847867
[53]	training's auc: 0.851005	valid_1's auc: 0.848071
[54]	training's auc: 0.851242	valid_1's auc: 0.84824
[55]	training's auc: 0.851507	valid_1's auc: 0.848484
[56]	training's auc: 0.851664	valid_1's auc: 0.84857
[57]	training's auc: 0.851828	valid_1's auc: 0.848731
[58]	training's auc: 0.851998	valid_1's auc: 0.848832
[59]	training's auc: 0.852275	valid_1's auc: 0.849035
[60]	training's auc: 0.852572	valid_1's auc: 0.84927
[61]	training's auc: 0.852824	valid_1's auc: 0.849433
[62]	training's auc: 0.852965	valid_1's auc: 0.849526
[63]	training's auc: 0.853261	valid_1's auc: 0.849732
[64]	training's auc: 0.853466	valid_1's auc: 0.849853
[65]	training's auc: 0.853645	valid_1's auc: 0.849997
[66]	training's auc: 0.853779	valid_1's auc: 0.850093
[67]	training's auc: 0.854111	valid_1's auc: 0.85035
[68]	training's auc: 0.854359	valid_1's auc: 0.850508
[69]	training's auc: 0.854578	valid_1's auc: 0.850662
[70]	training's auc: 0.854741	valid_1's auc: 0.850771
[71]	training's auc: 0.854952	valid_1's auc: 0.850897
[72]	training's auc: 0.855139	valid_1's auc: 0.851065
[73]	training's auc: 0.855281	valid_1's auc: 0.851124
[74]	training's auc: 0.855455	valid_1's auc: 0.851227
[75]	training's auc: 0.855611	valid_1's auc: 0.851281
[76]	training's auc: 0.855771	valid_1's auc: 0.851403
[77]	training's auc: 0.855964	valid_1's auc: 0.851486
[78]	training's auc: 0.85607	valid_1's auc: 0.851551
[79]	training's auc: 0.856306	valid_1's auc: 0.851734
[80]	training's auc: 0.856473	valid_1's auc: 0.851832
[81]	training's auc: 0.856721	valid_1's auc: 0.852011
[82]	training's auc: 0.856847	valid_1's auc: 0.852073
