[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.807744	valid_1's auc: 0.808465
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.819256	valid_1's auc: 0.819723
[3]	training's auc: 0.827411	valid_1's auc: 0.827918
[4]	training's auc: 0.830122	valid_1's auc: 0.82999
[5]	training's auc: 0.83481	valid_1's auc: 0.834623
[6]	training's auc: 0.837232	valid_1's auc: 0.836892
[7]	training's auc: 0.838776	valid_1's auc: 0.838469
[8]	training's auc: 0.84001	valid_1's auc: 0.839453
[9]	training's auc: 0.841175	valid_1's auc: 0.840413
[10]	training's auc: 0.842407	valid_1's auc: 0.84139
[11]	training's auc: 0.843351	valid_1's auc: 0.842253
[12]	training's auc: 0.844067	valid_1's auc: 0.842736
[13]	training's auc: 0.845967	valid_1's auc: 0.84445
[14]	training's auc: 0.846527	valid_1's auc: 0.84476
[15]	training's auc: 0.847673	valid_1's auc: 0.845815
[16]	training's auc: 0.849321	valid_1's auc: 0.847189
[17]	training's auc: 0.849924	valid_1's auc: 0.847818
[18]	training's auc: 0.850996	valid_1's auc: 0.848652
[19]	training's auc: 0.851633	valid_1's auc: 0.849292
[20]	training's auc: 0.852425	valid_1's auc: 0.849867
[21]	training's auc: 0.85279	valid_1's auc: 0.850086
[22]	training's auc: 0.853338	valid_1's auc: 0.850348
[23]	training's auc: 0.853685	valid_1's auc: 0.850716
[24]	training's auc: 0.854179	valid_1's auc: 0.851037
[25]	training's auc: 0.85458	valid_1's auc: 0.851227
[26]	training's auc: 0.855106	valid_1's auc: 0.851485
[27]	training's auc: 0.85539	valid_1's auc: 0.851738
[28]	training's auc: 0.855724	valid_1's auc: 0.852042
[29]	training's auc: 0.855943	valid_1's auc: 0.852134
[30]	training's auc: 0.856445	valid_1's auc: 0.852458
[31]	training's auc: 0.856714	valid_1's auc: 0.852545
[32]	training's auc: 0.857266	valid_1's auc: 0.85288
[33]	training's auc: 0.857738	valid_1's auc: 0.853107
[34]	training's auc: 0.858037	valid_1's auc: 0.853186
[35]	training's auc: 0.858288	valid_1's auc: 0.853368
[36]	training's auc: 0.858463	valid_1's auc: 0.853399
[37]	training's auc: 0.858703	valid_1's auc: 0.85345
[38]	training's auc: 0.859088	valid_1's auc: 0.85368
[39]	training's auc: 0.859432	valid_1's auc: 0.853875
[40]	training's auc: 0.859549	valid_1's auc: 0.853867
[41]	training's auc: 0.859783	valid_1's auc: 0.853954
[42]	training's auc: 0.860003	valid_1's auc: 0.854005
[43]	training's auc: 0.860216	valid_1's auc: 0.854042
[44]	training's auc: 0.860309	valid_1's auc: 0.854157
[45]	training's auc: 0.860562	valid_1's auc: 0.854219
[46]	training's auc: 0.860645	valid_1's auc: 0.854237
[47]	training's auc: 0.861006	valid_1's auc: 0.854406
[48]	training's auc: 0.86115	valid_1's auc: 0.854553
[49]	training's auc: 0.861229	valid_1's auc: 0.854543
[50]	training's auc: 0.861456	valid_1's auc: 0.854601
[51]	training's auc: 0.861637	valid_1's auc: 0.854659
[52]	training's auc: 0.861806	valid_1's auc: 0.854676
[53]	training's auc: 0.861982	valid_1's auc: 0.854704
[54]	training's auc: 0.86215	valid_1's auc: 0.854695
[55]	training's auc: 0.862347	valid_1's auc: 0.854898
[56]	training's auc: 0.862558	valid_1's auc: 0.854946
[57]	training's auc: 0.862605	valid_1's auc: 0.855019
[58]	training's auc: 0.862769	valid_1's auc: 0.855045
[59]	training's auc: 0.862872	valid_1's auc: 0.855095
[60]	training's auc: 0.862959	valid_1's auc: 0.855134
[61]	training's auc: 0.863021	valid_1's auc: 0.855108
[62]	training's auc: 0.863178	valid_1's auc: 0.855188
[63]	training's auc: 0.863363	valid_1's auc: 0.855231
[64]	training's auc: 0.863439	valid_1's auc: 0.85524
[65]	training's auc: 0.863571	valid_1's auc: 0.855264
[66]	training's auc: 0.863687	valid_1's auc: 0.855325
[67]	training's auc: 0.863811	valid_1's auc: 0.855329
[68]	training's auc: 0.863966	valid_1's auc: 0.855342
[69]	training's auc: 0.864004	valid_1's auc: 0.855317
[70]	training's auc: 0.864176	valid_1's auc: 0.855348
[71]	training's auc: 0.864333	valid_1's auc: 0.855373
[72]	training's auc: 0.864661	valid_1's auc: 0.855531
[73]	training's auc: 0.864787	valid_1's auc: 0.855534
[74]	training's auc: 0.86484	valid_1's auc: 0.85552
[75]	training's auc: 0.864873	valid_1's auc: 0.855491
[76]	training's auc: 0.865011	valid_1's auc: 0.855489
[77]	training's auc: 0.865105	valid_1's auc: 0.85554
[78]	training's auc: 0.865312	valid_1's auc: 0.855631
[79]	training's auc: 0.865454	valid_1's auc: 0.855662
[80]	training's auc: 0.865514	valid_1's auc: 0.855683
[81]	training's auc: 0.865627	valid_1's auc: 0.855683
[82]	training's auc: 0.865652	valid_1's auc: 0.855665
[83]	training's auc: 0.865709	valid_1's auc: 0.855689
[84]	training's auc: 0.865815	valid_1's auc: 0.855698
[85]	training's auc: 0.865918	valid_1's auc: 0.855737
[86]	training's auc: 0.866042	valid_1's auc: 0.855847
[87]	training's auc: 0.866081	valid_1's auc: 0.855826
[88]	training's auc: 0.86611	valid_1's auc: 0.855809
[89]	training's auc: 0.866219	valid_1's auc: 0.855936
[90]	training's auc: 0.866394	valid_1's auc: 0.855981
[91]	training's auc: 0.866418	valid_1's auc: 0.855958
[92]	training's auc: 0.866509	valid_1's auc: 0.855965
[93]	training's auc: 0.866586	valid_1's auc: 0.855974
[94]	training's auc: 0.866608	valid_1's auc: 0.855962
[95]	training's auc: 0.86666	valid_1's auc: 0.855966
[96]	training's auc: 0.866678	valid_1's auc: 0.85596
[97]	training's auc: 0.866831	valid_1's auc: 0.855983
[98]	training's auc: 0.866858	valid_1's auc: 0.855987
[99]	training's auc: 0.866885	valid_1's auc: 0.855974
[100]	training's auc: 0.866981	valid_1's auc: 0.856104
[101]	training's auc: 0.867053	valid_1's auc: 0.856174
[102]	training's auc: 0.86717	valid_1's auc: 0.856185
[103]	training's auc: 0.867222	valid_1's auc: 0.856196
[104]	training's auc: 0.86727	valid_1's auc: 0.856206
[105]	training's auc: 0.86735	valid_1's auc: 0.856215
[106]	training's auc: 0.867479	valid_1's auc: 0.856194
[107]	training's auc: 0.867545	valid_1's auc: 0.856216
[108]	training's auc: 0.86757	valid_1's auc: 0.856191
[109]	training's auc: 0.867605	valid_1's auc: 0.856183
[110]	training's auc: 0.867632	valid_1's auc: 0.856175
[111]	training's auc: 0.867688	valid_1's auc: 0.856183
[112]	training's auc: 0.867776	valid_1's auc: 0.85621
[113]	training's auc: 0.867808	valid_1's auc: 0.856208
[114]	training's auc: 0.867945	valid_1's auc: 0.856263
[115]	training's auc: 0.86805	valid_1's auc: 0.856389
[116]	training's auc: 0.868065	valid_1's auc: 0.856371
[117]	training's auc: 0.868175	valid_1's auc: 0.856369
[118]	training's auc: 0.868286	valid_1's auc: 0.856356
[119]	training's auc: 0.86836	valid_1's auc: 0.856357
[120]	training's auc: 0.868431	valid_1's auc: 0.856433
[121]	training's auc: 0.86846	valid_1's auc: 0.856446
[122]	training's auc: 0.868535	valid_1's auc: 0.856452
[123]	training's auc: 0.868608	valid_1's auc: 0.856512
[124]	training's auc: 0.868658	valid_1's auc: 0.856524
[125]	training's auc: 0.868706	valid_1's auc: 0.856511
[126]	training's auc: 0.868786	valid_1's auc: 0.856523
[127]	training's auc: 0.868911	valid_1's auc: 0.856552
[128]	training's auc: 0.868931	valid_1's auc: 0.856542
[129]	training's auc: 0.869025	valid_1's auc: 0.856526
[130]	training's auc: 0.869124	valid_1's auc: 0.856517
[131]	training's auc: 0.869238	valid_1's auc: 0.856523
[132]	training's auc: 0.86929	valid_1's auc: 0.8565
[133]	training's auc: 0.869416	valid_1's auc: 0.856506
[134]	training's auc: 0.869455	valid_1's auc: 0.856517
[135]	training's auc: 0.869486	valid_1's auc: 0.856511
[136]	training's auc: 0.869518	valid_1's auc: 0.856522
[137]	training's auc: 0.869629	valid_1's auc: 0.856543
[138]	training's auc: 0.869647	valid_1's auc: 0.856536
[139]	training's auc: 0.869735	valid_1's auc: 0.856543
[140]	training's auc: 0.869838	valid_1's auc: 0.856548
[141]	training's auc: 0.869854	valid_1's auc: 0.856531
[142]	training's auc: 0.869965	valid_1's auc: 0.856566
[143]	training's auc: 0.86998	valid_1's auc: 0.856557
[144]	training's auc: 0.870064	valid_1's auc: 0.856616
[145]	training's auc: 0.870092	valid_1's auc: 0.856631
[146]	training's auc: 0.870122	valid_1's auc: 0.856636
[147]	training's auc: 0.870236	valid_1's auc: 0.856626
[148]	training's auc: 0.870318	valid_1's auc: 0.856617
[149]	training's auc: 0.870349	valid_1's auc: 0.856622
[150]	training's auc: 0.870473	valid_1's auc: 0.856735
[151]	training's auc: 0.870533	valid_1's auc: 0.856791
[152]	training's auc: 0.870562	valid_1's auc: 0.856772
[153]	training's auc: 0.870578	valid_1's auc: 0.85677
[154]	training's auc: 0.870592	valid_1's auc: 0.856747
[155]	training's auc: 0.870647	valid_1's auc: 0.856735
[156]	training's auc: 0.870661	valid_1's auc: 0.856717
[157]	training's auc: 0.870684	valid_1's auc: 0.856727
[158]	training's auc: 0.870714	valid_1's auc: 0.856727
[159]	training's auc: 0.870742	valid_1's auc: 0.856754
[160]	training's auc: 0.870783	valid_1's auc: 0.856771
[161]	training's auc: 0.8708	valid_1's auc: 0.856765
[162]	training's auc: 0.870857	valid_1's auc: 0.856742
[163]	training's auc: 0.870867	valid_1's auc: 0.85672
[164]	training's auc: 0.870944	valid_1's auc: 0.856703
[165]	training's auc: 0.870956	valid_1's auc: 0.856697
[166]	training's auc: 0.870965	valid_1's auc: 0.85669
[167]	training's auc: 0.870973	valid_1's auc: 0.856686
[168]	training's auc: 0.870998	valid_1's auc: 0.856691
[169]	training's auc: 0.87102	valid_1's auc: 0.85669
[170]	training's auc: 0.871057	valid_1's auc: 0.856688
[171]	training's auc: 0.871168	valid_1's auc: 0.856676
[172]	training's auc: 0.871231	valid_1's auc: 0.856754
[173]	training's auc: 0.871294	valid_1's auc: 0.856755
[174]	training's auc: 0.87131	valid_1's auc: 0.85675
[175]	training's auc: 0.871336	valid_1's auc: 0.856755
[176]	training's auc: 0.871375	valid_1's auc: 0.856766
[177]	training's auc: 0.871443	valid_1's auc: 0.85681
[178]	training's auc: 0.871463	valid_1's auc: 0.856806
[179]	training's auc: 0.871504	valid_1's auc: 0.85679
[180]	training's auc: 0.871518	valid_1's auc: 0.856782
[181]	training's auc: 0.871538	valid_1's auc: 0.85678
[182]	training's auc: 0.871612	valid_1's auc: 0.856795
[183]	training's auc: 0.871642	valid_1's auc: 0.856794
[184]	training's auc: 0.871656	valid_1's auc: 0.856793
[185]	training's auc: 0.871709	valid_1's auc: 0.856833
[186]	training's auc: 0.871859	valid_1's auc: 0.856816
[187]	training's auc: 0.871945	valid_1's auc: 0.856809
[188]	training's auc: 0.871986	valid_1's auc: 0.856817
[189]	training's auc: 0.872051	valid_1's auc: 0.856847
[190]	training's auc: 0.872061	valid_1's auc: 0.856833
[191]	training's auc: 0.872073	valid_1's auc: 0.856815
[192]	training's auc: 0.872162	valid_1's auc: 0.85688
[193]	training's auc: 0.872187	valid_1's auc: 0.856863
[194]	training's auc: 0.872201	valid_1's auc: 0.856863
[195]	training's auc: 0.872224	valid_1's auc: 0.856867
[196]	training's auc: 0.872237	valid_1's auc: 0.85686
[197]	training's auc: 0.872312	valid_1's auc: 0.856864
[198]	training's auc: 0.87234	valid_1's auc: 0.856866
[199]	training's auc: 0.872356	valid_1's auc: 0.856867
[200]	training's auc: 0.872368	valid_1's auc: 0.856857
[201]	training's auc: 0.872436	valid_1's auc: 0.856839
[202]	training's auc: 0.872453	valid_1's auc: 0.856847
[203]	training's auc: 0.872526	valid_1's auc: 0.85683
[204]	training's auc: 0.872543	valid_1's auc: 0.856825
[205]	training's auc: 0.872649	valid_1's auc: 0.856835
[206]	training's auc: 0.872689	valid_1's auc: 0.856867
[207]	training's auc: 0.872711	valid_1's auc: 0.856854
[208]	training's auc: 0.87275	valid_1's auc: 0.856866
[209]	training's auc: 0.87278	valid_1's auc: 0.85687
[210]	training's auc: 0.872793	valid_1's auc: 0.856872
[211]	training's auc: 0.872882	valid_1's auc: 0.856867
[212]	training's auc: 0.872894	valid_1's auc: 0.85685
[213]	training's auc: 0.87293	valid_1's auc: 0.856864
[214]	training's auc: 0.872945	valid_1's auc: 0.856858
[215]	training's auc: 0.872951	valid_1's auc: 0.856845
[216]	training's auc: 0.873051	valid_1's auc: 0.856834
[217]	training's auc: 0.873073	valid_1's auc: 0.856829
[218]	training's auc: 0.873093	valid_1's auc: 0.856822
[219]	training's auc: 0.873161	valid_1's auc: 0.856871
[220]	training's auc: 0.873254	valid_1's auc: 0.856893
[221]	training's auc: 0.873278	valid_1's auc: 0.856896
[222]	training's auc: 0.873293	valid_1's auc: 0.85689
