[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.809804	valid_1's auc: 0.809668
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.824285	valid_1's auc: 0.824081
[3]	training's auc: 0.830457	valid_1's auc: 0.830255
[4]	training's auc: 0.834318	valid_1's auc: 0.834117
[5]	training's auc: 0.836582	valid_1's auc: 0.836302
[6]	training's auc: 0.839052	valid_1's auc: 0.838594
[7]	training's auc: 0.839942	valid_1's auc: 0.839468
[8]	training's auc: 0.841643	valid_1's auc: 0.841081
[9]	training's auc: 0.84266	valid_1's auc: 0.841924
[10]	training's auc: 0.843203	valid_1's auc: 0.842332
[11]	training's auc: 0.844178	valid_1's auc: 0.843113
[12]	training's auc: 0.845219	valid_1's auc: 0.843983
[13]	training's auc: 0.84634	valid_1's auc: 0.844946
[14]	training's auc: 0.847343	valid_1's auc: 0.845638
[15]	training's auc: 0.848124	valid_1's auc: 0.846338
[16]	training's auc: 0.849035	valid_1's auc: 0.846929
[17]	training's auc: 0.849618	valid_1's auc: 0.84737
[18]	training's auc: 0.850302	valid_1's auc: 0.847805
[19]	training's auc: 0.851022	valid_1's auc: 0.848324
[20]	training's auc: 0.851501	valid_1's auc: 0.848719
[21]	training's auc: 0.85214	valid_1's auc: 0.849036
[22]	training's auc: 0.852563	valid_1's auc: 0.849359
[23]	training's auc: 0.853057	valid_1's auc: 0.849646
[24]	training's auc: 0.85354	valid_1's auc: 0.849915
[25]	training's auc: 0.853896	valid_1's auc: 0.850058
[26]	training's auc: 0.854504	valid_1's auc: 0.850484
[27]	training's auc: 0.854842	valid_1's auc: 0.850685
[28]	training's auc: 0.85517	valid_1's auc: 0.85082
[29]	training's auc: 0.855498	valid_1's auc: 0.850971
[30]	training's auc: 0.855758	valid_1's auc: 0.851059
[31]	training's auc: 0.856253	valid_1's auc: 0.851428
[32]	training's auc: 0.856521	valid_1's auc: 0.851446
[33]	training's auc: 0.856831	valid_1's auc: 0.851624
[34]	training's auc: 0.857194	valid_1's auc: 0.851791
[35]	training's auc: 0.857462	valid_1's auc: 0.851867
[36]	training's auc: 0.857743	valid_1's auc: 0.85204
[37]	training's auc: 0.8579	valid_1's auc: 0.852107
[38]	training's auc: 0.858182	valid_1's auc: 0.852245
[39]	training's auc: 0.858331	valid_1's auc: 0.852266
[40]	training's auc: 0.858604	valid_1's auc: 0.8524
[41]	training's auc: 0.858807	valid_1's auc: 0.852424
[42]	training's auc: 0.858946	valid_1's auc: 0.852444
[43]	training's auc: 0.859131	valid_1's auc: 0.852455
[44]	training's auc: 0.859353	valid_1's auc: 0.852589
[45]	training's auc: 0.859508	valid_1's auc: 0.852594
[46]	training's auc: 0.859636	valid_1's auc: 0.852615
[47]	training's auc: 0.859839	valid_1's auc: 0.85257
[48]	training's auc: 0.859918	valid_1's auc: 0.852557
[49]	training's auc: 0.86005	valid_1's auc: 0.852575
[50]	training's auc: 0.860158	valid_1's auc: 0.852585
[51]	training's auc: 0.860486	valid_1's auc: 0.852764
[52]	training's auc: 0.860595	valid_1's auc: 0.852754
[53]	training's auc: 0.860776	valid_1's auc: 0.852782
[54]	training's auc: 0.860947	valid_1's auc: 0.852815
[55]	training's auc: 0.86117	valid_1's auc: 0.852895
[56]	training's auc: 0.861377	valid_1's auc: 0.852858
[57]	training's auc: 0.861609	valid_1's auc: 0.85304
[58]	training's auc: 0.861706	valid_1's auc: 0.853037
[59]	training's auc: 0.861925	valid_1's auc: 0.853119
[60]	training's auc: 0.862058	valid_1's auc: 0.853127
[61]	training's auc: 0.862131	valid_1's auc: 0.853118
[62]	training's auc: 0.862209	valid_1's auc: 0.853099
[63]	training's auc: 0.862523	valid_1's auc: 0.85319
[64]	training's auc: 0.862817	valid_1's auc: 0.853341
[65]	training's auc: 0.863106	valid_1's auc: 0.85351
[66]	training's auc: 0.863393	valid_1's auc: 0.853614
[67]	training's auc: 0.863519	valid_1's auc: 0.853613
[68]	training's auc: 0.863597	valid_1's auc: 0.8536
[69]	training's auc: 0.863793	valid_1's auc: 0.853536
[70]	training's auc: 0.863985	valid_1's auc: 0.853615
[71]	training's auc: 0.864087	valid_1's auc: 0.853594
[72]	training's auc: 0.864162	valid_1's auc: 0.853574
[73]	training's auc: 0.864232	valid_1's auc: 0.853607
[74]	training's auc: 0.86448	valid_1's auc: 0.85364
[75]	training's auc: 0.864602	valid_1's auc: 0.853648
[76]	training's auc: 0.864777	valid_1's auc: 0.853738
[77]	training's auc: 0.864841	valid_1's auc: 0.85372
[78]	training's auc: 0.865084	valid_1's auc: 0.853836
[79]	training's auc: 0.865423	valid_1's auc: 0.853969
[80]	training's auc: 0.865654	valid_1's auc: 0.854042
[81]	training's auc: 0.865714	valid_1's auc: 0.854037
[82]	training's auc: 0.865842	valid_1's auc: 0.85403
[83]	training's auc: 0.866106	valid_1's auc: 0.854138
[84]	training's auc: 0.866396	valid_1's auc: 0.854314
[85]	training's auc: 0.86645	valid_1's auc: 0.854321
[86]	training's auc: 0.866568	valid_1's auc: 0.85434
[87]	training's auc: 0.866669	valid_1's auc: 0.854304
[88]	training's auc: 0.866796	valid_1's auc: 0.854287
[89]	training's auc: 0.866851	valid_1's auc: 0.854274
[90]	training's auc: 0.867096	valid_1's auc: 0.85445
[91]	training's auc: 0.867197	valid_1's auc: 0.85445
[92]	training's auc: 0.867304	valid_1's auc: 0.854455
[93]	training's auc: 0.867358	valid_1's auc: 0.854452
[94]	training's auc: 0.867419	valid_1's auc: 0.854439
[95]	training's auc: 0.867669	valid_1's auc: 0.854553
[96]	training's auc: 0.867886	valid_1's auc: 0.854608
