[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.821139	valid_1's auc: 0.820002
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.824839	valid_1's auc: 0.823644
[3]	training's auc: 0.829924	valid_1's auc: 0.828788
[4]	training's auc: 0.833762	valid_1's auc: 0.832542
[5]	training's auc: 0.834146	valid_1's auc: 0.833007
[6]	training's auc: 0.835698	valid_1's auc: 0.834543
[7]	training's auc: 0.836042	valid_1's auc: 0.834913
[8]	training's auc: 0.836614	valid_1's auc: 0.835547
[9]	training's auc: 0.836862	valid_1's auc: 0.835801
[10]	training's auc: 0.83708	valid_1's auc: 0.835995
[11]	training's auc: 0.837377	valid_1's auc: 0.836253
[12]	training's auc: 0.837531	valid_1's auc: 0.836332
[13]	training's auc: 0.838343	valid_1's auc: 0.837093
[14]	training's auc: 0.838426	valid_1's auc: 0.837141
[15]	training's auc: 0.838791	valid_1's auc: 0.837497
[16]	training's auc: 0.83902	valid_1's auc: 0.83769
[17]	training's auc: 0.839522	valid_1's auc: 0.838138
[18]	training's auc: 0.839963	valid_1's auc: 0.838507
[19]	training's auc: 0.84057	valid_1's auc: 0.839071
[20]	training's auc: 0.841039	valid_1's auc: 0.839545
[21]	training's auc: 0.841347	valid_1's auc: 0.839819
[22]	training's auc: 0.841791	valid_1's auc: 0.840223
[23]	training's auc: 0.842012	valid_1's auc: 0.840473
[24]	training's auc: 0.842349	valid_1's auc: 0.840775
[25]	training's auc: 0.842561	valid_1's auc: 0.84091
[26]	training's auc: 0.842933	valid_1's auc: 0.841259
[27]	training's auc: 0.843222	valid_1's auc: 0.841513
[28]	training's auc: 0.843604	valid_1's auc: 0.841896
[29]	training's auc: 0.8439	valid_1's auc: 0.842128
[30]	training's auc: 0.844249	valid_1's auc: 0.842457
[31]	training's auc: 0.844438	valid_1's auc: 0.842628
[32]	training's auc: 0.844737	valid_1's auc: 0.84293
[33]	training's auc: 0.844926	valid_1's auc: 0.843099
[34]	training's auc: 0.845228	valid_1's auc: 0.843329
[35]	training's auc: 0.845445	valid_1's auc: 0.84352
[36]	training's auc: 0.845585	valid_1's auc: 0.843632
[37]	training's auc: 0.845834	valid_1's auc: 0.843841
[38]	training's auc: 0.846171	valid_1's auc: 0.844139
[39]	training's auc: 0.846494	valid_1's auc: 0.844404
[40]	training's auc: 0.846813	valid_1's auc: 0.844708
[41]	training's auc: 0.846965	valid_1's auc: 0.844812
[42]	training's auc: 0.847277	valid_1's auc: 0.845084
[43]	training's auc: 0.847556	valid_1's auc: 0.845312
[44]	training's auc: 0.847802	valid_1's auc: 0.845551
[45]	training's auc: 0.848036	valid_1's auc: 0.845748
[46]	training's auc: 0.848295	valid_1's auc: 0.845935
[47]	training's auc: 0.848497	valid_1's auc: 0.846085
[48]	training's auc: 0.848736	valid_1's auc: 0.846312
[49]	training's auc: 0.848971	valid_1's auc: 0.846521
[50]	training's auc: 0.849222	valid_1's auc: 0.84674
[51]	training's auc: 0.849436	valid_1's auc: 0.8469
[52]	training's auc: 0.849612	valid_1's auc: 0.847014
[53]	training's auc: 0.849825	valid_1's auc: 0.847184
[54]	training's auc: 0.850066	valid_1's auc: 0.847351
[55]	training's auc: 0.850331	valid_1's auc: 0.847579
[56]	training's auc: 0.85047	valid_1's auc: 0.847681
[57]	training's auc: 0.850681	valid_1's auc: 0.847877
[58]	training's auc: 0.85086	valid_1's auc: 0.848004
[59]	training's auc: 0.851075	valid_1's auc: 0.848171
[60]	training's auc: 0.851249	valid_1's auc: 0.848285
[61]	training's auc: 0.851438	valid_1's auc: 0.848408
[62]	training's auc: 0.851671	valid_1's auc: 0.848597
[63]	training's auc: 0.851913	valid_1's auc: 0.848789
[64]	training's auc: 0.852137	valid_1's auc: 0.848972
[65]	training's auc: 0.852298	valid_1's auc: 0.849093
[66]	training's auc: 0.852501	valid_1's auc: 0.84925
[67]	training's auc: 0.852682	valid_1's auc: 0.849388
[68]	training's auc: 0.85287	valid_1's auc: 0.849525
[69]	training's auc: 0.853035	valid_1's auc: 0.84966
[70]	training's auc: 0.853202	valid_1's auc: 0.849781
[71]	training's auc: 0.853402	valid_1's auc: 0.849935
[72]	training's auc: 0.853595	valid_1's auc: 0.850082
[73]	training's auc: 0.853746	valid_1's auc: 0.850191
[74]	training's auc: 0.853902	valid_1's auc: 0.850316
[75]	training's auc: 0.854035	valid_1's auc: 0.850408
[76]	training's auc: 0.854179	valid_1's auc: 0.850527
[77]	training's auc: 0.854355	valid_1's auc: 0.850659
[78]	training's auc: 0.854588	valid_1's auc: 0.850834
[79]	training's auc: 0.854759	valid_1's auc: 0.850966
[80]	training's auc: 0.854943	valid_1's auc: 0.851095
[81]	training's auc: 0.855106	valid_1's auc: 0.85122
[82]	training's auc: 0.855272	valid_1's auc: 0.851335
[83]	training's auc: 0.855437	valid_1's auc: 0.851442
[84]	training's auc: 0.855607	valid_1's auc: 0.851567
[85]	training's auc: 0.855697	valid_1's auc: 0.851642
[86]	training's auc: 0.855843	valid_1's auc: 0.85173
[87]	training's auc: 0.855987	valid_1's auc: 0.851819
[88]	training's auc: 0.856121	valid_1's auc: 0.851932
[89]	training's auc: 0.856281	valid_1's auc: 0.852041
[90]	training's auc: 0.856414	valid_1's auc: 0.852135
[91]	training's auc: 0.856598	valid_1's auc: 0.852255
[92]	training's auc: 0.856749	valid_1's auc: 0.852372
[93]	training's auc: 0.856889	valid_1's auc: 0.852447
[94]	training's auc: 0.857037	valid_1's auc: 0.852541
[95]	training's auc: 0.857174	valid_1's auc: 0.852621
[96]	training's auc: 0.857327	valid_1's auc: 0.852701
[97]	training's auc: 0.857455	valid_1's auc: 0.852779
[98]	training's auc: 0.857603	valid_1's auc: 0.852883
[99]	training's auc: 0.85772	valid_1's auc: 0.852952
[100]	training's auc: 0.857872	valid_1's auc: 0.853043
[101]	training's auc: 0.858005	valid_1's auc: 0.853113
[102]	training's auc: 0.858152	valid_1's auc: 0.853201
[103]	training's auc: 0.858281	valid_1's auc: 0.853274
[104]	training's auc: 0.858447	valid_1's auc: 0.853402
[105]	training's auc: 0.858577	valid_1's auc: 0.853468
[106]	training's auc: 0.858702	valid_1's auc: 0.853539
[107]	training's auc: 0.858788	valid_1's auc: 0.853608
[108]	training's auc: 0.858879	valid_1's auc: 0.85366
[109]	training's auc: 0.859011	valid_1's auc: 0.853749
[110]	training's auc: 0.859133	valid_1's auc: 0.853812
[111]	training's auc: 0.859249	valid_1's auc: 0.853862
[112]	training's auc: 0.859326	valid_1's auc: 0.85392
[113]	training's auc: 0.859434	valid_1's auc: 0.853963
[114]	training's auc: 0.859508	valid_1's auc: 0.854004
[115]	training's auc: 0.859608	valid_1's auc: 0.854057
[116]	training's auc: 0.859719	valid_1's auc: 0.854133
[117]	training's auc: 0.859837	valid_1's auc: 0.854223
[118]	training's auc: 0.859963	valid_1's auc: 0.854308
[119]	training's auc: 0.860095	valid_1's auc: 0.854382
[120]	training's auc: 0.860189	valid_1's auc: 0.854434
[121]	training's auc: 0.860319	valid_1's auc: 0.854515
[122]	training's auc: 0.860424	valid_1's auc: 0.854559
[123]	training's auc: 0.860505	valid_1's auc: 0.854577
[124]	training's auc: 0.860609	valid_1's auc: 0.854626
[125]	training's auc: 0.860728	valid_1's auc: 0.854697
[126]	training's auc: 0.860846	valid_1's auc: 0.854763
[127]	training's auc: 0.860933	valid_1's auc: 0.854814
[128]	training's auc: 0.861024	valid_1's auc: 0.854862
[129]	training's auc: 0.861118	valid_1's auc: 0.854918
[130]	training's auc: 0.861219	valid_1's auc: 0.854975
[131]	training's auc: 0.861323	valid_1's auc: 0.855039
[132]	training's auc: 0.861443	valid_1's auc: 0.855099
[133]	training's auc: 0.861533	valid_1's auc: 0.855136
[134]	training's auc: 0.861609	valid_1's auc: 0.855186
[135]	training's auc: 0.861681	valid_1's auc: 0.855228
[136]	training's auc: 0.861778	valid_1's auc: 0.855296
[137]	training's auc: 0.861878	valid_1's auc: 0.855349
[138]	training's auc: 0.861955	valid_1's auc: 0.855388
[139]	training's auc: 0.862077	valid_1's auc: 0.85546
[140]	training's auc: 0.862185	valid_1's auc: 0.855516
[141]	training's auc: 0.862265	valid_1's auc: 0.855548
[142]	training's auc: 0.862378	valid_1's auc: 0.855627
[143]	training's auc: 0.862469	valid_1's auc: 0.85569
[144]	training's auc: 0.862548	valid_1's auc: 0.85574
[145]	training's auc: 0.862644	valid_1's auc: 0.855806
[146]	training's auc: 0.862746	valid_1's auc: 0.855866
[147]	training's auc: 0.862824	valid_1's auc: 0.85589
[148]	training's auc: 0.862929	valid_1's auc: 0.855947
[149]	training's auc: 0.863021	valid_1's auc: 0.855992
[150]	training's auc: 0.863069	valid_1's auc: 0.85602
[151]	training's auc: 0.863127	valid_1's auc: 0.856049
[152]	training's auc: 0.863198	valid_1's auc: 0.856067
[153]	training's auc: 0.863269	valid_1's auc: 0.856078
[154]	training's auc: 0.863364	valid_1's auc: 0.856127
[155]	training's auc: 0.863457	valid_1's auc: 0.856169
[156]	training's auc: 0.86351	valid_1's auc: 0.856183
[157]	training's auc: 0.863568	valid_1's auc: 0.856218
[158]	training's auc: 0.863631	valid_1's auc: 0.856255
[159]	training's auc: 0.863713	valid_1's auc: 0.856298
[160]	training's auc: 0.863779	valid_1's auc: 0.856328
[161]	training's auc: 0.863847	valid_1's auc: 0.856328
[162]	training's auc: 0.863896	valid_1's auc: 0.856329
[163]	training's auc: 0.863952	valid_1's auc: 0.85635
[164]	training's auc: 0.864003	valid_1's auc: 0.856368
[165]	training's auc: 0.864052	valid_1's auc: 0.856387
[166]	training's auc: 0.864113	valid_1's auc: 0.8564
[167]	training's auc: 0.864185	valid_1's auc: 0.856436
[168]	training's auc: 0.864266	valid_1's auc: 0.856472
[169]	training's auc: 0.864316	valid_1's auc: 0.856476
[170]	training's auc: 0.864381	valid_1's auc: 0.856506
[171]	training's auc: 0.864457	valid_1's auc: 0.856534
[172]	training's auc: 0.864507	valid_1's auc: 0.856554
[173]	training's auc: 0.864591	valid_1's auc: 0.8566
[174]	training's auc: 0.864648	valid_1's auc: 0.856609
[175]	training's auc: 0.86473	valid_1's auc: 0.856638
[176]	training's auc: 0.864776	valid_1's auc: 0.856653
[177]	training's auc: 0.864829	valid_1's auc: 0.856676
[178]	training's auc: 0.864876	valid_1's auc: 0.85668
[179]	training's auc: 0.864957	valid_1's auc: 0.85671
[180]	training's auc: 0.865013	valid_1's auc: 0.856712
[181]	training's auc: 0.865058	valid_1's auc: 0.856722
[182]	training's auc: 0.865106	valid_1's auc: 0.856739
[183]	training's auc: 0.865155	valid_1's auc: 0.856756
[184]	training's auc: 0.865203	valid_1's auc: 0.856754
[185]	training's auc: 0.865252	valid_1's auc: 0.856773
[186]	training's auc: 0.865297	valid_1's auc: 0.856796
[187]	training's auc: 0.865351	valid_1's auc: 0.856815
