[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.82277	valid_1's auc: 0.822873
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.828691	valid_1's auc: 0.828686
[3]	training's auc: 0.83337	valid_1's auc: 0.833123
[4]	training's auc: 0.836285	valid_1's auc: 0.836159
[5]	training's auc: 0.836752	valid_1's auc: 0.836621
[6]	training's auc: 0.837817	valid_1's auc: 0.83768
[7]	training's auc: 0.838223	valid_1's auc: 0.838087
[8]	training's auc: 0.838582	valid_1's auc: 0.838425
[9]	training's auc: 0.838687	valid_1's auc: 0.838461
[10]	training's auc: 0.838809	valid_1's auc: 0.83852
[11]	training's auc: 0.83906	valid_1's auc: 0.838737
[12]	training's auc: 0.839203	valid_1's auc: 0.838773
[13]	training's auc: 0.839783	valid_1's auc: 0.839366
[14]	training's auc: 0.839971	valid_1's auc: 0.83948
[15]	training's auc: 0.840239	valid_1's auc: 0.839713
[16]	training's auc: 0.84045	valid_1's auc: 0.83994
[17]	training's auc: 0.840733	valid_1's auc: 0.840227
[18]	training's auc: 0.8411	valid_1's auc: 0.840505
[19]	training's auc: 0.84156	valid_1's auc: 0.841001
[20]	training's auc: 0.84193	valid_1's auc: 0.841365
[21]	training's auc: 0.842217	valid_1's auc: 0.841561
[22]	training's auc: 0.842468	valid_1's auc: 0.84182
[23]	training's auc: 0.842628	valid_1's auc: 0.841944
[24]	training's auc: 0.843012	valid_1's auc: 0.842258
[25]	training's auc: 0.843192	valid_1's auc: 0.842381
[26]	training's auc: 0.843484	valid_1's auc: 0.842658
[27]	training's auc: 0.843731	valid_1's auc: 0.842889
[28]	training's auc: 0.844072	valid_1's auc: 0.843194
[29]	training's auc: 0.844267	valid_1's auc: 0.843318
[30]	training's auc: 0.844562	valid_1's auc: 0.843572
[31]	training's auc: 0.844656	valid_1's auc: 0.843633
[32]	training's auc: 0.844873	valid_1's auc: 0.843817
[33]	training's auc: 0.845041	valid_1's auc: 0.843946
[34]	training's auc: 0.845275	valid_1's auc: 0.844115
[35]	training's auc: 0.845471	valid_1's auc: 0.844289
[36]	training's auc: 0.845652	valid_1's auc: 0.844429
[37]	training's auc: 0.84584	valid_1's auc: 0.844581
[38]	training's auc: 0.846165	valid_1's auc: 0.844869
[39]	training's auc: 0.846456	valid_1's auc: 0.845091
[40]	training's auc: 0.846775	valid_1's auc: 0.84537
[41]	training's auc: 0.846956	valid_1's auc: 0.845486
[42]	training's auc: 0.847205	valid_1's auc: 0.845682
[43]	training's auc: 0.847426	valid_1's auc: 0.845846
[44]	training's auc: 0.847643	valid_1's auc: 0.846064
[45]	training's auc: 0.847796	valid_1's auc: 0.846189
[46]	training's auc: 0.848043	valid_1's auc: 0.846368
[47]	training's auc: 0.848236	valid_1's auc: 0.846511
[48]	training's auc: 0.848411	valid_1's auc: 0.846653
[49]	training's auc: 0.848625	valid_1's auc: 0.846829
[50]	training's auc: 0.848876	valid_1's auc: 0.847012
[51]	training's auc: 0.849011	valid_1's auc: 0.847103
[52]	training's auc: 0.849156	valid_1's auc: 0.847196
[53]	training's auc: 0.849319	valid_1's auc: 0.847311
[54]	training's auc: 0.849503	valid_1's auc: 0.84744
[55]	training's auc: 0.849764	valid_1's auc: 0.847651
[56]	training's auc: 0.849861	valid_1's auc: 0.847708
[57]	training's auc: 0.85004	valid_1's auc: 0.847875
[58]	training's auc: 0.85019	valid_1's auc: 0.847961
[59]	training's auc: 0.850398	valid_1's auc: 0.848111
[60]	training's auc: 0.850538	valid_1's auc: 0.848208
[61]	training's auc: 0.850664	valid_1's auc: 0.848282
[62]	training's auc: 0.850902	valid_1's auc: 0.848454
[63]	training's auc: 0.851153	valid_1's auc: 0.848656
[64]	training's auc: 0.851383	valid_1's auc: 0.848829
[65]	training's auc: 0.851507	valid_1's auc: 0.848899
[66]	training's auc: 0.851673	valid_1's auc: 0.849055
[67]	training's auc: 0.851858	valid_1's auc: 0.849189
[68]	training's auc: 0.852032	valid_1's auc: 0.849314
[69]	training's auc: 0.852209	valid_1's auc: 0.849467
[70]	training's auc: 0.852345	valid_1's auc: 0.849547
[71]	training's auc: 0.852551	valid_1's auc: 0.849667
[72]	training's auc: 0.852765	valid_1's auc: 0.84983
[73]	training's auc: 0.852908	valid_1's auc: 0.849941
[74]	training's auc: 0.853069	valid_1's auc: 0.85007
[75]	training's auc: 0.853202	valid_1's auc: 0.850146
[76]	training's auc: 0.853364	valid_1's auc: 0.850281
[77]	training's auc: 0.853557	valid_1's auc: 0.850403
[78]	training's auc: 0.853783	valid_1's auc: 0.850567
[79]	training's auc: 0.853971	valid_1's auc: 0.850689
[80]	training's auc: 0.85413	valid_1's auc: 0.850808
[81]	training's auc: 0.854312	valid_1's auc: 0.850939
[82]	training's auc: 0.854497	valid_1's auc: 0.851075
[83]	training's auc: 0.854659	valid_1's auc: 0.851187
[84]	training's auc: 0.854821	valid_1's auc: 0.851278
[85]	training's auc: 0.85493	valid_1's auc: 0.851363
[86]	training's auc: 0.85511	valid_1's auc: 0.851494
[87]	training's auc: 0.855243	valid_1's auc: 0.851553
[88]	training's auc: 0.855378	valid_1's auc: 0.851661
[89]	training's auc: 0.855546	valid_1's auc: 0.851763
[90]	training's auc: 0.85567	valid_1's auc: 0.851848
[91]	training's auc: 0.855872	valid_1's auc: 0.851985
[92]	training's auc: 0.856025	valid_1's auc: 0.852088
[93]	training's auc: 0.856178	valid_1's auc: 0.85216
[94]	training's auc: 0.856296	valid_1's auc: 0.852228
[95]	training's auc: 0.856448	valid_1's auc: 0.852329
[96]	training's auc: 0.856583	valid_1's auc: 0.852411
[97]	training's auc: 0.85674	valid_1's auc: 0.852521
[98]	training's auc: 0.856897	valid_1's auc: 0.852619
