[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.82241	valid_1's auc: 0.82013
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.827372	valid_1's auc: 0.825083
[3]	training's auc: 0.831428	valid_1's auc: 0.829282
[4]	training's auc: 0.834601	valid_1's auc: 0.832586
[5]	training's auc: 0.837017	valid_1's auc: 0.835007
[6]	training's auc: 0.838497	valid_1's auc: 0.836524
[7]	training's auc: 0.839405	valid_1's auc: 0.837403
[8]	training's auc: 0.840728	valid_1's auc: 0.838733
[9]	training's auc: 0.841776	valid_1's auc: 0.839676
[10]	training's auc: 0.842662	valid_1's auc: 0.84056
[11]	training's auc: 0.843687	valid_1's auc: 0.841519
[12]	training's auc: 0.844323	valid_1's auc: 0.842048
[13]	training's auc: 0.845111	valid_1's auc: 0.842752
[14]	training's auc: 0.845856	valid_1's auc: 0.843407
[15]	training's auc: 0.84645	valid_1's auc: 0.843889
[16]	training's auc: 0.846958	valid_1's auc: 0.844282
[17]	training's auc: 0.847563	valid_1's auc: 0.844853
[18]	training's auc: 0.848213	valid_1's auc: 0.845409
[19]	training's auc: 0.848828	valid_1's auc: 0.845901
[20]	training's auc: 0.849498	valid_1's auc: 0.846459
[21]	training's auc: 0.850127	valid_1's auc: 0.847014
[22]	training's auc: 0.850707	valid_1's auc: 0.847445
[23]	training's auc: 0.851234	valid_1's auc: 0.847836
[24]	training's auc: 0.851754	valid_1's auc: 0.848231
[25]	training's auc: 0.85226	valid_1's auc: 0.848616
[26]	training's auc: 0.852745	valid_1's auc: 0.848971
[27]	training's auc: 0.853235	valid_1's auc: 0.849238
[28]	training's auc: 0.853691	valid_1's auc: 0.84958
[29]	training's auc: 0.854174	valid_1's auc: 0.84988
[30]	training's auc: 0.854603	valid_1's auc: 0.85015
[31]	training's auc: 0.854951	valid_1's auc: 0.85041
[32]	training's auc: 0.855348	valid_1's auc: 0.850691
[33]	training's auc: 0.855704	valid_1's auc: 0.850879
[34]	training's auc: 0.856034	valid_1's auc: 0.851086
[35]	training's auc: 0.856402	valid_1's auc: 0.851295
[36]	training's auc: 0.856749	valid_1's auc: 0.851488
[37]	training's auc: 0.857074	valid_1's auc: 0.851705
[38]	training's auc: 0.857393	valid_1's auc: 0.851818
[39]	training's auc: 0.857726	valid_1's auc: 0.852005
[40]	training's auc: 0.858018	valid_1's auc: 0.852192
[41]	training's auc: 0.858268	valid_1's auc: 0.852305
[42]	training's auc: 0.858637	valid_1's auc: 0.852587
[43]	training's auc: 0.858914	valid_1's auc: 0.852704
[44]	training's auc: 0.859273	valid_1's auc: 0.852874
[45]	training's auc: 0.859513	valid_1's auc: 0.852987
[46]	training's auc: 0.859768	valid_1's auc: 0.853082
[47]	training's auc: 0.860008	valid_1's auc: 0.853196
[48]	training's auc: 0.86025	valid_1's auc: 0.853305
[49]	training's auc: 0.860381	valid_1's auc: 0.853346
[50]	training's auc: 0.8605	valid_1's auc: 0.853374
[51]	training's auc: 0.86072	valid_1's auc: 0.8535
[52]	training's auc: 0.860941	valid_1's auc: 0.853609
[53]	training's auc: 0.861157	valid_1's auc: 0.853695
[54]	training's auc: 0.861317	valid_1's auc: 0.853761
[55]	training's auc: 0.861461	valid_1's auc: 0.853817
[56]	training's auc: 0.861659	valid_1's auc: 0.853863
[57]	training's auc: 0.861897	valid_1's auc: 0.853946
[58]	training's auc: 0.862054	valid_1's auc: 0.853998
[59]	training's auc: 0.862114	valid_1's auc: 0.854005
[60]	training's auc: 0.862314	valid_1's auc: 0.854089
[61]	training's auc: 0.862498	valid_1's auc: 0.854154
[62]	training's auc: 0.862673	valid_1's auc: 0.854211
[63]	training's auc: 0.862861	valid_1's auc: 0.854279
[64]	training's auc: 0.863087	valid_1's auc: 0.854359
[65]	training's auc: 0.863169	valid_1's auc: 0.854386
[66]	training's auc: 0.863271	valid_1's auc: 0.854403
[67]	training's auc: 0.863561	valid_1's auc: 0.854578
[68]	training's auc: 0.863666	valid_1's auc: 0.854619
[69]	training's auc: 0.863861	valid_1's auc: 0.854719
[70]	training's auc: 0.863943	valid_1's auc: 0.854744
[71]	training's auc: 0.864048	valid_1's auc: 0.854752
[72]	training's auc: 0.864317	valid_1's auc: 0.854872
[73]	training's auc: 0.864452	valid_1's auc: 0.85493
[74]	training's auc: 0.864737	valid_1's auc: 0.855103
[75]	training's auc: 0.864861	valid_1's auc: 0.855111
[76]	training's auc: 0.864971	valid_1's auc: 0.855123
[77]	training's auc: 0.865088	valid_1's auc: 0.855145
[78]	training's auc: 0.865244	valid_1's auc: 0.855187
[79]	training's auc: 0.865409	valid_1's auc: 0.855237
[80]	training's auc: 0.86556	valid_1's auc: 0.85529
[81]	training's auc: 0.865632	valid_1's auc: 0.855293
[82]	training's auc: 0.865736	valid_1's auc: 0.855299
[83]	training's auc: 0.865792	valid_1's auc: 0.855301
[84]	training's auc: 0.86588	valid_1's auc: 0.855302
[85]	training's auc: 0.865943	valid_1's auc: 0.855322
[86]	training's auc: 0.866179	valid_1's auc: 0.855466
[87]	training's auc: 0.866413	valid_1's auc: 0.855614
[88]	training's auc: 0.866533	valid_1's auc: 0.855625
[89]	training's auc: 0.866622	valid_1's auc: 0.855629
[90]	training's auc: 0.866804	valid_1's auc: 0.85569
[91]	training's auc: 0.866912	valid_1's auc: 0.855716
[92]	training's auc: 0.867098	valid_1's auc: 0.855779
[93]	training's auc: 0.867193	valid_1's auc: 0.855807
[94]	training's auc: 0.867365	valid_1's auc: 0.855838
[95]	training's auc: 0.867642	valid_1's auc: 0.855983
[96]	training's auc: 0.867717	valid_1's auc: 0.855987
[97]	training's auc: 0.867774	valid_1's auc: 0.855992
[98]	training's auc: 0.86786	valid_1's auc: 0.855994
[99]	training's auc: 0.867901	valid_1's auc: 0.855987
[100]	training's auc: 0.867982	valid_1's auc: 0.855985
[101]	training's auc: 0.868057	valid_1's auc: 0.855988
[102]	training's auc: 0.868106	valid_1's auc: 0.855985
[103]	training's auc: 0.868293	valid_1's auc: 0.856048
[104]	training's auc: 0.868514	valid_1's auc: 0.856142
[105]	training's auc: 0.868595	valid_1's auc: 0.856139
[106]	training's auc: 0.868643	valid_1's auc: 0.856131
[107]	training's auc: 0.868786	valid_1's auc: 0.856213
[108]	training's auc: 0.868927	valid_1's auc: 0.856246
[109]	training's auc: 0.869139	valid_1's auc: 0.856367
[110]	training's auc: 0.869204	valid_1's auc: 0.856363
[111]	training's auc: 0.869313	valid_1's auc: 0.856362
[112]	training's auc: 0.869487	valid_1's auc: 0.856426
[113]	training's auc: 0.86954	valid_1's auc: 0.85643
[114]	training's auc: 0.869604	valid_1's auc: 0.856424
[115]	training's auc: 0.869699	valid_1's auc: 0.856432
[116]	training's auc: 0.86976	valid_1's auc: 0.856425
[117]	training's auc: 0.869855	valid_1's auc: 0.856454
[118]	training's auc: 0.869953	valid_1's auc: 0.856462
[119]	training's auc: 0.870052	valid_1's auc: 0.856469
[120]	training's auc: 0.870155	valid_1's auc: 0.856488
[121]	training's auc: 0.870373	valid_1's auc: 0.856604
[122]	training's auc: 0.870513	valid_1's auc: 0.856652
[123]	training's auc: 0.870592	valid_1's auc: 0.856663
[124]	training's auc: 0.87066	valid_1's auc: 0.856662
[125]	training's auc: 0.870745	valid_1's auc: 0.856669
[126]	training's auc: 0.870882	valid_1's auc: 0.856697
[127]	training's auc: 0.871026	valid_1's auc: 0.856745
[128]	training's auc: 0.87109	valid_1's auc: 0.856758
[129]	training's auc: 0.871129	valid_1's auc: 0.856761
[130]	training's auc: 0.871192	valid_1's auc: 0.85676
[131]	training's auc: 0.871286	valid_1's auc: 0.856763
[132]	training's auc: 0.871338	valid_1's auc: 0.856758
[133]	training's auc: 0.871478	valid_1's auc: 0.856794
[134]	training's auc: 0.871559	valid_1's auc: 0.856802
[135]	training's auc: 0.871704	valid_1's auc: 0.856826
[136]	training's auc: 0.871862	valid_1's auc: 0.856918
