[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.820523	valid_1's auc: 0.819214
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.823514	valid_1's auc: 0.822431
[3]	training's auc: 0.829925	valid_1's auc: 0.828632
[4]	training's auc: 0.831248	valid_1's auc: 0.829802
[5]	training's auc: 0.83255	valid_1's auc: 0.831256
[6]	training's auc: 0.834344	valid_1's auc: 0.833168
[7]	training's auc: 0.83459	valid_1's auc: 0.833486
[8]	training's auc: 0.835368	valid_1's auc: 0.834193
[9]	training's auc: 0.834922	valid_1's auc: 0.833804
[10]	training's auc: 0.835469	valid_1's auc: 0.834416
[11]	training's auc: 0.835815	valid_1's auc: 0.83475
[12]	training's auc: 0.835895	valid_1's auc: 0.83482
[13]	training's auc: 0.837208	valid_1's auc: 0.836044
[14]	training's auc: 0.837223	valid_1's auc: 0.836033
[15]	training's auc: 0.837937	valid_1's auc: 0.836726
[16]	training's auc: 0.838311	valid_1's auc: 0.837066
[17]	training's auc: 0.838768	valid_1's auc: 0.837516
[18]	training's auc: 0.838932	valid_1's auc: 0.837706
[19]	training's auc: 0.839332	valid_1's auc: 0.838073
[20]	training's auc: 0.839914	valid_1's auc: 0.838663
[21]	training's auc: 0.840018	valid_1's auc: 0.838785
[22]	training's auc: 0.840432	valid_1's auc: 0.839167
[23]	training's auc: 0.840867	valid_1's auc: 0.839608
[24]	training's auc: 0.841349	valid_1's auc: 0.840075
[25]	training's auc: 0.841538	valid_1's auc: 0.840249
[26]	training's auc: 0.841952	valid_1's auc: 0.840634
[27]	training's auc: 0.842154	valid_1's auc: 0.840882
[28]	training's auc: 0.84226	valid_1's auc: 0.840968
[29]	training's auc: 0.842424	valid_1's auc: 0.841046
[30]	training's auc: 0.842858	valid_1's auc: 0.841398
[31]	training's auc: 0.842982	valid_1's auc: 0.841506
[32]	training's auc: 0.84337	valid_1's auc: 0.84181
[33]	training's auc: 0.843451	valid_1's auc: 0.841917
[34]	training's auc: 0.843683	valid_1's auc: 0.842052
[35]	training's auc: 0.843914	valid_1's auc: 0.842275
[36]	training's auc: 0.844085	valid_1's auc: 0.842431
[37]	training's auc: 0.844223	valid_1's auc: 0.84256
[38]	training's auc: 0.844565	valid_1's auc: 0.842868
[39]	training's auc: 0.844699	valid_1's auc: 0.842976
[40]	training's auc: 0.844948	valid_1's auc: 0.843236
[41]	training's auc: 0.845108	valid_1's auc: 0.843331
[42]	training's auc: 0.845394	valid_1's auc: 0.843576
[43]	training's auc: 0.845644	valid_1's auc: 0.84377
[44]	training's auc: 0.845907	valid_1's auc: 0.844032
[45]	training's auc: 0.84612	valid_1's auc: 0.84418
[46]	training's auc: 0.846316	valid_1's auc: 0.844302
[47]	training's auc: 0.846603	valid_1's auc: 0.844519
[48]	training's auc: 0.846803	valid_1's auc: 0.844755
[49]	training's auc: 0.846969	valid_1's auc: 0.84488
[50]	training's auc: 0.847213	valid_1's auc: 0.845117
[51]	training's auc: 0.847526	valid_1's auc: 0.845406
[52]	training's auc: 0.847682	valid_1's auc: 0.845507
[53]	training's auc: 0.847826	valid_1's auc: 0.845605
[54]	training's auc: 0.848003	valid_1's auc: 0.845758
[55]	training's auc: 0.848164	valid_1's auc: 0.845912
[56]	training's auc: 0.848316	valid_1's auc: 0.846028
[57]	training's auc: 0.848458	valid_1's auc: 0.846168
[58]	training's auc: 0.848577	valid_1's auc: 0.846265
[59]	training's auc: 0.848812	valid_1's auc: 0.84647
[60]	training's auc: 0.84895	valid_1's auc: 0.846582
[61]	training's auc: 0.849163	valid_1's auc: 0.846727
[62]	training's auc: 0.849394	valid_1's auc: 0.846912
[63]	training's auc: 0.849683	valid_1's auc: 0.847175
[64]	training's auc: 0.849857	valid_1's auc: 0.847315
[65]	training's auc: 0.849998	valid_1's auc: 0.847443
[66]	training's auc: 0.850156	valid_1's auc: 0.847587
[67]	training's auc: 0.850454	valid_1's auc: 0.847849
[68]	training's auc: 0.850634	valid_1's auc: 0.847975
[69]	training's auc: 0.850834	valid_1's auc: 0.848116
[70]	training's auc: 0.85098	valid_1's auc: 0.848215
[71]	training's auc: 0.851203	valid_1's auc: 0.848387
[72]	training's auc: 0.85142	valid_1's auc: 0.848585
[73]	training's auc: 0.851558	valid_1's auc: 0.848696
[74]	training's auc: 0.851696	valid_1's auc: 0.848799
[75]	training's auc: 0.851845	valid_1's auc: 0.848883
[76]	training's auc: 0.852009	valid_1's auc: 0.849024
[77]	training's auc: 0.852174	valid_1's auc: 0.849144
[78]	training's auc: 0.85228	valid_1's auc: 0.849229
[79]	training's auc: 0.85248	valid_1's auc: 0.849408
[80]	training's auc: 0.85268	valid_1's auc: 0.849561
[81]	training's auc: 0.852872	valid_1's auc: 0.84971
[82]	training's auc: 0.853063	valid_1's auc: 0.849851
[83]	training's auc: 0.853243	valid_1's auc: 0.849962
[84]	training's auc: 0.853443	valid_1's auc: 0.850097
[85]	training's auc: 0.85356	valid_1's auc: 0.850175
[86]	training's auc: 0.853795	valid_1's auc: 0.850368
[87]	training's auc: 0.853902	valid_1's auc: 0.850445
[88]	training's auc: 0.854017	valid_1's auc: 0.850507
[89]	training's auc: 0.854138	valid_1's auc: 0.850605
[90]	training's auc: 0.854299	valid_1's auc: 0.850717
[91]	training's auc: 0.854477	valid_1's auc: 0.850833
[92]	training's auc: 0.85459	valid_1's auc: 0.850939
[93]	training's auc: 0.854752	valid_1's auc: 0.851066
[94]	training's auc: 0.854883	valid_1's auc: 0.851132
[95]	training's auc: 0.855039	valid_1's auc: 0.851232
[96]	training's auc: 0.855156	valid_1's auc: 0.851276
[97]	training's auc: 0.855316	valid_1's auc: 0.851399
[98]	training's auc: 0.855411	valid_1's auc: 0.851466
[99]	training's auc: 0.855499	valid_1's auc: 0.851509
[100]	training's auc: 0.855615	valid_1's auc: 0.851603
[101]	training's auc: 0.855693	valid_1's auc: 0.85169
[102]	training's auc: 0.855839	valid_1's auc: 0.851797
[103]	training's auc: 0.855999	valid_1's auc: 0.85194
[104]	training's auc: 0.856207	valid_1's auc: 0.852115
[105]	training's auc: 0.856354	valid_1's auc: 0.852214
[106]	training's auc: 0.856529	valid_1's auc: 0.852351
