[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.818805	valid_1's auc: 0.820169
Training until validation scores don't improve for 30 rounds
[2]	training's auc: 0.830197	valid_1's auc: 0.831198
[3]	training's auc: 0.832844	valid_1's auc: 0.833528
[4]	training's auc: 0.83698	valid_1's auc: 0.837738
[5]	training's auc: 0.84006	valid_1's auc: 0.840723
[6]	training's auc: 0.842161	valid_1's auc: 0.842613
[7]	training's auc: 0.843985	valid_1's auc: 0.844315
[8]	training's auc: 0.845136	valid_1's auc: 0.845268
[9]	training's auc: 0.846194	valid_1's auc: 0.846212
[10]	training's auc: 0.847447	valid_1's auc: 0.847346
[11]	training's auc: 0.848703	valid_1's auc: 0.848377
[12]	training's auc: 0.849809	valid_1's auc: 0.849256
[13]	training's auc: 0.850707	valid_1's auc: 0.849843
[14]	training's auc: 0.851647	valid_1's auc: 0.850479
[15]	training's auc: 0.852507	valid_1's auc: 0.851122
[16]	training's auc: 0.853329	valid_1's auc: 0.851506
[17]	training's auc: 0.853867	valid_1's auc: 0.851769
[18]	training's auc: 0.854588	valid_1's auc: 0.85231
[19]	training's auc: 0.855269	valid_1's auc: 0.852809
[20]	training's auc: 0.855912	valid_1's auc: 0.853148
[21]	training's auc: 0.856399	valid_1's auc: 0.853443
[22]	training's auc: 0.856731	valid_1's auc: 0.85356
[23]	training's auc: 0.85707	valid_1's auc: 0.853679
[24]	training's auc: 0.857528	valid_1's auc: 0.853942
[25]	training's auc: 0.858019	valid_1's auc: 0.854222
[26]	training's auc: 0.858432	valid_1's auc: 0.854363
[27]	training's auc: 0.858817	valid_1's auc: 0.854525
[28]	training's auc: 0.859257	valid_1's auc: 0.854728
[29]	training's auc: 0.859692	valid_1's auc: 0.854961
[30]	training's auc: 0.859983	valid_1's auc: 0.855082
[31]	training's auc: 0.860489	valid_1's auc: 0.855371
[32]	training's auc: 0.860651	valid_1's auc: 0.855367
[33]	training's auc: 0.860869	valid_1's auc: 0.855421
[34]	training's auc: 0.861157	valid_1's auc: 0.855558
[35]	training's auc: 0.861591	valid_1's auc: 0.855723
[36]	training's auc: 0.861953	valid_1's auc: 0.855763
[37]	training's auc: 0.86225	valid_1's auc: 0.855869
[38]	training's auc: 0.862419	valid_1's auc: 0.855872
[39]	training's auc: 0.862895	valid_1's auc: 0.856108
[40]	training's auc: 0.863318	valid_1's auc: 0.856312
[41]	training's auc: 0.863585	valid_1's auc: 0.856441
[42]	training's auc: 0.863768	valid_1's auc: 0.85647
[43]	training's auc: 0.863916	valid_1's auc: 0.856446
[44]	training's auc: 0.864081	valid_1's auc: 0.856441
[45]	training's auc: 0.864325	valid_1's auc: 0.856471
[46]	training's auc: 0.864531	valid_1's auc: 0.856583
[47]	training's auc: 0.864643	valid_1's auc: 0.856574
[48]	training's auc: 0.864948	valid_1's auc: 0.856709
[49]	training's auc: 0.865258	valid_1's auc: 0.856841
[50]	training's auc: 0.865506	valid_1's auc: 0.856891
[51]	training's auc: 0.865627	valid_1's auc: 0.8569
[52]	training's auc: 0.865767	valid_1's auc: 0.856884
[53]	training's auc: 0.865906	valid_1's auc: 0.85687
[54]	training's auc: 0.866223	valid_1's auc: 0.857036
[55]	training's auc: 0.866467	valid_1's auc: 0.857078
[56]	training's auc: 0.866572	valid_1's auc: 0.857038
[57]	training's auc: 0.866896	valid_1's auc: 0.857186
[58]	training's auc: 0.867155	valid_1's auc: 0.857264
[59]	training's auc: 0.867417	valid_1's auc: 0.857304
[60]	training's auc: 0.867535	valid_1's auc: 0.857303
[61]	training's auc: 0.867672	valid_1's auc: 0.857271
[62]	training's auc: 0.867775	valid_1's auc: 0.857207
[63]	training's auc: 0.868061	valid_1's auc: 0.857282
[64]	training's auc: 0.868319	valid_1's auc: 0.857312
[65]	training's auc: 0.868549	valid_1's auc: 0.857432
[66]	training's auc: 0.868649	valid_1's auc: 0.85746
[67]	training's auc: 0.868932	valid_1's auc: 0.857471
[68]	training's auc: 0.869152	valid_1's auc: 0.857562
[69]	training's auc: 0.86947	valid_1's auc: 0.857621
[70]	training's auc: 0.869775	valid_1's auc: 0.857763
[71]	training's auc: 0.869895	valid_1's auc: 0.857763
[72]	training's auc: 0.870028	valid_1's auc: 0.857741
[73]	training's auc: 0.87011	valid_1's auc: 0.857707
[74]	training's auc: 0.870377	valid_1's auc: 0.857768
[75]	training's auc: 0.870538	valid_1's auc: 0.857759
[76]	training's auc: 0.870636	valid_1's auc: 0.857745
[77]	training's auc: 0.870824	valid_1's auc: 0.857791
[78]	training's auc: 0.871066	valid_1's auc: 0.857923
[79]	training's auc: 0.871287	valid_1's auc: 0.857985
[80]	training's auc: 0.871572	valid_1's auc: 0.858071
[81]	training's auc: 0.871697	valid_1's auc: 0.858054
[82]	training's auc: 0.87178	valid_1's auc: 0.858061
[83]	training's auc: 0.871946	valid_1's auc: 0.858096
[84]	training's auc: 0.872071	valid_1's auc: 0.858114
[85]	training's auc: 0.872203	valid_1's auc: 0.858149
[86]	training's auc: 0.872424	valid_1's auc: 0.858173
[87]	training's auc: 0.872672	valid_1's auc: 0.858354
[88]	training's auc: 0.87288	valid_1's auc: 0.85841
[89]	training's auc: 0.872962	valid_1's auc: 0.858386
[90]	training's auc: 0.873054	valid_1's auc: 0.858375
[91]	training's auc: 0.873141	valid_1's auc: 0.858369
[92]	training's auc: 0.87325	valid_1's auc: 0.85838
[93]	training's auc: 0.873354	valid_1's auc: 0.858364
[94]	training's auc: 0.87354	valid_1's auc: 0.858336
[95]	training's auc: 0.873633	valid_1's auc: 0.858345
[96]	training's auc: 0.873712	valid_1's auc: 0.858317
[97]	training's auc: 0.873938	valid_1's auc: 0.858347
[98]	training's auc: 0.874171	valid_1's auc: 0.858414
[99]	training's auc: 0.874282	valid_1's auc: 0.858421
[100]	training's auc: 0.874435	valid_1's auc: 0.858455
[101]	training's auc: 0.874532	valid_1's auc: 0.858435
[102]	training's auc: 0.874602	valid_1's auc: 0.858382
[103]	training's auc: 0.874716	valid_1's auc: 0.858356
[104]	training's auc: 0.874892	valid_1's auc: 0.858412
[105]	training's auc: 0.87497	valid_1's auc: 0.858382
[106]	training's auc: 0.875181	valid_1's auc: 0.858464
[107]	training's auc: 0.875281	valid_1's auc: 0.858496
[108]	training's auc: 0.875505	valid_1's auc: 0.858594
[109]	training's auc: 0.875716	valid_1's auc: 0.858619
[110]	training's auc: 0.875799	valid_1's auc: 0.85859
[111]	training's auc: 0.87593	valid_1's auc: 0.858605
[112]	training's auc: 0.876103	valid_1's auc: 0.85865
[113]	training's auc: 0.876188	valid_1's auc: 0.858654
[114]	training's auc: 0.876323	valid_1's auc: 0.858696
[115]	training's auc: 0.876399	valid_1's auc: 0.858701
[116]	training's auc: 0.876567	valid_1's auc: 0.858731
[117]	training's auc: 0.876695	valid_1's auc: 0.858733
[118]	training's auc: 0.876871	valid_1's auc: 0.858759
[119]	training's auc: 0.877021	valid_1's auc: 0.858793
[120]	training's auc: 0.877248	valid_1's auc: 0.858852
[121]	training's auc: 0.877364	valid_1's auc: 0.858858
[122]	training's auc: 0.877425	valid_1's auc: 0.858842
[123]	training's auc: 0.877477	valid_1's auc: 0.858839
[124]	training's auc: 0.877562	valid_1's auc: 0.858813
[125]	training's auc: 0.877615	valid_1's auc: 0.858786
[126]	training's auc: 0.87771	valid_1's auc: 0.858765
[127]	training's auc: 0.877911	valid_1's auc: 0.858822
[128]	training's auc: 0.877971	valid_1's auc: 0.858776
[129]	training's auc: 0.878045	valid_1's auc: 0.858776
[130]	training's auc: 0.878238	valid_1's auc: 0.858872
[131]	training's auc: 0.878361	valid_1's auc: 0.858879
[132]	training's auc: 0.878416	valid_1's auc: 0.858859
[133]	training's auc: 0.878515	valid_1's auc: 0.85884
[134]	training's auc: 0.878586	valid_1's auc: 0.85882
[135]	training's auc: 0.878748	valid_1's auc: 0.858833
[136]	training's auc: 0.878928	valid_1's auc: 0.858881
[137]	training's auc: 0.878996	valid_1's auc: 0.858904
[138]	training's auc: 0.87918	valid_1's auc: 0.858936
[139]	training's auc: 0.87936	valid_1's auc: 0.85896
[140]	training's auc: 0.879427	valid_1's auc: 0.858936
[141]	training's auc: 0.879521	valid_1's auc: 0.858955
[142]	training's auc: 0.8797	valid_1's auc: 0.858942
[143]	training's auc: 0.879821	valid_1's auc: 0.858919
[144]	training's auc: 0.880008	valid_1's auc: 0.858981
[145]	training's auc: 0.880084	valid_1's auc: 0.858949
[146]	training's auc: 0.880317	valid_1's auc: 0.858984
[147]	training's auc: 0.880385	valid_1's auc: 0.858962
[148]	training's auc: 0.880442	valid_1's auc: 0.858969
[149]	training's auc: 0.880595	valid_1's auc: 0.859021
[150]	training's auc: 0.880736	valid_1's auc: 0.859002
[151]	training's auc: 0.880813	valid_1's auc: 0.858995
[152]	training's auc: 0.880858	valid_1's auc: 0.859008
[153]	training's auc: 0.880963	valid_1's auc: 0.858985
[154]	training's auc: 0.881135	valid_1's auc: 0.858962
[155]	training's auc: 0.881192	valid_1's auc: 0.85895
[156]	training's auc: 0.881315	valid_1's auc: 0.858952
[157]	training's auc: 0.881403	valid_1's auc: 0.858913
[158]	training's auc: 0.881472	valid_1's auc: 0.858886
[159]	training's auc: 0.881538	valid_1's auc: 0.858914
[160]	training's auc: 0.881608	valid_1's auc: 0.858877
[161]	training's auc: 0.881698	valid_1's auc: 0.858895
[162]	training's auc: 0.881787	valid_1's auc: 0.858888
[163]	training's auc: 0.881844	valid_1's auc: 0.858884
[164]	training's auc: 0.881928	valid_1's auc: 0.858902
[165]	training's auc: 0.882024	valid_1's auc: 0.858893
[166]	training's auc: 0.882107	valid_1's auc: 0.858877
[167]	training's auc: 0.882269	valid_1's auc: 0.858879
[168]	training's auc: 0.882332	valid_1's auc: 0.858852
