[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.821564	valid_1's auc: 0.8216
Training until validation scores don't improve for 50 rounds
[2]	training's auc: 0.832158	valid_1's auc: 0.832073
[3]	training's auc: 0.837086	valid_1's auc: 0.836527
[4]	training's auc: 0.84043	valid_1's auc: 0.839794
[5]	training's auc: 0.842951	valid_1's auc: 0.841889
[6]	training's auc: 0.844969	valid_1's auc: 0.843485
[7]	training's auc: 0.847036	valid_1's auc: 0.845225
[8]	training's auc: 0.848553	valid_1's auc: 0.846387
[9]	training's auc: 0.850148	valid_1's auc: 0.847503
[10]	training's auc: 0.851012	valid_1's auc: 0.847926
[11]	training's auc: 0.852047	valid_1's auc: 0.848428
[12]	training's auc: 0.853408	valid_1's auc: 0.849212
[13]	training's auc: 0.854908	valid_1's auc: 0.850323
[14]	training's auc: 0.855749	valid_1's auc: 0.850538
[15]	training's auc: 0.856463	valid_1's auc: 0.850981
[16]	training's auc: 0.857484	valid_1's auc: 0.851401
[17]	training's auc: 0.857929	valid_1's auc: 0.851916
[18]	training's auc: 0.858824	valid_1's auc: 0.852378
[19]	training's auc: 0.859705	valid_1's auc: 0.852876
[20]	training's auc: 0.860255	valid_1's auc: 0.853152
[21]	training's auc: 0.860522	valid_1's auc: 0.853232
[22]	training's auc: 0.860858	valid_1's auc: 0.853289
[23]	training's auc: 0.861418	valid_1's auc: 0.853588
[24]	training's auc: 0.861767	valid_1's auc: 0.853693
[25]	training's auc: 0.86213	valid_1's auc: 0.853787
[26]	training's auc: 0.862643	valid_1's auc: 0.854043
[27]	training's auc: 0.863138	valid_1's auc: 0.854321
[28]	training's auc: 0.863723	valid_1's auc: 0.85449
[29]	training's auc: 0.863927	valid_1's auc: 0.854451
[30]	training's auc: 0.864723	valid_1's auc: 0.854797
[31]	training's auc: 0.865056	valid_1's auc: 0.85488
[32]	training's auc: 0.865491	valid_1's auc: 0.855149
[33]	training's auc: 0.865763	valid_1's auc: 0.855215
[34]	training's auc: 0.865907	valid_1's auc: 0.855157
[35]	training's auc: 0.86636	valid_1's auc: 0.85529
[36]	training's auc: 0.86681	valid_1's auc: 0.855503
[37]	training's auc: 0.866991	valid_1's auc: 0.855469
[38]	training's auc: 0.867097	valid_1's auc: 0.85551
[39]	training's auc: 0.867616	valid_1's auc: 0.855648
[40]	training's auc: 0.867902	valid_1's auc: 0.855693
[41]	training's auc: 0.868314	valid_1's auc: 0.85573
[42]	training's auc: 0.868517	valid_1's auc: 0.855683
[43]	training's auc: 0.868689	valid_1's auc: 0.855679
[44]	training's auc: 0.868985	valid_1's auc: 0.855783
[45]	training's auc: 0.869344	valid_1's auc: 0.855899
[46]	training's auc: 0.869497	valid_1's auc: 0.855862
[47]	training's auc: 0.86969	valid_1's auc: 0.855871
[48]	training's auc: 0.870012	valid_1's auc: 0.855899
[49]	training's auc: 0.870175	valid_1's auc: 0.855901
[50]	training's auc: 0.8703	valid_1's auc: 0.855856
[51]	training's auc: 0.87061	valid_1's auc: 0.855893
[52]	training's auc: 0.870785	valid_1's auc: 0.85591
[53]	training's auc: 0.871194	valid_1's auc: 0.856036
[54]	training's auc: 0.87134	valid_1's auc: 0.85599
[55]	training's auc: 0.871722	valid_1's auc: 0.856126
[56]	training's auc: 0.871871	valid_1's auc: 0.856083
[57]	training's auc: 0.872094	valid_1's auc: 0.856178
[58]	training's auc: 0.872349	valid_1's auc: 0.856199
[59]	training's auc: 0.872556	valid_1's auc: 0.85619
[60]	training's auc: 0.872804	valid_1's auc: 0.85619
[61]	training's auc: 0.872859	valid_1's auc: 0.856212
[62]	training's auc: 0.873003	valid_1's auc: 0.856202
[63]	training's auc: 0.873085	valid_1's auc: 0.856207
[64]	training's auc: 0.873294	valid_1's auc: 0.856219
[65]	training's auc: 0.873622	valid_1's auc: 0.856287
[66]	training's auc: 0.873904	valid_1's auc: 0.856326
[67]	training's auc: 0.874101	valid_1's auc: 0.856305
[68]	training's auc: 0.87428	valid_1's auc: 0.85636
[69]	training's auc: 0.874537	valid_1's auc: 0.856356
[70]	training's auc: 0.874725	valid_1's auc: 0.856312
[71]	training's auc: 0.874833	valid_1's auc: 0.856302
[72]	training's auc: 0.875055	valid_1's auc: 0.856284
[73]	training's auc: 0.875104	valid_1's auc: 0.856282
[74]	training's auc: 0.875274	valid_1's auc: 0.856393
[75]	training's auc: 0.875473	valid_1's auc: 0.856439
[76]	training's auc: 0.875603	valid_1's auc: 0.856497
[77]	training's auc: 0.875735	valid_1's auc: 0.856493
[78]	training's auc: 0.875992	valid_1's auc: 0.856481
[79]	training's auc: 0.876173	valid_1's auc: 0.856469
[80]	training's auc: 0.876487	valid_1's auc: 0.856604
[81]	training's auc: 0.876661	valid_1's auc: 0.856597
[82]	training's auc: 0.876714	valid_1's auc: 0.856608
[83]	training's auc: 0.876766	valid_1's auc: 0.856591
[84]	training's auc: 0.877025	valid_1's auc: 0.856615
[85]	training's auc: 0.877168	valid_1's auc: 0.856617
[86]	training's auc: 0.877322	valid_1's auc: 0.856662
[87]	training's auc: 0.877417	valid_1's auc: 0.856727
[88]	training's auc: 0.877572	valid_1's auc: 0.856755
[89]	training's auc: 0.877675	valid_1's auc: 0.856811
[90]	training's auc: 0.877843	valid_1's auc: 0.856818
[91]	training's auc: 0.877998	valid_1's auc: 0.856785
[92]	training's auc: 0.878191	valid_1's auc: 0.856783
[93]	training's auc: 0.878212	valid_1's auc: 0.856797
[94]	training's auc: 0.878229	valid_1's auc: 0.856772
[95]	training's auc: 0.878408	valid_1's auc: 0.856834
[96]	training's auc: 0.878612	valid_1's auc: 0.856812
[97]	training's auc: 0.878806	valid_1's auc: 0.856811
[98]	training's auc: 0.879007	valid_1's auc: 0.856777
[99]	training's auc: 0.879023	valid_1's auc: 0.856801
[100]	training's auc: 0.879183	valid_1's auc: 0.856795
[101]	training's auc: 0.879347	valid_1's auc: 0.856801
[102]	training's auc: 0.879502	valid_1's auc: 0.856834
[103]	training's auc: 0.879663	valid_1's auc: 0.856821
[104]	training's auc: 0.879845	valid_1's auc: 0.856831
[105]	training's auc: 0.87991	valid_1's auc: 0.856836
[106]	training's auc: 0.88009	valid_1's auc: 0.856828
[107]	training's auc: 0.880196	valid_1's auc: 0.856836
[108]	training's auc: 0.880342	valid_1's auc: 0.856797
[109]	training's auc: 0.880377	valid_1's auc: 0.856824
[110]	training's auc: 0.880497	valid_1's auc: 0.856789
[111]	training's auc: 0.880597	valid_1's auc: 0.856836
[112]	training's auc: 0.880708	valid_1's auc: 0.856859
[113]	training's auc: 0.88077	valid_1's auc: 0.856846
[114]	training's auc: 0.880956	valid_1's auc: 0.856822
[115]	training's auc: 0.881094	valid_1's auc: 0.856853
[116]	training's auc: 0.88112	valid_1's auc: 0.856862
[117]	training's auc: 0.881241	valid_1's auc: 0.856873
[118]	training's auc: 0.881329	valid_1's auc: 0.856863
