[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.819976	valid_1's auc: 0.818502
Training until validation scores don't improve for 50 rounds
[2]	training's auc: 0.830233	valid_1's auc: 0.829
[3]	training's auc: 0.832854	valid_1's auc: 0.831615
[4]	training's auc: 0.836676	valid_1's auc: 0.835496
[5]	training's auc: 0.839262	valid_1's auc: 0.838038
[6]	training's auc: 0.841274	valid_1's auc: 0.839883
[7]	training's auc: 0.842842	valid_1's auc: 0.841389
[8]	training's auc: 0.844272	valid_1's auc: 0.842793
[9]	training's auc: 0.84537	valid_1's auc: 0.843682
[10]	training's auc: 0.846197	valid_1's auc: 0.844349
[11]	training's auc: 0.847289	valid_1's auc: 0.845232
[12]	training's auc: 0.848606	valid_1's auc: 0.846194
[13]	training's auc: 0.849769	valid_1's auc: 0.847209
[14]	training's auc: 0.850794	valid_1's auc: 0.848016
[15]	training's auc: 0.851378	valid_1's auc: 0.848434
[16]	training's auc: 0.85219	valid_1's auc: 0.849001
[17]	training's auc: 0.852753	valid_1's auc: 0.849388
[18]	training's auc: 0.853527	valid_1's auc: 0.849795
[19]	training's auc: 0.854262	valid_1's auc: 0.850353
[20]	training's auc: 0.85465	valid_1's auc: 0.850684
[21]	training's auc: 0.855175	valid_1's auc: 0.850905
[22]	training's auc: 0.855652	valid_1's auc: 0.851208
[23]	training's auc: 0.856179	valid_1's auc: 0.851517
[24]	training's auc: 0.856562	valid_1's auc: 0.851743
[25]	training's auc: 0.856979	valid_1's auc: 0.851976
[26]	training's auc: 0.857485	valid_1's auc: 0.852265
[27]	training's auc: 0.857983	valid_1's auc: 0.852543
[28]	training's auc: 0.858341	valid_1's auc: 0.85264
[29]	training's auc: 0.858721	valid_1's auc: 0.852775
[30]	training's auc: 0.859207	valid_1's auc: 0.853107
[31]	training's auc: 0.859478	valid_1's auc: 0.85311
[32]	training's auc: 0.85986	valid_1's auc: 0.853379
[33]	training's auc: 0.86015	valid_1's auc: 0.853477
[34]	training's auc: 0.860396	valid_1's auc: 0.853575
[35]	training's auc: 0.860621	valid_1's auc: 0.85365
[36]	training's auc: 0.860946	valid_1's auc: 0.853807
[37]	training's auc: 0.861089	valid_1's auc: 0.85385
[38]	training's auc: 0.861375	valid_1's auc: 0.853936
[39]	training's auc: 0.861509	valid_1's auc: 0.853946
[40]	training's auc: 0.861752	valid_1's auc: 0.854031
[41]	training's auc: 0.861964	valid_1's auc: 0.854055
[42]	training's auc: 0.862479	valid_1's auc: 0.854292
[43]	training's auc: 0.862861	valid_1's auc: 0.854416
[44]	training's auc: 0.863063	valid_1's auc: 0.854431
[45]	training's auc: 0.863217	valid_1's auc: 0.854494
[46]	training's auc: 0.863493	valid_1's auc: 0.854637
[47]	training's auc: 0.863742	valid_1's auc: 0.854733
[48]	training's auc: 0.863885	valid_1's auc: 0.854785
[49]	training's auc: 0.864102	valid_1's auc: 0.85492
[50]	training's auc: 0.864213	valid_1's auc: 0.854926
[51]	training's auc: 0.86448	valid_1's auc: 0.854985
[52]	training's auc: 0.864672	valid_1's auc: 0.855002
[53]	training's auc: 0.865012	valid_1's auc: 0.855089
[54]	training's auc: 0.865105	valid_1's auc: 0.855079
[55]	training's auc: 0.865366	valid_1's auc: 0.855185
[56]	training's auc: 0.865623	valid_1's auc: 0.855245
[57]	training's auc: 0.865754	valid_1's auc: 0.855254
[58]	training's auc: 0.866	valid_1's auc: 0.855327
[59]	training's auc: 0.866377	valid_1's auc: 0.855502
[60]	training's auc: 0.866477	valid_1's auc: 0.855476
[61]	training's auc: 0.866751	valid_1's auc: 0.855585
[62]	training's auc: 0.8669	valid_1's auc: 0.855573
[63]	training's auc: 0.867186	valid_1's auc: 0.855592
[64]	training's auc: 0.867244	valid_1's auc: 0.855558
[65]	training's auc: 0.867433	valid_1's auc: 0.855523
[66]	training's auc: 0.867639	valid_1's auc: 0.855576
[67]	training's auc: 0.867838	valid_1's auc: 0.855638
[68]	training's auc: 0.868024	valid_1's auc: 0.855729
[69]	training's auc: 0.868149	valid_1's auc: 0.85572
[70]	training's auc: 0.868223	valid_1's auc: 0.855703
[71]	training's auc: 0.86846	valid_1's auc: 0.855733
[72]	training's auc: 0.868701	valid_1's auc: 0.855857
[73]	training's auc: 0.868781	valid_1's auc: 0.855841
[74]	training's auc: 0.86907	valid_1's auc: 0.856045
[75]	training's auc: 0.869345	valid_1's auc: 0.856208
[76]	training's auc: 0.869468	valid_1's auc: 0.856206
[77]	training's auc: 0.869746	valid_1's auc: 0.856272
[78]	training's auc: 0.869888	valid_1's auc: 0.856242
[79]	training's auc: 0.870043	valid_1's auc: 0.856225
[80]	training's auc: 0.870185	valid_1's auc: 0.856198
[81]	training's auc: 0.870269	valid_1's auc: 0.85618
[82]	training's auc: 0.870334	valid_1's auc: 0.856146
