[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.810995	valid_1's auc: 0.809183
Training until validation scores don't improve for 50 rounds
[2]	training's auc: 0.821558	valid_1's auc: 0.819333
[3]	training's auc: 0.827823	valid_1's auc: 0.82574
[4]	training's auc: 0.831405	valid_1's auc: 0.829261
[5]	training's auc: 0.833322	valid_1's auc: 0.831374
[6]	training's auc: 0.835594	valid_1's auc: 0.833707
[7]	training's auc: 0.836232	valid_1's auc: 0.834295
[8]	training's auc: 0.837536	valid_1's auc: 0.835646
[9]	training's auc: 0.838267	valid_1's auc: 0.836284
[10]	training's auc: 0.838418	valid_1's auc: 0.83642
[11]	training's auc: 0.839356	valid_1's auc: 0.837316
[12]	training's auc: 0.839958	valid_1's auc: 0.837822
[13]	training's auc: 0.841239	valid_1's auc: 0.839048
[14]	training's auc: 0.841654	valid_1's auc: 0.839389
[15]	training's auc: 0.842451	valid_1's auc: 0.840159
[16]	training's auc: 0.843147	valid_1's auc: 0.840802
[17]	training's auc: 0.84394	valid_1's auc: 0.841594
[18]	training's auc: 0.844278	valid_1's auc: 0.841862
[19]	training's auc: 0.845062	valid_1's auc: 0.842552
[20]	training's auc: 0.845695	valid_1's auc: 0.843164
[21]	training's auc: 0.846286	valid_1's auc: 0.84371
[22]	training's auc: 0.846754	valid_1's auc: 0.844147
[23]	training's auc: 0.847207	valid_1's auc: 0.844521
[24]	training's auc: 0.847701	valid_1's auc: 0.844903
[25]	training's auc: 0.848176	valid_1's auc: 0.845274
[26]	training's auc: 0.848649	valid_1's auc: 0.845673
[27]	training's auc: 0.848986	valid_1's auc: 0.845985
[28]	training's auc: 0.849382	valid_1's auc: 0.846295
[29]	training's auc: 0.849809	valid_1's auc: 0.846573
[30]	training's auc: 0.850159	valid_1's auc: 0.846821
[31]	training's auc: 0.850466	valid_1's auc: 0.847028
[32]	training's auc: 0.85075	valid_1's auc: 0.847267
[33]	training's auc: 0.851196	valid_1's auc: 0.847646
[34]	training's auc: 0.851542	valid_1's auc: 0.847847
[35]	training's auc: 0.851889	valid_1's auc: 0.848101
[36]	training's auc: 0.852146	valid_1's auc: 0.848293
[37]	training's auc: 0.852371	valid_1's auc: 0.84845
[38]	training's auc: 0.852713	valid_1's auc: 0.8487
[39]	training's auc: 0.85301	valid_1's auc: 0.848891
[40]	training's auc: 0.853319	valid_1's auc: 0.849112
[41]	training's auc: 0.853633	valid_1's auc: 0.849303
[42]	training's auc: 0.853925	valid_1's auc: 0.849505
[43]	training's auc: 0.854205	valid_1's auc: 0.849726
[44]	training's auc: 0.854386	valid_1's auc: 0.849898
[45]	training's auc: 0.854574	valid_1's auc: 0.850012
[46]	training's auc: 0.854832	valid_1's auc: 0.850149
[47]	training's auc: 0.855034	valid_1's auc: 0.850209
[48]	training's auc: 0.855197	valid_1's auc: 0.850291
[49]	training's auc: 0.855353	valid_1's auc: 0.850376
[50]	training's auc: 0.855559	valid_1's auc: 0.850487
[51]	training's auc: 0.85579	valid_1's auc: 0.850655
[52]	training's auc: 0.855952	valid_1's auc: 0.850731
[53]	training's auc: 0.856135	valid_1's auc: 0.850819
[54]	training's auc: 0.856469	valid_1's auc: 0.85108
[55]	training's auc: 0.856698	valid_1's auc: 0.851203
[56]	training's auc: 0.856878	valid_1's auc: 0.851285
[57]	training's auc: 0.857053	valid_1's auc: 0.851434
[58]	training's auc: 0.857201	valid_1's auc: 0.85148
[59]	training's auc: 0.85741	valid_1's auc: 0.851593
[60]	training's auc: 0.857592	valid_1's auc: 0.851677
[61]	training's auc: 0.8577	valid_1's auc: 0.851717
[62]	training's auc: 0.857858	valid_1's auc: 0.851799
[63]	training's auc: 0.858023	valid_1's auc: 0.851856
[64]	training's auc: 0.858159	valid_1's auc: 0.85191
[65]	training's auc: 0.858376	valid_1's auc: 0.852052
[66]	training's auc: 0.858567	valid_1's auc: 0.852165
[67]	training's auc: 0.858793	valid_1's auc: 0.852336
[68]	training's auc: 0.858884	valid_1's auc: 0.852368
[69]	training's auc: 0.859016	valid_1's auc: 0.852455
[70]	training's auc: 0.859214	valid_1's auc: 0.852547
[71]	training's auc: 0.85931	valid_1's auc: 0.852576
[72]	training's auc: 0.859394	valid_1's auc: 0.852619
[73]	training's auc: 0.859483	valid_1's auc: 0.852663
[74]	training's auc: 0.859648	valid_1's auc: 0.852787
[75]	training's auc: 0.859754	valid_1's auc: 0.852817
[76]	training's auc: 0.859884	valid_1's auc: 0.852826
[77]	training's auc: 0.859955	valid_1's auc: 0.852832
[78]	training's auc: 0.86006	valid_1's auc: 0.852887
[79]	training's auc: 0.860191	valid_1's auc: 0.852925
[80]	training's auc: 0.860374	valid_1's auc: 0.853037
[81]	training's auc: 0.860452	valid_1's auc: 0.853057
[82]	training's auc: 0.860648	valid_1's auc: 0.853157
[83]	training's auc: 0.860842	valid_1's auc: 0.853243
[84]	training's auc: 0.860937	valid_1's auc: 0.853266
[85]	training's auc: 0.861047	valid_1's auc: 0.853279
[86]	training's auc: 0.861137	valid_1's auc: 0.853317
