[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.822227	valid_1's auc: 0.822592
Training until validation scores don't improve for 50 rounds
[2]	training's auc: 0.827603	valid_1's auc: 0.82782
[3]	training's auc: 0.833007	valid_1's auc: 0.832967
[4]	training's auc: 0.833691	valid_1's auc: 0.83356
[5]	training's auc: 0.834807	valid_1's auc: 0.834631
[6]	training's auc: 0.836365	valid_1's auc: 0.836283
[7]	training's auc: 0.836841	valid_1's auc: 0.836742
[8]	training's auc: 0.837746	valid_1's auc: 0.837486
[9]	training's auc: 0.838025	valid_1's auc: 0.837757
[10]	training's auc: 0.838492	valid_1's auc: 0.838198
[11]	training's auc: 0.838654	valid_1's auc: 0.838425
[12]	training's auc: 0.839208	valid_1's auc: 0.838962
[13]	training's auc: 0.839965	valid_1's auc: 0.839713
[14]	training's auc: 0.840125	valid_1's auc: 0.839778
[15]	training's auc: 0.840713	valid_1's auc: 0.84035
[16]	training's auc: 0.840952	valid_1's auc: 0.840573
[17]	training's auc: 0.841208	valid_1's auc: 0.840811
[18]	training's auc: 0.841682	valid_1's auc: 0.841216
[19]	training's auc: 0.842094	valid_1's auc: 0.841642
[20]	training's auc: 0.842467	valid_1's auc: 0.842004
[21]	training's auc: 0.842903	valid_1's auc: 0.842347
[22]	training's auc: 0.84326	valid_1's auc: 0.84268
[23]	training's auc: 0.843388	valid_1's auc: 0.842852
[24]	training's auc: 0.843823	valid_1's auc: 0.84319
[25]	training's auc: 0.844041	valid_1's auc: 0.843326
[26]	training's auc: 0.844354	valid_1's auc: 0.8436
[27]	training's auc: 0.844551	valid_1's auc: 0.843784
[28]	training's auc: 0.844795	valid_1's auc: 0.843996
[29]	training's auc: 0.845066	valid_1's auc: 0.84419
[30]	training's auc: 0.845539	valid_1's auc: 0.844607
[31]	training's auc: 0.845651	valid_1's auc: 0.844685
[32]	training's auc: 0.845934	valid_1's auc: 0.844916
[33]	training's auc: 0.846117	valid_1's auc: 0.845116
[34]	training's auc: 0.846414	valid_1's auc: 0.845333
[35]	training's auc: 0.846609	valid_1's auc: 0.845542
[36]	training's auc: 0.846761	valid_1's auc: 0.845676
[37]	training's auc: 0.847005	valid_1's auc: 0.845905
[38]	training's auc: 0.84733	valid_1's auc: 0.846161
[39]	training's auc: 0.847507	valid_1's auc: 0.84628
[40]	training's auc: 0.847728	valid_1's auc: 0.846464
[41]	training's auc: 0.847895	valid_1's auc: 0.84655
[42]	training's auc: 0.84824	valid_1's auc: 0.846831
[43]	training's auc: 0.848516	valid_1's auc: 0.847073
[44]	training's auc: 0.848772	valid_1's auc: 0.847313
[45]	training's auc: 0.848971	valid_1's auc: 0.847449
[46]	training's auc: 0.849161	valid_1's auc: 0.84756
[47]	training's auc: 0.849428	valid_1's auc: 0.847777
[48]	training's auc: 0.849605	valid_1's auc: 0.847926
[49]	training's auc: 0.849843	valid_1's auc: 0.848075
[50]	training's auc: 0.850145	valid_1's auc: 0.848322
[51]	training's auc: 0.850413	valid_1's auc: 0.848574
[52]	training's auc: 0.850667	valid_1's auc: 0.848773
[53]	training's auc: 0.850835	valid_1's auc: 0.848887
[54]	training's auc: 0.851103	valid_1's auc: 0.849113
[55]	training's auc: 0.851382	valid_1's auc: 0.849338
[56]	training's auc: 0.851517	valid_1's auc: 0.849433
[57]	training's auc: 0.851627	valid_1's auc: 0.849547
[58]	training's auc: 0.851779	valid_1's auc: 0.849632
[59]	training's auc: 0.85201	valid_1's auc: 0.849821
[60]	training's auc: 0.85219	valid_1's auc: 0.84995
[61]	training's auc: 0.85236	valid_1's auc: 0.850089
[62]	training's auc: 0.852586	valid_1's auc: 0.850251
[63]	training's auc: 0.852887	valid_1's auc: 0.850488
[64]	training's auc: 0.853132	valid_1's auc: 0.850673
[65]	training's auc: 0.853292	valid_1's auc: 0.850795
[66]	training's auc: 0.853474	valid_1's auc: 0.850942
[67]	training's auc: 0.853687	valid_1's auc: 0.851094
[68]	training's auc: 0.853899	valid_1's auc: 0.851226
[69]	training's auc: 0.854091	valid_1's auc: 0.851363
[70]	training's auc: 0.854258	valid_1's auc: 0.851453
[71]	training's auc: 0.854474	valid_1's auc: 0.851607
[72]	training's auc: 0.854723	valid_1's auc: 0.851775
[73]	training's auc: 0.854878	valid_1's auc: 0.851892
[74]	training's auc: 0.85506	valid_1's auc: 0.852038
[75]	training's auc: 0.855222	valid_1's auc: 0.852104
[76]	training's auc: 0.855381	valid_1's auc: 0.852245
[77]	training's auc: 0.855631	valid_1's auc: 0.852447
[78]	training's auc: 0.855755	valid_1's auc: 0.852536
[79]	training's auc: 0.855956	valid_1's auc: 0.852677
[80]	training's auc: 0.856137	valid_1's auc: 0.852791
[81]	training's auc: 0.856324	valid_1's auc: 0.852935
[82]	training's auc: 0.856515	valid_1's auc: 0.853062
[83]	training's auc: 0.856697	valid_1's auc: 0.853164
[84]	training's auc: 0.856907	valid_1's auc: 0.853311
[85]	training's auc: 0.857052	valid_1's auc: 0.853399
[86]	training's auc: 0.857255	valid_1's auc: 0.853565
[87]	training's auc: 0.857387	valid_1's auc: 0.853647
[88]	training's auc: 0.857527	valid_1's auc: 0.853714
[89]	training's auc: 0.857655	valid_1's auc: 0.853802
[90]	training's auc: 0.857811	valid_1's auc: 0.853911
[91]	training's auc: 0.857998	valid_1's auc: 0.854028
[92]	training's auc: 0.858161	valid_1's auc: 0.854144
[93]	training's auc: 0.858332	valid_1's auc: 0.854248
[94]	training's auc: 0.858482	valid_1's auc: 0.85431
[95]	training's auc: 0.858638	valid_1's auc: 0.854404
