[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.81732	valid_1's auc: 0.813371
Training until validation scores don't improve for 50 rounds
[2]	training's auc: 0.828099	valid_1's auc: 0.82494
[3]	training's auc: 0.831536	valid_1's auc: 0.82803
[4]	training's auc: 0.834557	valid_1's auc: 0.831027
[5]	training's auc: 0.835875	valid_1's auc: 0.832211
[6]	training's auc: 0.837731	valid_1's auc: 0.834044
[7]	training's auc: 0.839559	valid_1's auc: 0.835815
[8]	training's auc: 0.840816	valid_1's auc: 0.836869
[9]	training's auc: 0.841965	valid_1's auc: 0.83799
[10]	training's auc: 0.843034	valid_1's auc: 0.839064
[11]	training's auc: 0.843753	valid_1's auc: 0.839782
[12]	training's auc: 0.844563	valid_1's auc: 0.840508
[13]	training's auc: 0.845349	valid_1's auc: 0.841267
[14]	training's auc: 0.846187	valid_1's auc: 0.842029
[15]	training's auc: 0.846886	valid_1's auc: 0.842635
[16]	training's auc: 0.847506	valid_1's auc: 0.843285
[17]	training's auc: 0.8482	valid_1's auc: 0.843833
[18]	training's auc: 0.848813	valid_1's auc: 0.84442
[19]	training's auc: 0.849401	valid_1's auc: 0.844883
[20]	training's auc: 0.85006	valid_1's auc: 0.84546
[21]	training's auc: 0.850609	valid_1's auc: 0.845909
[22]	training's auc: 0.851164	valid_1's auc: 0.846356
[23]	training's auc: 0.851669	valid_1's auc: 0.846831
[24]	training's auc: 0.852168	valid_1's auc: 0.847201
[25]	training's auc: 0.852616	valid_1's auc: 0.847564
[26]	training's auc: 0.853049	valid_1's auc: 0.847909
[27]	training's auc: 0.853495	valid_1's auc: 0.848228
[28]	training's auc: 0.853918	valid_1's auc: 0.848457
[29]	training's auc: 0.854315	valid_1's auc: 0.848749
[30]	training's auc: 0.854685	valid_1's auc: 0.848985
[31]	training's auc: 0.855038	valid_1's auc: 0.849244
[32]	training's auc: 0.855458	valid_1's auc: 0.849519
[33]	training's auc: 0.855808	valid_1's auc: 0.849735
[34]	training's auc: 0.856101	valid_1's auc: 0.849869
[35]	training's auc: 0.856384	valid_1's auc: 0.850081
[36]	training's auc: 0.856684	valid_1's auc: 0.850239
[37]	training's auc: 0.856928	valid_1's auc: 0.850395
[38]	training's auc: 0.857207	valid_1's auc: 0.850579
[39]	training's auc: 0.85751	valid_1's auc: 0.850769
[40]	training's auc: 0.857741	valid_1's auc: 0.850848
[41]	training's auc: 0.857914	valid_1's auc: 0.850907
[42]	training's auc: 0.858088	valid_1's auc: 0.850959
[43]	training's auc: 0.858335	valid_1's auc: 0.851082
[44]	training's auc: 0.858503	valid_1's auc: 0.851178
[45]	training's auc: 0.858746	valid_1's auc: 0.851315
[46]	training's auc: 0.858991	valid_1's auc: 0.85143
[47]	training's auc: 0.859227	valid_1's auc: 0.851601
[48]	training's auc: 0.859494	valid_1's auc: 0.851712
[49]	training's auc: 0.859651	valid_1's auc: 0.851786
[50]	training's auc: 0.859805	valid_1's auc: 0.851875
[51]	training's auc: 0.860004	valid_1's auc: 0.851936
[52]	training's auc: 0.860168	valid_1's auc: 0.852004
[53]	training's auc: 0.860282	valid_1's auc: 0.85206
[54]	training's auc: 0.860413	valid_1's auc: 0.852139
[55]	training's auc: 0.860597	valid_1's auc: 0.8522
[56]	training's auc: 0.860817	valid_1's auc: 0.852365
[57]	training's auc: 0.861089	valid_1's auc: 0.852488
[58]	training's auc: 0.861251	valid_1's auc: 0.852543
[59]	training's auc: 0.861404	valid_1's auc: 0.852563
[60]	training's auc: 0.861501	valid_1's auc: 0.852579
[61]	training's auc: 0.861614	valid_1's auc: 0.852587
[62]	training's auc: 0.861713	valid_1's auc: 0.852611
[63]	training's auc: 0.861824	valid_1's auc: 0.852636
[64]	training's auc: 0.862166	valid_1's auc: 0.852899
[65]	training's auc: 0.862355	valid_1's auc: 0.852947
[66]	training's auc: 0.862497	valid_1's auc: 0.853001
[67]	training's auc: 0.862688	valid_1's auc: 0.853087
[68]	training's auc: 0.862753	valid_1's auc: 0.853116
[69]	training's auc: 0.862865	valid_1's auc: 0.853103
[70]	training's auc: 0.862997	valid_1's auc: 0.853097
[71]	training's auc: 0.863168	valid_1's auc: 0.853147
[72]	training's auc: 0.863266	valid_1's auc: 0.853124
[73]	training's auc: 0.863356	valid_1's auc: 0.853144
[74]	training's auc: 0.863445	valid_1's auc: 0.853151
[75]	training's auc: 0.863564	valid_1's auc: 0.85319
[76]	training's auc: 0.863642	valid_1's auc: 0.853186
[77]	training's auc: 0.863724	valid_1's auc: 0.853206
[78]	training's auc: 0.863863	valid_1's auc: 0.853237
[79]	training's auc: 0.864139	valid_1's auc: 0.853391
[80]	training's auc: 0.864344	valid_1's auc: 0.853424
[81]	training's auc: 0.864416	valid_1's auc: 0.853402
[82]	training's auc: 0.864494	valid_1's auc: 0.853383
[83]	training's auc: 0.864547	valid_1's auc: 0.853398
[84]	training's auc: 0.864744	valid_1's auc: 0.853483
[85]	training's auc: 0.864823	valid_1's auc: 0.853501
[86]	training's auc: 0.864904	valid_1's auc: 0.853509
[87]	training's auc: 0.865133	valid_1's auc: 0.853645
[88]	training's auc: 0.865269	valid_1's auc: 0.853665
[89]	training's auc: 0.865341	valid_1's auc: 0.85367
[90]	training's auc: 0.86554	valid_1's auc: 0.853753
[91]	training's auc: 0.865705	valid_1's auc: 0.853802
[92]	training's auc: 0.865945	valid_1's auc: 0.853927
[93]	training's auc: 0.866018	valid_1's auc: 0.85396
[94]	training's auc: 0.86617	valid_1's auc: 0.854014
[95]	training's auc: 0.866347	valid_1's auc: 0.854105
[96]	training's auc: 0.866474	valid_1's auc: 0.854172
[97]	training's auc: 0.866531	valid_1's auc: 0.854189
[98]	training's auc: 0.866677	valid_1's auc: 0.854264
[99]	training's auc: 0.866731	valid_1's auc: 0.854257
[100]	training's auc: 0.866794	valid_1's auc: 0.854264
[101]	training's auc: 0.866958	valid_1's auc: 0.85426
[102]	training's auc: 0.867094	valid_1's auc: 0.854324
[103]	training's auc: 0.8672	valid_1's auc: 0.854302
[104]	training's auc: 0.867251	valid_1's auc: 0.854278
[105]	training's auc: 0.867406	valid_1's auc: 0.854319
[106]	training's auc: 0.86756	valid_1's auc: 0.854324
