[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.818467	valid_1's auc: 0.817225
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.823535	valid_1's auc: 0.823013
[3]	training's auc: 0.829159	valid_1's auc: 0.829302
[4]	training's auc: 0.828536	valid_1's auc: 0.828655
[5]	training's auc: 0.832546	valid_1's auc: 0.832648
[6]	training's auc: 0.834586	valid_1's auc: 0.8346
[7]	training's auc: 0.835553	valid_1's auc: 0.83559
[8]	training's auc: 0.835565	valid_1's auc: 0.835381
[9]	training's auc: 0.835586	valid_1's auc: 0.835297
[10]	training's auc: 0.836635	valid_1's auc: 0.836298
[11]	training's auc: 0.836915	valid_1's auc: 0.836638
[12]	training's auc: 0.836753	valid_1's auc: 0.836371
[13]	training's auc: 0.838613	valid_1's auc: 0.838315
[14]	training's auc: 0.838754	valid_1's auc: 0.838343
[15]	training's auc: 0.839607	valid_1's auc: 0.839204
[16]	training's auc: 0.840378	valid_1's auc: 0.839982
[17]	training's auc: 0.841089	valid_1's auc: 0.840671
[18]	training's auc: 0.841719	valid_1's auc: 0.841219
[19]	training's auc: 0.842225	valid_1's auc: 0.841785
[20]	training's auc: 0.843092	valid_1's auc: 0.842643
[21]	training's auc: 0.843482	valid_1's auc: 0.84295
[22]	training's auc: 0.84414	valid_1's auc: 0.843499
[23]	training's auc: 0.844709	valid_1's auc: 0.844049
[24]	training's auc: 0.845272	valid_1's auc: 0.844488
[25]	training's auc: 0.845708	valid_1's auc: 0.844877
[26]	training's auc: 0.846289	valid_1's auc: 0.845352
[27]	training's auc: 0.846509	valid_1's auc: 0.845594
[28]	training's auc: 0.846699	valid_1's auc: 0.845752
[29]	training's auc: 0.847212	valid_1's auc: 0.846201
[30]	training's auc: 0.847715	valid_1's auc: 0.846594
[31]	training's auc: 0.847911	valid_1's auc: 0.846762
[32]	training's auc: 0.848433	valid_1's auc: 0.847239
[33]	training's auc: 0.848705	valid_1's auc: 0.847523
[34]	training's auc: 0.849156	valid_1's auc: 0.847817
[35]	training's auc: 0.84967	valid_1's auc: 0.84826
[36]	training's auc: 0.849943	valid_1's auc: 0.84848
[37]	training's auc: 0.850218	valid_1's auc: 0.848684
[38]	training's auc: 0.85067	valid_1's auc: 0.849036
[39]	training's auc: 0.850934	valid_1's auc: 0.849257
[40]	training's auc: 0.851262	valid_1's auc: 0.849495
[41]	training's auc: 0.851552	valid_1's auc: 0.849659
[42]	training's auc: 0.851926	valid_1's auc: 0.84993
[43]	training's auc: 0.852391	valid_1's auc: 0.850316
[44]	training's auc: 0.852644	valid_1's auc: 0.850573
[45]	training's auc: 0.852861	valid_1's auc: 0.850713
[46]	training's auc: 0.853128	valid_1's auc: 0.850886
[47]	training's auc: 0.853405	valid_1's auc: 0.851108
[48]	training's auc: 0.853547	valid_1's auc: 0.851259
[49]	training's auc: 0.853731	valid_1's auc: 0.851366
[50]	training's auc: 0.854167	valid_1's auc: 0.851785
[51]	training's auc: 0.854545	valid_1's auc: 0.852138
[52]	training's auc: 0.854855	valid_1's auc: 0.852342
[53]	training's auc: 0.855114	valid_1's auc: 0.85253
[54]	training's auc: 0.855393	valid_1's auc: 0.85277
[55]	training's auc: 0.855585	valid_1's auc: 0.852953
[56]	training's auc: 0.855739	valid_1's auc: 0.853003
[57]	training's auc: 0.855837	valid_1's auc: 0.853119
[58]	training's auc: 0.85601	valid_1's auc: 0.853214
[59]	training's auc: 0.856277	valid_1's auc: 0.853421
[60]	training's auc: 0.856606	valid_1's auc: 0.853664
[61]	training's auc: 0.856871	valid_1's auc: 0.853855
[62]	training's auc: 0.856993	valid_1's auc: 0.853926
[63]	training's auc: 0.857308	valid_1's auc: 0.854144
[64]	training's auc: 0.857526	valid_1's auc: 0.8543
[65]	training's auc: 0.85768	valid_1's auc: 0.854415
[66]	training's auc: 0.857803	valid_1's auc: 0.854515
[67]	training's auc: 0.858082	valid_1's auc: 0.854698
[68]	training's auc: 0.858359	valid_1's auc: 0.854939
[69]	training's auc: 0.858547	valid_1's auc: 0.854982
[70]	training's auc: 0.85871	valid_1's auc: 0.855079
[71]	training's auc: 0.858964	valid_1's auc: 0.855226
[72]	training's auc: 0.859169	valid_1's auc: 0.855379
[73]	training's auc: 0.859317	valid_1's auc: 0.855446
[74]	training's auc: 0.859492	valid_1's auc: 0.85555
[75]	training's auc: 0.859653	valid_1's auc: 0.855606
[76]	training's auc: 0.85982	valid_1's auc: 0.855726
[77]	training's auc: 0.859999	valid_1's auc: 0.855848
[78]	training's auc: 0.860109	valid_1's auc: 0.855907
[79]	training's auc: 0.860351	valid_1's auc: 0.85607
[80]	training's auc: 0.86057	valid_1's auc: 0.856187
[81]	training's auc: 0.860735	valid_1's auc: 0.85629
[82]	training's auc: 0.860857	valid_1's auc: 0.85635
[83]	training's auc: 0.861081	valid_1's auc: 0.856477
[84]	training's auc: 0.861281	valid_1's auc: 0.856624
[85]	training's auc: 0.861402	valid_1's auc: 0.856658
[86]	training's auc: 0.861468	valid_1's auc: 0.856731
[87]	training's auc: 0.861586	valid_1's auc: 0.856773
[88]	training's auc: 0.861742	valid_1's auc: 0.856868
[89]	training's auc: 0.861798	valid_1's auc: 0.85692
[90]	training's auc: 0.86195	valid_1's auc: 0.856994
[91]	training's auc: 0.862096	valid_1's auc: 0.857025
[92]	training's auc: 0.862214	valid_1's auc: 0.857088
[93]	training's auc: 0.862364	valid_1's auc: 0.85718
[94]	training's auc: 0.862496	valid_1's auc: 0.857235
[95]	training's auc: 0.862675	valid_1's auc: 0.85731
[96]	training's auc: 0.862796	valid_1's auc: 0.857343
[97]	training's auc: 0.86297	valid_1's auc: 0.857434
[98]	training's auc: 0.86303	valid_1's auc: 0.857466
[99]	training's auc: 0.863155	valid_1's auc: 0.857449
[100]	training's auc: 0.863219	valid_1's auc: 0.857535
[101]	training's auc: 0.863282	valid_1's auc: 0.857618
[102]	training's auc: 0.863431	valid_1's auc: 0.857704
[103]	training's auc: 0.863611	valid_1's auc: 0.85778
[104]	training's auc: 0.863678	valid_1's auc: 0.85782
[105]	training's auc: 0.863771	valid_1's auc: 0.857856
[106]	training's auc: 0.863868	valid_1's auc: 0.857877
[107]	training's auc: 0.863958	valid_1's auc: 0.857885
[108]	training's auc: 0.864089	valid_1's auc: 0.857887
[109]	training's auc: 0.864198	valid_1's auc: 0.857902
[110]	training's auc: 0.8643	valid_1's auc: 0.857907
[111]	training's auc: 0.86445	valid_1's auc: 0.857972
[112]	training's auc: 0.864586	valid_1's auc: 0.858026
[113]	training's auc: 0.864662	valid_1's auc: 0.858038
[114]	training's auc: 0.864719	valid_1's auc: 0.858064
[115]	training's auc: 0.864773	valid_1's auc: 0.858128
[116]	training's auc: 0.864825	valid_1's auc: 0.858132
[117]	training's auc: 0.864928	valid_1's auc: 0.858193
[118]	training's auc: 0.865084	valid_1's auc: 0.858279
[119]	training's auc: 0.865235	valid_1's auc: 0.858354
[120]	training's auc: 0.865262	valid_1's auc: 0.858375
[121]	training's auc: 0.865352	valid_1's auc: 0.858405
[122]	training's auc: 0.865455	valid_1's auc: 0.85847
[123]	training's auc: 0.865498	valid_1's auc: 0.858517
[124]	training's auc: 0.865585	valid_1's auc: 0.858543
[125]	training's auc: 0.865657	valid_1's auc: 0.858552
[126]	training's auc: 0.86574	valid_1's auc: 0.858557
[127]	training's auc: 0.865854	valid_1's auc: 0.858617
[128]	training's auc: 0.865951	valid_1's auc: 0.85865
[129]	training's auc: 0.866021	valid_1's auc: 0.858657
[130]	training's auc: 0.866176	valid_1's auc: 0.858739
[131]	training's auc: 0.866258	valid_1's auc: 0.858743
[132]	training's auc: 0.866306	valid_1's auc: 0.858748
[133]	training's auc: 0.86646	valid_1's auc: 0.858817
[134]	training's auc: 0.866529	valid_1's auc: 0.858828
[135]	training's auc: 0.866677	valid_1's auc: 0.858929
[136]	training's auc: 0.866718	valid_1's auc: 0.858962
[137]	training's auc: 0.866868	valid_1's auc: 0.859042
[138]	training's auc: 0.866938	valid_1's auc: 0.85904
[139]	training's auc: 0.867082	valid_1's auc: 0.859136
[140]	training's auc: 0.867202	valid_1's auc: 0.859187
[141]	training's auc: 0.86731	valid_1's auc: 0.859254
[142]	training's auc: 0.867415	valid_1's auc: 0.859333
[143]	training's auc: 0.867508	valid_1's auc: 0.85937
[144]	training's auc: 0.867558	valid_1's auc: 0.859433
[145]	training's auc: 0.867649	valid_1's auc: 0.859495
[146]	training's auc: 0.867745	valid_1's auc: 0.859548
[147]	training's auc: 0.867812	valid_1's auc: 0.859545
[148]	training's auc: 0.867872	valid_1's auc: 0.85957
[149]	training's auc: 0.867967	valid_1's auc: 0.859614
[150]	training's auc: 0.868001	valid_1's auc: 0.85962
[151]	training's auc: 0.86809	valid_1's auc: 0.859659
[152]	training's auc: 0.868152	valid_1's auc: 0.859652
[153]	training's auc: 0.868254	valid_1's auc: 0.859658
[154]	training's auc: 0.868311	valid_1's auc: 0.859638
[155]	training's auc: 0.868369	valid_1's auc: 0.859648
[156]	training's auc: 0.868423	valid_1's auc: 0.859633
[157]	training's auc: 0.86846	valid_1's auc: 0.85964
[158]	training's auc: 0.86856	valid_1's auc: 0.85971
[159]	training's auc: 0.868599	valid_1's auc: 0.859777
[160]	training's auc: 0.868681	valid_1's auc: 0.859814
[161]	training's auc: 0.868752	valid_1's auc: 0.859784
[162]	training's auc: 0.868861	valid_1's auc: 0.859814
[163]	training's auc: 0.868931	valid_1's auc: 0.859802
[164]	training's auc: 0.86906	valid_1's auc: 0.859841
[165]	training's auc: 0.869166	valid_1's auc: 0.859875
[166]	training's auc: 0.869194	valid_1's auc: 0.859881
[167]	training's auc: 0.869205	valid_1's auc: 0.859871
[168]	training's auc: 0.869231	valid_1's auc: 0.85987
[169]	training's auc: 0.869275	valid_1's auc: 0.859882
[170]	training's auc: 0.869326	valid_1's auc: 0.859893
[171]	training's auc: 0.869387	valid_1's auc: 0.859894
[172]	training's auc: 0.869438	valid_1's auc: 0.859915
[173]	training's auc: 0.869508	valid_1's auc: 0.859948
[174]	training's auc: 0.869553	valid_1's auc: 0.859945
[175]	training's auc: 0.869667	valid_1's auc: 0.859986
[176]	training's auc: 0.869706	valid_1's auc: 0.85998
[177]	training's auc: 0.869732	valid_1's auc: 0.860002
[178]	training's auc: 0.869882	valid_1's auc: 0.860074
[179]	training's auc: 0.869956	valid_1's auc: 0.860095
[180]	training's auc: 0.870069	valid_1's auc: 0.860149
[181]	training's auc: 0.870126	valid_1's auc: 0.860139
[182]	training's auc: 0.870187	valid_1's auc: 0.860154
[183]	training's auc: 0.870212	valid_1's auc: 0.860165
[184]	training's auc: 0.870229	valid_1's auc: 0.860154
[185]	training's auc: 0.870267	valid_1's auc: 0.860193
[186]	training's auc: 0.870324	valid_1's auc: 0.86019
[187]	training's auc: 0.870399	valid_1's auc: 0.860217
[188]	training's auc: 0.870481	valid_1's auc: 0.860258
[189]	training's auc: 0.870547	valid_1's auc: 0.86028
[190]	training's auc: 0.870582	valid_1's auc: 0.860279
[191]	training's auc: 0.870672	valid_1's auc: 0.86032
[192]	training's auc: 0.870753	valid_1's auc: 0.860364
[193]	training's auc: 0.870845	valid_1's auc: 0.86039
[194]	training's auc: 0.870914	valid_1's auc: 0.860442
[195]	training's auc: 0.870985	valid_1's auc: 0.860436
[196]	training's auc: 0.871024	valid_1's auc: 0.860431
[197]	training's auc: 0.871072	valid_1's auc: 0.860435
[198]	training's auc: 0.871137	valid_1's auc: 0.860436
[199]	training's auc: 0.871198	valid_1's auc: 0.860459
[200]	training's auc: 0.871268	valid_1's auc: 0.860473
[201]	training's auc: 0.87132	valid_1's auc: 0.860474
[202]	training's auc: 0.871435	valid_1's auc: 0.860522
[203]	training's auc: 0.8715	valid_1's auc: 0.860539
[204]	training's auc: 0.8716	valid_1's auc: 0.860563
[205]	training's auc: 0.871685	valid_1's auc: 0.860573
[206]	training's auc: 0.871729	valid_1's auc: 0.860623
[207]	training's auc: 0.871761	valid_1's auc: 0.860609
[208]	training's auc: 0.871847	valid_1's auc: 0.860622
[209]	training's auc: 0.871913	valid_1's auc: 0.86063
[210]	training's auc: 0.87198	valid_1's auc: 0.860661
[211]	training's auc: 0.872024	valid_1's auc: 0.860658
[212]	training's auc: 0.872082	valid_1's auc: 0.860659
[213]	training's auc: 0.872123	valid_1's auc: 0.860638
[214]	training's auc: 0.872208	valid_1's auc: 0.860628
[215]	training's auc: 0.87229	valid_1's auc: 0.860632
[216]	training's auc: 0.872335	valid_1's auc: 0.860635
[217]	training's auc: 0.872404	valid_1's auc: 0.860669
[218]	training's auc: 0.872452	valid_1's auc: 0.86066
[219]	training's auc: 0.872491	valid_1's auc: 0.860688
[220]	training's auc: 0.872545	valid_1's auc: 0.86069
[221]	training's auc: 0.872575	valid_1's auc: 0.860703
[222]	training's auc: 0.872587	valid_1's auc: 0.860698
[223]	training's auc: 0.872662	valid_1's auc: 0.86074
[224]	training's auc: 0.872721	valid_1's auc: 0.860727
[225]	training's auc: 0.872747	valid_1's auc: 0.860749
[226]	training's auc: 0.872786	valid_1's auc: 0.860736
[227]	training's auc: 0.872823	valid_1's auc: 0.860793
[228]	training's auc: 0.872867	valid_1's auc: 0.860797
[229]	training's auc: 0.87291	valid_1's auc: 0.860804
[230]	training's auc: 0.872932	valid_1's auc: 0.86083
[231]	training's auc: 0.872983	valid_1's auc: 0.860821
[232]	training's auc: 0.873008	valid_1's auc: 0.86084
[233]	training's auc: 0.873074	valid_1's auc: 0.860863
[234]	training's auc: 0.873133	valid_1's auc: 0.860911
[235]	training's auc: 0.873177	valid_1's auc: 0.860911
[236]	training's auc: 0.87324	valid_1's auc: 0.860927
[237]	training's auc: 0.873263	valid_1's auc: 0.860951
[238]	training's auc: 0.873303	valid_1's auc: 0.860948
[239]	training's auc: 0.873365	valid_1's auc: 0.860942
[240]	training's auc: 0.873446	valid_1's auc: 0.86095
[241]	training's auc: 0.873464	valid_1's auc: 0.860955
[242]	training's auc: 0.873503	valid_1's auc: 0.860935
[243]	training's auc: 0.873537	valid_1's auc: 0.860925
[244]	training's auc: 0.873578	valid_1's auc: 0.860919
[245]	training's auc: 0.873621	valid_1's auc: 0.860921
[246]	training's auc: 0.873659	valid_1's auc: 0.860916
[247]	training's auc: 0.873689	valid_1's auc: 0.860911
[248]	training's auc: 0.873763	valid_1's auc: 0.860922
[249]	training's auc: 0.873801	valid_1's auc: 0.860922
[250]	training's auc: 0.873839	valid_1's auc: 0.860928
[251]	training's auc: 0.87392	valid_1's auc: 0.860947
[252]	training's auc: 0.873972	valid_1's auc: 0.860958
[253]	training's auc: 0.874012	valid_1's auc: 0.860964
[254]	training's auc: 0.874111	valid_1's auc: 0.860997
[255]	training's auc: 0.874139	valid_1's auc: 0.861019
[256]	training's auc: 0.874194	valid_1's auc: 0.861027
[257]	training's auc: 0.874243	valid_1's auc: 0.861025
[258]	training's auc: 0.874271	valid_1's auc: 0.861064
[259]	training's auc: 0.874326	valid_1's auc: 0.861077
[260]	training's auc: 0.87435	valid_1's auc: 0.861104
[261]	training's auc: 0.874399	valid_1's auc: 0.861126
[262]	training's auc: 0.874449	valid_1's auc: 0.861166
[263]	training's auc: 0.874462	valid_1's auc: 0.861162
[264]	training's auc: 0.874544	valid_1's auc: 0.861214
[265]	training's auc: 0.874564	valid_1's auc: 0.861226
[266]	training's auc: 0.874607	valid_1's auc: 0.861255
[267]	training's auc: 0.874672	valid_1's auc: 0.861289
[268]	training's auc: 0.874699	valid_1's auc: 0.861298
[269]	training's auc: 0.874734	valid_1's auc: 0.861309
[270]	training's auc: 0.874769	valid_1's auc: 0.861323
[271]	training's auc: 0.874799	valid_1's auc: 0.861323
[272]	training's auc: 0.874837	valid_1's auc: 0.861353
[273]	training's auc: 0.874852	valid_1's auc: 0.861374
[274]	training's auc: 0.874859	valid_1's auc: 0.86136
[275]	training's auc: 0.874886	valid_1's auc: 0.86137
[276]	training's auc: 0.874898	valid_1's auc: 0.861374
[277]	training's auc: 0.874945	valid_1's auc: 0.861394
[278]	training's auc: 0.874978	valid_1's auc: 0.861378
[279]	training's auc: 0.875018	valid_1's auc: 0.861388
[280]	training's auc: 0.875025	valid_1's auc: 0.861379
[281]	training's auc: 0.875056	valid_1's auc: 0.861376
[282]	training's auc: 0.875103	valid_1's auc: 0.86138
[283]	training's auc: 0.875137	valid_1's auc: 0.861414
[284]	training's auc: 0.875162	valid_1's auc: 0.861409
[285]	training's auc: 0.875218	valid_1's auc: 0.861446
[286]	training's auc: 0.875228	valid_1's auc: 0.861438
[287]	training's auc: 0.875264	valid_1's auc: 0.861456
[288]	training's auc: 0.875311	valid_1's auc: 0.861476
