[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.818047	valid_1's auc: 0.817305
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.822626	valid_1's auc: 0.821791
[3]	training's auc: 0.828671	valid_1's auc: 0.828294
[4]	training's auc: 0.828162	valid_1's auc: 0.827688
[5]	training's auc: 0.832452	valid_1's auc: 0.83207
[6]	training's auc: 0.834617	valid_1's auc: 0.834133
[7]	training's auc: 0.835903	valid_1's auc: 0.835428
[8]	training's auc: 0.836007	valid_1's auc: 0.835349
[9]	training's auc: 0.836123	valid_1's auc: 0.835224
[10]	training's auc: 0.837164	valid_1's auc: 0.836236
[11]	training's auc: 0.83746	valid_1's auc: 0.836538
[12]	training's auc: 0.837454	valid_1's auc: 0.836476
[13]	training's auc: 0.839335	valid_1's auc: 0.838335
[14]	training's auc: 0.839551	valid_1's auc: 0.83845
[15]	training's auc: 0.84048	valid_1's auc: 0.839302
[16]	training's auc: 0.841448	valid_1's auc: 0.84021
[17]	training's auc: 0.842117	valid_1's auc: 0.840864
[18]	training's auc: 0.842841	valid_1's auc: 0.841426
[19]	training's auc: 0.843473	valid_1's auc: 0.841995
[20]	training's auc: 0.844354	valid_1's auc: 0.84281
[21]	training's auc: 0.84488	valid_1's auc: 0.843267
[22]	training's auc: 0.845581	valid_1's auc: 0.843904
[23]	training's auc: 0.846077	valid_1's auc: 0.844408
[24]	training's auc: 0.846623	valid_1's auc: 0.844856
[25]	training's auc: 0.847128	valid_1's auc: 0.845237
[26]	training's auc: 0.847687	valid_1's auc: 0.845666
[27]	training's auc: 0.847926	valid_1's auc: 0.845931
[28]	training's auc: 0.848231	valid_1's auc: 0.84619
[29]	training's auc: 0.848856	valid_1's auc: 0.846699
[30]	training's auc: 0.849326	valid_1's auc: 0.847078
[31]	training's auc: 0.849552	valid_1's auc: 0.84724
[32]	training's auc: 0.850019	valid_1's auc: 0.84762
[33]	training's auc: 0.850319	valid_1's auc: 0.847855
[34]	training's auc: 0.850802	valid_1's auc: 0.848183
[35]	training's auc: 0.851299	valid_1's auc: 0.848563
[36]	training's auc: 0.851628	valid_1's auc: 0.848839
[37]	training's auc: 0.851913	valid_1's auc: 0.849001
[38]	training's auc: 0.852391	valid_1's auc: 0.849361
[39]	training's auc: 0.852638	valid_1's auc: 0.849503
[40]	training's auc: 0.852934	valid_1's auc: 0.849721
[41]	training's auc: 0.853245	valid_1's auc: 0.849898
[42]	training's auc: 0.853654	valid_1's auc: 0.850147
[43]	training's auc: 0.85413	valid_1's auc: 0.850467
[44]	training's auc: 0.854368	valid_1's auc: 0.850717
[45]	training's auc: 0.854582	valid_1's auc: 0.850842
[46]	training's auc: 0.85487	valid_1's auc: 0.851015
[47]	training's auc: 0.855154	valid_1's auc: 0.851226
[48]	training's auc: 0.855282	valid_1's auc: 0.851353
[49]	training's auc: 0.855463	valid_1's auc: 0.851433
[50]	training's auc: 0.855877	valid_1's auc: 0.851754
[51]	training's auc: 0.856263	valid_1's auc: 0.852053
[52]	training's auc: 0.856577	valid_1's auc: 0.852239
[53]	training's auc: 0.856832	valid_1's auc: 0.852365
[54]	training's auc: 0.857114	valid_1's auc: 0.852551
[55]	training's auc: 0.857342	valid_1's auc: 0.85275
[56]	training's auc: 0.85749	valid_1's auc: 0.852793
[57]	training's auc: 0.857575	valid_1's auc: 0.852885
[58]	training's auc: 0.857757	valid_1's auc: 0.85297
[59]	training's auc: 0.858042	valid_1's auc: 0.853142
[60]	training's auc: 0.858368	valid_1's auc: 0.853351
[61]	training's auc: 0.858585	valid_1's auc: 0.853432
[62]	training's auc: 0.858679	valid_1's auc: 0.85347
[63]	training's auc: 0.858997	valid_1's auc: 0.853665
[64]	training's auc: 0.859227	valid_1's auc: 0.853778
[65]	training's auc: 0.859356	valid_1's auc: 0.853821
[66]	training's auc: 0.859489	valid_1's auc: 0.853909
[67]	training's auc: 0.859739	valid_1's auc: 0.854035
[68]	training's auc: 0.859914	valid_1's auc: 0.854118
[69]	training's auc: 0.860103	valid_1's auc: 0.854144
[70]	training's auc: 0.860298	valid_1's auc: 0.854237
[71]	training's auc: 0.860554	valid_1's auc: 0.854355
[72]	training's auc: 0.860728	valid_1's auc: 0.854477
[73]	training's auc: 0.86087	valid_1's auc: 0.85453
[74]	training's auc: 0.861072	valid_1's auc: 0.854652
[75]	training's auc: 0.86124	valid_1's auc: 0.854696
[76]	training's auc: 0.861379	valid_1's auc: 0.854798
[77]	training's auc: 0.861468	valid_1's auc: 0.854848
[78]	training's auc: 0.86157	valid_1's auc: 0.854882
[79]	training's auc: 0.861799	valid_1's auc: 0.854999
[80]	training's auc: 0.861905	valid_1's auc: 0.855045
[81]	training's auc: 0.862025	valid_1's auc: 0.855083
[82]	training's auc: 0.862115	valid_1's auc: 0.855114
[83]	training's auc: 0.862181	valid_1's auc: 0.855134
[84]	training's auc: 0.862314	valid_1's auc: 0.855167
[85]	training's auc: 0.86245	valid_1's auc: 0.85522
[86]	training's auc: 0.862537	valid_1's auc: 0.855299
[87]	training's auc: 0.862712	valid_1's auc: 0.855377
[88]	training's auc: 0.862893	valid_1's auc: 0.855481
[89]	training's auc: 0.862974	valid_1's auc: 0.855578
[90]	training's auc: 0.863132	valid_1's auc: 0.855597
[91]	training's auc: 0.863256	valid_1's auc: 0.85562
[92]	training's auc: 0.863351	valid_1's auc: 0.855658
[93]	training's auc: 0.863508	valid_1's auc: 0.855722
[94]	training's auc: 0.863689	valid_1's auc: 0.855795
[95]	training's auc: 0.863889	valid_1's auc: 0.855895
[96]	training's auc: 0.863988	valid_1's auc: 0.855879
[97]	training's auc: 0.864199	valid_1's auc: 0.855971
[98]	training's auc: 0.864259	valid_1's auc: 0.855978
[99]	training's auc: 0.864373	valid_1's auc: 0.855988
[100]	training's auc: 0.864434	valid_1's auc: 0.856071
[101]	training's auc: 0.864495	valid_1's auc: 0.856132
[102]	training's auc: 0.864637	valid_1's auc: 0.856183
[103]	training's auc: 0.864698	valid_1's auc: 0.856209
[104]	training's auc: 0.864753	valid_1's auc: 0.856236
[105]	training's auc: 0.864842	valid_1's auc: 0.856248
[106]	training's auc: 0.865013	valid_1's auc: 0.856326
[107]	training's auc: 0.865108	valid_1's auc: 0.856343
[108]	training's auc: 0.865236	valid_1's auc: 0.856317
[109]	training's auc: 0.865342	valid_1's auc: 0.856328
[110]	training's auc: 0.865426	valid_1's auc: 0.856326
[111]	training's auc: 0.865581	valid_1's auc: 0.856413
[112]	training's auc: 0.865724	valid_1's auc: 0.856456
[113]	training's auc: 0.865804	valid_1's auc: 0.856472
[114]	training's auc: 0.865915	valid_1's auc: 0.856498
[115]	training's auc: 0.865998	valid_1's auc: 0.856575
