[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.812417	valid_1's auc: 0.81435
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.821952	valid_1's auc: 0.823814
[3]	training's auc: 0.829722	valid_1's auc: 0.831233
[4]	training's auc: 0.831067	valid_1's auc: 0.831788
[5]	training's auc: 0.834611	valid_1's auc: 0.835133
[6]	training's auc: 0.836968	valid_1's auc: 0.837126
[7]	training's auc: 0.83874	valid_1's auc: 0.838976
[8]	training's auc: 0.840051	valid_1's auc: 0.840205
[9]	training's auc: 0.840443	valid_1's auc: 0.840515
[10]	training's auc: 0.841652	valid_1's auc: 0.841416
[11]	training's auc: 0.842251	valid_1's auc: 0.841994
[12]	training's auc: 0.842716	valid_1's auc: 0.842309
[13]	training's auc: 0.843935	valid_1's auc: 0.843229
[14]	training's auc: 0.844235	valid_1's auc: 0.843386
[15]	training's auc: 0.845502	valid_1's auc: 0.844522
[16]	training's auc: 0.847004	valid_1's auc: 0.845779
[17]	training's auc: 0.847699	valid_1's auc: 0.846434
[18]	training's auc: 0.848915	valid_1's auc: 0.847412
[19]	training's auc: 0.849641	valid_1's auc: 0.848106
[20]	training's auc: 0.850585	valid_1's auc: 0.848949
[21]	training's auc: 0.851388	valid_1's auc: 0.849413
[22]	training's auc: 0.85205	valid_1's auc: 0.849962
[23]	training's auc: 0.852376	valid_1's auc: 0.850267
[24]	training's auc: 0.852986	valid_1's auc: 0.85069
[25]	training's auc: 0.853689	valid_1's auc: 0.851131
[26]	training's auc: 0.854318	valid_1's auc: 0.851488
[27]	training's auc: 0.854679	valid_1's auc: 0.851912
[28]	training's auc: 0.854888	valid_1's auc: 0.852127
[29]	training's auc: 0.855632	valid_1's auc: 0.852717
[30]	training's auc: 0.856148	valid_1's auc: 0.853072
[31]	training's auc: 0.856438	valid_1's auc: 0.853231
[32]	training's auc: 0.856974	valid_1's auc: 0.853556
[33]	training's auc: 0.857408	valid_1's auc: 0.853831
[34]	training's auc: 0.858004	valid_1's auc: 0.854149
[35]	training's auc: 0.85849	valid_1's auc: 0.854387
[36]	training's auc: 0.8588	valid_1's auc: 0.854571
[37]	training's auc: 0.859116	valid_1's auc: 0.854651
[38]	training's auc: 0.859684	valid_1's auc: 0.855007
[39]	training's auc: 0.860003	valid_1's auc: 0.855154
[40]	training's auc: 0.8603	valid_1's auc: 0.855284
[41]	training's auc: 0.860647	valid_1's auc: 0.855461
[42]	training's auc: 0.86106	valid_1's auc: 0.855644
[43]	training's auc: 0.861585	valid_1's auc: 0.855916
[44]	training's auc: 0.86166	valid_1's auc: 0.856015
[45]	training's auc: 0.861854	valid_1's auc: 0.856103
[46]	training's auc: 0.862144	valid_1's auc: 0.856261
[47]	training's auc: 0.862365	valid_1's auc: 0.856358
[48]	training's auc: 0.862466	valid_1's auc: 0.856439
[49]	training's auc: 0.862655	valid_1's auc: 0.856493
[50]	training's auc: 0.863056	valid_1's auc: 0.856698
[51]	training's auc: 0.863533	valid_1's auc: 0.856881
[52]	training's auc: 0.863735	valid_1's auc: 0.856989
[53]	training's auc: 0.864015	valid_1's auc: 0.857091
[54]	training's auc: 0.864255	valid_1's auc: 0.857235
[55]	training's auc: 0.864439	valid_1's auc: 0.857395
[56]	training's auc: 0.864652	valid_1's auc: 0.857462
[57]	training's auc: 0.864694	valid_1's auc: 0.857526
[58]	training's auc: 0.864882	valid_1's auc: 0.857598
[59]	training's auc: 0.86509	valid_1's auc: 0.857708
[60]	training's auc: 0.86542	valid_1's auc: 0.857903
[61]	training's auc: 0.865666	valid_1's auc: 0.857973
[62]	training's auc: 0.865838	valid_1's auc: 0.858023
[63]	training's auc: 0.866096	valid_1's auc: 0.858074
[64]	training's auc: 0.866337	valid_1's auc: 0.858144
[65]	training's auc: 0.866496	valid_1's auc: 0.858198
[66]	training's auc: 0.866612	valid_1's auc: 0.858232
[67]	training's auc: 0.866947	valid_1's auc: 0.858442
[68]	training's auc: 0.86731	valid_1's auc: 0.858601
[69]	training's auc: 0.867507	valid_1's auc: 0.858687
[70]	training's auc: 0.867718	valid_1's auc: 0.858771
[71]	training's auc: 0.86785	valid_1's auc: 0.858783
[72]	training's auc: 0.868004	valid_1's auc: 0.858882
[73]	training's auc: 0.868205	valid_1's auc: 0.858936
[74]	training's auc: 0.86839	valid_1's auc: 0.858908
[75]	training's auc: 0.868608	valid_1's auc: 0.858905
[76]	training's auc: 0.868824	valid_1's auc: 0.859
[77]	training's auc: 0.86893	valid_1's auc: 0.859019
[78]	training's auc: 0.869102	valid_1's auc: 0.859059
[79]	training's auc: 0.869274	valid_1's auc: 0.85913
[80]	training's auc: 0.869407	valid_1's auc: 0.859157
[81]	training's auc: 0.869563	valid_1's auc: 0.859174
[82]	training's auc: 0.869716	valid_1's auc: 0.859153
[83]	training's auc: 0.869996	valid_1's auc: 0.859239
[84]	training's auc: 0.87028	valid_1's auc: 0.85932
[85]	training's auc: 0.870373	valid_1's auc: 0.859332
[86]	training's auc: 0.87046	valid_1's auc: 0.859419
[87]	training's auc: 0.870642	valid_1's auc: 0.859493
[88]	training's auc: 0.870875	valid_1's auc: 0.859517
[89]	training's auc: 0.870948	valid_1's auc: 0.859613
[90]	training's auc: 0.871113	valid_1's auc: 0.859664
[91]	training's auc: 0.871223	valid_1's auc: 0.859647
[92]	training's auc: 0.871323	valid_1's auc: 0.859672
[93]	training's auc: 0.87149	valid_1's auc: 0.859682
[94]	training's auc: 0.871609	valid_1's auc: 0.859724
[95]	training's auc: 0.871856	valid_1's auc: 0.859761
[96]	training's auc: 0.871938	valid_1's auc: 0.859742
[97]	training's auc: 0.872136	valid_1's auc: 0.859786
[98]	training's auc: 0.872284	valid_1's auc: 0.859808
[99]	training's auc: 0.872386	valid_1's auc: 0.859812
[100]	training's auc: 0.872448	valid_1's auc: 0.8599
[101]	training's auc: 0.872504	valid_1's auc: 0.859961
[102]	training's auc: 0.872622	valid_1's auc: 0.859955
[103]	training's auc: 0.87274	valid_1's auc: 0.860058
[104]	training's auc: 0.872881	valid_1's auc: 0.860073
[105]	training's auc: 0.873001	valid_1's auc: 0.860099
