[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.808631	valid_1's auc: 0.809064
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.818065	valid_1's auc: 0.819123
[3]	training's auc: 0.8241	valid_1's auc: 0.824794
[4]	training's auc: 0.824419	valid_1's auc: 0.824543
[5]	training's auc: 0.827239	valid_1's auc: 0.827351
[6]	training's auc: 0.829539	valid_1's auc: 0.829637
[7]	training's auc: 0.829776	valid_1's auc: 0.829814
[8]	training's auc: 0.82947	valid_1's auc: 0.829314
[9]	training's auc: 0.828809	valid_1's auc: 0.828608
[10]	training's auc: 0.829717	valid_1's auc: 0.829326
[11]	training's auc: 0.830603	valid_1's auc: 0.830321
[12]	training's auc: 0.82991	valid_1's auc: 0.829668
[13]	training's auc: 0.831274	valid_1's auc: 0.831012
[14]	training's auc: 0.830773	valid_1's auc: 0.830504
[15]	training's auc: 0.83169	valid_1's auc: 0.831491
[16]	training's auc: 0.83234	valid_1's auc: 0.832049
[17]	training's auc: 0.833036	valid_1's auc: 0.83278
[18]	training's auc: 0.833296	valid_1's auc: 0.833079
[19]	training's auc: 0.833718	valid_1's auc: 0.833457
[20]	training's auc: 0.834402	valid_1's auc: 0.834114
[21]	training's auc: 0.834227	valid_1's auc: 0.833976
[22]	training's auc: 0.834767	valid_1's auc: 0.834537
[23]	training's auc: 0.835264	valid_1's auc: 0.835067
[24]	training's auc: 0.836015	valid_1's auc: 0.835866
[25]	training's auc: 0.836007	valid_1's auc: 0.835836
[26]	training's auc: 0.83659	valid_1's auc: 0.836341
[27]	training's auc: 0.837144	valid_1's auc: 0.836908
[28]	training's auc: 0.837363	valid_1's auc: 0.837159
[29]	training's auc: 0.837289	valid_1's auc: 0.837036
[30]	training's auc: 0.837754	valid_1's auc: 0.837466
[31]	training's auc: 0.837943	valid_1's auc: 0.837665
[32]	training's auc: 0.838317	valid_1's auc: 0.838019
[33]	training's auc: 0.838431	valid_1's auc: 0.838174
[34]	training's auc: 0.838464	valid_1's auc: 0.838139
[35]	training's auc: 0.838787	valid_1's auc: 0.838469
[36]	training's auc: 0.838874	valid_1's auc: 0.838561
[37]	training's auc: 0.83886	valid_1's auc: 0.838571
[38]	training's auc: 0.839229	valid_1's auc: 0.838941
[39]	training's auc: 0.839332	valid_1's auc: 0.839005
[40]	training's auc: 0.839578	valid_1's auc: 0.839283
[41]	training's auc: 0.839692	valid_1's auc: 0.83934
[42]	training's auc: 0.839959	valid_1's auc: 0.839589
[43]	training's auc: 0.840171	valid_1's auc: 0.839767
[44]	training's auc: 0.840402	valid_1's auc: 0.840001
[45]	training's auc: 0.84063	valid_1's auc: 0.840191
[46]	training's auc: 0.840724	valid_1's auc: 0.840255
[47]	training's auc: 0.840917	valid_1's auc: 0.840412
[48]	training's auc: 0.841233	valid_1's auc: 0.840714
[49]	training's auc: 0.841427	valid_1's auc: 0.840881
[50]	training's auc: 0.841726	valid_1's auc: 0.841143
[51]	training's auc: 0.842048	valid_1's auc: 0.841466
[52]	training's auc: 0.842138	valid_1's auc: 0.841565
[53]	training's auc: 0.842235	valid_1's auc: 0.841635
[54]	training's auc: 0.842383	valid_1's auc: 0.841787
[55]	training's auc: 0.842565	valid_1's auc: 0.84196
[56]	training's auc: 0.842717	valid_1's auc: 0.842094
[57]	training's auc: 0.84293	valid_1's auc: 0.842288
[58]	training's auc: 0.842983	valid_1's auc: 0.842324
[59]	training's auc: 0.843161	valid_1's auc: 0.842503
[60]	training's auc: 0.843283	valid_1's auc: 0.842619
[61]	training's auc: 0.843458	valid_1's auc: 0.842764
[62]	training's auc: 0.843549	valid_1's auc: 0.842839
[63]	training's auc: 0.843851	valid_1's auc: 0.84313
[64]	training's auc: 0.843966	valid_1's auc: 0.843231
[65]	training's auc: 0.844144	valid_1's auc: 0.843387
[66]	training's auc: 0.844317	valid_1's auc: 0.843552
[67]	training's auc: 0.844628	valid_1's auc: 0.843822
[68]	training's auc: 0.844814	valid_1's auc: 0.84399
[69]	training's auc: 0.845004	valid_1's auc: 0.844145
[70]	training's auc: 0.845081	valid_1's auc: 0.844202
[71]	training's auc: 0.845294	valid_1's auc: 0.844377
[72]	training's auc: 0.845522	valid_1's auc: 0.844566
[73]	training's auc: 0.845585	valid_1's auc: 0.844623
[74]	training's auc: 0.845768	valid_1's auc: 0.844758
[75]	training's auc: 0.845902	valid_1's auc: 0.844848
[76]	training's auc: 0.846074	valid_1's auc: 0.845021
[77]	training's auc: 0.846229	valid_1's auc: 0.845158
[78]	training's auc: 0.846306	valid_1's auc: 0.845213
[79]	training's auc: 0.846528	valid_1's auc: 0.845411
[80]	training's auc: 0.846717	valid_1's auc: 0.845573
[81]	training's auc: 0.846883	valid_1's auc: 0.845741
[82]	training's auc: 0.847002	valid_1's auc: 0.845827
[83]	training's auc: 0.84717	valid_1's auc: 0.845967
[84]	training's auc: 0.847285	valid_1's auc: 0.846049
[85]	training's auc: 0.847375	valid_1's auc: 0.846125
[86]	training's auc: 0.847504	valid_1's auc: 0.846253
[87]	training's auc: 0.847597	valid_1's auc: 0.846307
[88]	training's auc: 0.847703	valid_1's auc: 0.84637
[89]	training's auc: 0.84778	valid_1's auc: 0.846449
[90]	training's auc: 0.847856	valid_1's auc: 0.84652
[91]	training's auc: 0.84797	valid_1's auc: 0.846598
[92]	training's auc: 0.848025	valid_1's auc: 0.846643
[93]	training's auc: 0.848155	valid_1's auc: 0.846743
[94]	training's auc: 0.848248	valid_1's auc: 0.846818
[95]	training's auc: 0.848397	valid_1's auc: 0.846919
[96]	training's auc: 0.848485	valid_1's auc: 0.84698
[97]	training's auc: 0.848671	valid_1's auc: 0.847155
[98]	training's auc: 0.848789	valid_1's auc: 0.847234
[99]	training's auc: 0.848853	valid_1's auc: 0.847274
[100]	training's auc: 0.848965	valid_1's auc: 0.847384
