[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.820057	valid_1's auc: 0.819735
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.825171	valid_1's auc: 0.824879
[3]	training's auc: 0.830705	valid_1's auc: 0.830589
[4]	training's auc: 0.832309	valid_1's auc: 0.831924
[5]	training's auc: 0.833873	valid_1's auc: 0.833537
[6]	training's auc: 0.835586	valid_1's auc: 0.835245
[7]	training's auc: 0.836204	valid_1's auc: 0.835831
[8]	training's auc: 0.837229	valid_1's auc: 0.836564
[9]	training's auc: 0.837672	valid_1's auc: 0.836936
[10]	training's auc: 0.837988	valid_1's auc: 0.837273
[11]	training's auc: 0.838352	valid_1's auc: 0.837752
[12]	training's auc: 0.838856	valid_1's auc: 0.838115
[13]	training's auc: 0.840059	valid_1's auc: 0.839362
[14]	training's auc: 0.840354	valid_1's auc: 0.839607
[15]	training's auc: 0.840979	valid_1's auc: 0.8402
[16]	training's auc: 0.841369	valid_1's auc: 0.840675
[17]	training's auc: 0.841876	valid_1's auc: 0.841176
[18]	training's auc: 0.842337	valid_1's auc: 0.84158
[19]	training's auc: 0.842887	valid_1's auc: 0.842056
[20]	training's auc: 0.843571	valid_1's auc: 0.842736
[21]	training's auc: 0.844013	valid_1's auc: 0.843068
[22]	training's auc: 0.844528	valid_1's auc: 0.843481
[23]	training's auc: 0.844801	valid_1's auc: 0.843716
[24]	training's auc: 0.845348	valid_1's auc: 0.844194
[25]	training's auc: 0.845784	valid_1's auc: 0.844614
[26]	training's auc: 0.846282	valid_1's auc: 0.845102
[27]	training's auc: 0.84643	valid_1's auc: 0.845291
[28]	training's auc: 0.846773	valid_1's auc: 0.845633
[29]	training's auc: 0.847244	valid_1's auc: 0.846038
[30]	training's auc: 0.847774	valid_1's auc: 0.846453
[31]	training's auc: 0.847915	valid_1's auc: 0.846585
[32]	training's auc: 0.848323	valid_1's auc: 0.84692
[33]	training's auc: 0.848572	valid_1's auc: 0.847104
[34]	training's auc: 0.848959	valid_1's auc: 0.84737
[35]	training's auc: 0.849395	valid_1's auc: 0.847789
[36]	training's auc: 0.849656	valid_1's auc: 0.84799
[37]	training's auc: 0.849899	valid_1's auc: 0.848215
[38]	training's auc: 0.850331	valid_1's auc: 0.848605
[39]	training's auc: 0.85056	valid_1's auc: 0.848795
[40]	training's auc: 0.850847	valid_1's auc: 0.849059
[41]	training's auc: 0.851094	valid_1's auc: 0.849224
[42]	training's auc: 0.851465	valid_1's auc: 0.849498
[43]	training's auc: 0.85182	valid_1's auc: 0.849749
[44]	training's auc: 0.852134	valid_1's auc: 0.850042
[45]	training's auc: 0.852366	valid_1's auc: 0.850201
[46]	training's auc: 0.852621	valid_1's auc: 0.850352
[47]	training's auc: 0.8529	valid_1's auc: 0.850562
[48]	training's auc: 0.853032	valid_1's auc: 0.850701
[49]	training's auc: 0.853223	valid_1's auc: 0.850859
[50]	training's auc: 0.853628	valid_1's auc: 0.851218
[51]	training's auc: 0.853967	valid_1's auc: 0.851508
[52]	training's auc: 0.854279	valid_1's auc: 0.85173
[53]	training's auc: 0.854521	valid_1's auc: 0.851899
[54]	training's auc: 0.854867	valid_1's auc: 0.852146
[55]	training's auc: 0.855185	valid_1's auc: 0.852455
[56]	training's auc: 0.855354	valid_1's auc: 0.852563
[57]	training's auc: 0.855454	valid_1's auc: 0.852653
[58]	training's auc: 0.855612	valid_1's auc: 0.852737
[59]	training's auc: 0.855849	valid_1's auc: 0.852909
[60]	training's auc: 0.856113	valid_1's auc: 0.853098
[61]	training's auc: 0.856345	valid_1's auc: 0.853267
[62]	training's auc: 0.856603	valid_1's auc: 0.853436
[63]	training's auc: 0.856872	valid_1's auc: 0.853611
[64]	training's auc: 0.85714	valid_1's auc: 0.853783
[65]	training's auc: 0.857332	valid_1's auc: 0.853918
[66]	training's auc: 0.857459	valid_1's auc: 0.85403
[67]	training's auc: 0.857689	valid_1's auc: 0.854161
[68]	training's auc: 0.857937	valid_1's auc: 0.854303
[69]	training's auc: 0.858119	valid_1's auc: 0.854412
[70]	training's auc: 0.858287	valid_1's auc: 0.854522
[71]	training's auc: 0.858518	valid_1's auc: 0.85467
[72]	training's auc: 0.858714	valid_1's auc: 0.854841
[73]	training's auc: 0.858821	valid_1's auc: 0.854918
[74]	training's auc: 0.859006	valid_1's auc: 0.855036
[75]	training's auc: 0.859182	valid_1's auc: 0.85511
[76]	training's auc: 0.859345	valid_1's auc: 0.855248
[77]	training's auc: 0.859553	valid_1's auc: 0.855295
[78]	training's auc: 0.859685	valid_1's auc: 0.855363
[79]	training's auc: 0.859894	valid_1's auc: 0.855503
[80]	training's auc: 0.860114	valid_1's auc: 0.855616
[81]	training's auc: 0.860315	valid_1's auc: 0.855715
[82]	training's auc: 0.860492	valid_1's auc: 0.855809
[83]	training's auc: 0.860683	valid_1's auc: 0.855897
[84]	training's auc: 0.860806	valid_1's auc: 0.855946
[85]	training's auc: 0.860933	valid_1's auc: 0.856004
[86]	training's auc: 0.861088	valid_1's auc: 0.856049
[87]	training's auc: 0.861219	valid_1's auc: 0.856097
[88]	training's auc: 0.861349	valid_1's auc: 0.856126
[89]	training's auc: 0.861486	valid_1's auc: 0.856243
[90]	training's auc: 0.861644	valid_1's auc: 0.856302
[91]	training's auc: 0.86179	valid_1's auc: 0.856347
[92]	training's auc: 0.861941	valid_1's auc: 0.85642
[93]	training's auc: 0.862076	valid_1's auc: 0.856476
[94]	training's auc: 0.862211	valid_1's auc: 0.85652
[95]	training's auc: 0.862391	valid_1's auc: 0.856611
[96]	training's auc: 0.86252	valid_1's auc: 0.856635
[97]	training's auc: 0.862677	valid_1's auc: 0.856713
[98]	training's auc: 0.862752	valid_1's auc: 0.856746
[99]	training's auc: 0.862805	valid_1's auc: 0.856775
[100]	training's auc: 0.862923	valid_1's auc: 0.856869
[101]	training's auc: 0.862982	valid_1's auc: 0.856934
[102]	training's auc: 0.863101	valid_1's auc: 0.857011
[103]	training's auc: 0.863271	valid_1's auc: 0.857115
[104]	training's auc: 0.863437	valid_1's auc: 0.857218
[105]	training's auc: 0.863565	valid_1's auc: 0.857298
[106]	training's auc: 0.863687	valid_1's auc: 0.857315
[107]	training's auc: 0.863821	valid_1's auc: 0.857386
[108]	training's auc: 0.863939	valid_1's auc: 0.857431
[109]	training's auc: 0.864096	valid_1's auc: 0.857512
[110]	training's auc: 0.8642	valid_1's auc: 0.857533
[111]	training's auc: 0.864345	valid_1's auc: 0.857611
[112]	training's auc: 0.864418	valid_1's auc: 0.857635
[113]	training's auc: 0.864515	valid_1's auc: 0.857679
[114]	training's auc: 0.864595	valid_1's auc: 0.857714
[115]	training's auc: 0.864677	valid_1's auc: 0.857758
[116]	training's auc: 0.864789	valid_1's auc: 0.857814
[117]	training's auc: 0.86493	valid_1's auc: 0.857878
[118]	training's auc: 0.865009	valid_1's auc: 0.857902
[119]	training's auc: 0.865113	valid_1's auc: 0.857909
[120]	training's auc: 0.865161	valid_1's auc: 0.857949
[121]	training's auc: 0.865247	valid_1's auc: 0.857978
