[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.809898	valid_1's auc: 0.810232
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.816639	valid_1's auc: 0.817995
[3]	training's auc: 0.824639	valid_1's auc: 0.825868
[4]	training's auc: 0.828369	valid_1's auc: 0.829033
[5]	training's auc: 0.831139	valid_1's auc: 0.831723
[6]	training's auc: 0.833034	valid_1's auc: 0.833569
[7]	training's auc: 0.834837	valid_1's auc: 0.835363
[8]	training's auc: 0.836114	valid_1's auc: 0.836632
[9]	training's auc: 0.836407	valid_1's auc: 0.836744
[10]	training's auc: 0.837171	valid_1's auc: 0.837359
[11]	training's auc: 0.837992	valid_1's auc: 0.838323
[12]	training's auc: 0.838564	valid_1's auc: 0.838705
[13]	training's auc: 0.840248	valid_1's auc: 0.840264
[14]	training's auc: 0.840594	valid_1's auc: 0.840571
[15]	training's auc: 0.841797	valid_1's auc: 0.841776
[16]	training's auc: 0.842883	valid_1's auc: 0.842836
[17]	training's auc: 0.8436	valid_1's auc: 0.843623
[18]	training's auc: 0.844295	valid_1's auc: 0.844285
[19]	training's auc: 0.844986	valid_1's auc: 0.844888
[20]	training's auc: 0.84573	valid_1's auc: 0.845556
[21]	training's auc: 0.846268	valid_1's auc: 0.846029
[22]	training's auc: 0.846838	valid_1's auc: 0.84659
[23]	training's auc: 0.847082	valid_1's auc: 0.846808
[24]	training's auc: 0.84767	valid_1's auc: 0.847322
[25]	training's auc: 0.848127	valid_1's auc: 0.847757
[26]	training's auc: 0.848617	valid_1's auc: 0.848145
[27]	training's auc: 0.848934	valid_1's auc: 0.848436
[28]	training's auc: 0.849299	valid_1's auc: 0.848691
[29]	training's auc: 0.849764	valid_1's auc: 0.849045
[30]	training's auc: 0.850136	valid_1's auc: 0.849368
[31]	training's auc: 0.850435	valid_1's auc: 0.849609
[32]	training's auc: 0.850772	valid_1's auc: 0.84994
[33]	training's auc: 0.851036	valid_1's auc: 0.850145
[34]	training's auc: 0.851437	valid_1's auc: 0.850373
[35]	training's auc: 0.851841	valid_1's auc: 0.85067
[36]	training's auc: 0.852118	valid_1's auc: 0.850873
[37]	training's auc: 0.85234	valid_1's auc: 0.850982
[38]	training's auc: 0.852681	valid_1's auc: 0.851253
[39]	training's auc: 0.852908	valid_1's auc: 0.851424
[40]	training's auc: 0.853145	valid_1's auc: 0.851623
[41]	training's auc: 0.853328	valid_1's auc: 0.851721
[42]	training's auc: 0.853595	valid_1's auc: 0.851833
[43]	training's auc: 0.853845	valid_1's auc: 0.852002
[44]	training's auc: 0.854053	valid_1's auc: 0.852197
[45]	training's auc: 0.854214	valid_1's auc: 0.852273
[46]	training's auc: 0.854509	valid_1's auc: 0.852485
[47]	training's auc: 0.854707	valid_1's auc: 0.852506
[48]	training's auc: 0.854817	valid_1's auc: 0.852624
[49]	training's auc: 0.854957	valid_1's auc: 0.852667
[50]	training's auc: 0.855184	valid_1's auc: 0.852806
[51]	training's auc: 0.855468	valid_1's auc: 0.852974
[52]	training's auc: 0.85561	valid_1's auc: 0.853016
[53]	training's auc: 0.855783	valid_1's auc: 0.853127
[54]	training's auc: 0.855914	valid_1's auc: 0.853172
[55]	training's auc: 0.85608	valid_1's auc: 0.853386
[56]	training's auc: 0.856225	valid_1's auc: 0.853406
[57]	training's auc: 0.856293	valid_1's auc: 0.853517
[58]	training's auc: 0.856437	valid_1's auc: 0.853622
[59]	training's auc: 0.856596	valid_1's auc: 0.853755
[60]	training's auc: 0.856761	valid_1's auc: 0.853868
[61]	training's auc: 0.856886	valid_1's auc: 0.853869
[62]	training's auc: 0.857067	valid_1's auc: 0.854004
[63]	training's auc: 0.857265	valid_1's auc: 0.854136
[64]	training's auc: 0.85737	valid_1's auc: 0.854176
[65]	training's auc: 0.857532	valid_1's auc: 0.854283
[66]	training's auc: 0.857669	valid_1's auc: 0.854358
[67]	training's auc: 0.857768	valid_1's auc: 0.85439
[68]	training's auc: 0.857846	valid_1's auc: 0.854385
[69]	training's auc: 0.857983	valid_1's auc: 0.854431
[70]	training's auc: 0.858185	valid_1's auc: 0.854545
[71]	training's auc: 0.858322	valid_1's auc: 0.854572
[72]	training's auc: 0.85844	valid_1's auc: 0.85464
[73]	training's auc: 0.858587	valid_1's auc: 0.85472
[74]	training's auc: 0.858759	valid_1's auc: 0.854785
[75]	training's auc: 0.858852	valid_1's auc: 0.854794
[76]	training's auc: 0.859006	valid_1's auc: 0.85488
[77]	training's auc: 0.859111	valid_1's auc: 0.854952
[78]	training's auc: 0.859219	valid_1's auc: 0.85497
[79]	training's auc: 0.859407	valid_1's auc: 0.85508
[80]	training's auc: 0.859503	valid_1's auc: 0.855154
[81]	training's auc: 0.859601	valid_1's auc: 0.855209
[82]	training's auc: 0.859668	valid_1's auc: 0.855222
[83]	training's auc: 0.859744	valid_1's auc: 0.855266
[84]	training's auc: 0.859975	valid_1's auc: 0.85537
[85]	training's auc: 0.86006	valid_1's auc: 0.855378
[86]	training's auc: 0.860242	valid_1's auc: 0.855511
[87]	training's auc: 0.860395	valid_1's auc: 0.855573
[88]	training's auc: 0.860576	valid_1's auc: 0.855684
[89]	training's auc: 0.860695	valid_1's auc: 0.855718
[90]	training's auc: 0.860767	valid_1's auc: 0.855704
[91]	training's auc: 0.86085	valid_1's auc: 0.855719
[92]	training's auc: 0.86096	valid_1's auc: 0.855794
[93]	training's auc: 0.861022	valid_1's auc: 0.855802
[94]	training's auc: 0.861143	valid_1's auc: 0.855796
[95]	training's auc: 0.861242	valid_1's auc: 0.855881
[96]	training's auc: 0.861278	valid_1's auc: 0.855874
[97]	training's auc: 0.861404	valid_1's auc: 0.855933
[98]	training's auc: 0.861496	valid_1's auc: 0.855986
[99]	training's auc: 0.861537	valid_1's auc: 0.855973
[100]	training's auc: 0.861645	valid_1's auc: 0.856013
[101]	training's auc: 0.861713	valid_1's auc: 0.85608
[102]	training's auc: 0.86177	valid_1's auc: 0.856091
[103]	training's auc: 0.861957	valid_1's auc: 0.856237
[104]	training's auc: 0.862148	valid_1's auc: 0.856346
[105]	training's auc: 0.862223	valid_1's auc: 0.856357
[106]	training's auc: 0.862319	valid_1's auc: 0.856374
[107]	training's auc: 0.862378	valid_1's auc: 0.856381
[108]	training's auc: 0.862526	valid_1's auc: 0.856446
[109]	training's auc: 0.862569	valid_1's auc: 0.856419
[110]	training's auc: 0.862598	valid_1's auc: 0.856401
[111]	training's auc: 0.862658	valid_1's auc: 0.856463
[112]	training's auc: 0.862728	valid_1's auc: 0.85649
[113]	training's auc: 0.862779	valid_1's auc: 0.856531
[114]	training's auc: 0.862835	valid_1's auc: 0.856556
[115]	training's auc: 0.862933	valid_1's auc: 0.856647
[116]	training's auc: 0.863039	valid_1's auc: 0.856683
[117]	training's auc: 0.863089	valid_1's auc: 0.856707
[118]	training's auc: 0.863143	valid_1's auc: 0.856701
[119]	training's auc: 0.863215	valid_1's auc: 0.856712
[120]	training's auc: 0.863258	valid_1's auc: 0.856766
[121]	training's auc: 0.863346	valid_1's auc: 0.856815
[122]	training's auc: 0.863423	valid_1's auc: 0.856837
[123]	training's auc: 0.863461	valid_1's auc: 0.856866
[124]	training's auc: 0.863496	valid_1's auc: 0.856901
[125]	training's auc: 0.863543	valid_1's auc: 0.856894
[126]	training's auc: 0.863594	valid_1's auc: 0.856883
[127]	training's auc: 0.863702	valid_1's auc: 0.856912
[128]	training's auc: 0.863731	valid_1's auc: 0.856901
[129]	training's auc: 0.863786	valid_1's auc: 0.856932
[130]	training's auc: 0.863836	valid_1's auc: 0.856921
[131]	training's auc: 0.863891	valid_1's auc: 0.856931
[132]	training's auc: 0.863926	valid_1's auc: 0.856939
[133]	training's auc: 0.864041	valid_1's auc: 0.857015
[134]	training's auc: 0.864066	valid_1's auc: 0.857013
[135]	training's auc: 0.864165	valid_1's auc: 0.857075
[136]	training's auc: 0.864191	valid_1's auc: 0.857086
[137]	training's auc: 0.864231	valid_1's auc: 0.857116
[138]	training's auc: 0.864337	valid_1's auc: 0.857122
[139]	training's auc: 0.864468	valid_1's auc: 0.857199
[140]	training's auc: 0.864548	valid_1's auc: 0.857183
[141]	training's auc: 0.864687	valid_1's auc: 0.857277
[142]	training's auc: 0.864812	valid_1's auc: 0.857354
[143]	training's auc: 0.86494	valid_1's auc: 0.85736
[144]	training's auc: 0.864993	valid_1's auc: 0.857397
