[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.809588	valid_1's auc: 0.807223
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.820694	valid_1's auc: 0.818138
[3]	training's auc: 0.828409	valid_1's auc: 0.825655
[4]	training's auc: 0.830401	valid_1's auc: 0.82695
[5]	training's auc: 0.834215	valid_1's auc: 0.830887
[6]	training's auc: 0.836396	valid_1's auc: 0.833008
[7]	training's auc: 0.837637	valid_1's auc: 0.834205
[8]	training's auc: 0.838897	valid_1's auc: 0.835313
[9]	training's auc: 0.839703	valid_1's auc: 0.835814
[10]	training's auc: 0.840874	valid_1's auc: 0.837045
[11]	training's auc: 0.841937	valid_1's auc: 0.838092
[12]	training's auc: 0.842393	valid_1's auc: 0.838351
[13]	training's auc: 0.844129	valid_1's auc: 0.840028
[14]	training's auc: 0.844772	valid_1's auc: 0.840335
[15]	training's auc: 0.845922	valid_1's auc: 0.841486
[16]	training's auc: 0.847506	valid_1's auc: 0.842966
[17]	training's auc: 0.848075	valid_1's auc: 0.843633
[18]	training's auc: 0.849295	valid_1's auc: 0.844651
[19]	training's auc: 0.850033	valid_1's auc: 0.845394
[20]	training's auc: 0.850867	valid_1's auc: 0.846059
[21]	training's auc: 0.851608	valid_1's auc: 0.846556
[22]	training's auc: 0.852155	valid_1's auc: 0.846966
[23]	training's auc: 0.852416	valid_1's auc: 0.847323
[24]	training's auc: 0.852956	valid_1's auc: 0.847776
[25]	training's auc: 0.853533	valid_1's auc: 0.848081
[26]	training's auc: 0.854137	valid_1's auc: 0.848391
[27]	training's auc: 0.854508	valid_1's auc: 0.848763
[28]	training's auc: 0.854828	valid_1's auc: 0.849093
[29]	training's auc: 0.855517	valid_1's auc: 0.849552
[30]	training's auc: 0.855997	valid_1's auc: 0.849984
[31]	training's auc: 0.856286	valid_1's auc: 0.850146
[32]	training's auc: 0.856776	valid_1's auc: 0.850579
[33]	training's auc: 0.857189	valid_1's auc: 0.850772
[34]	training's auc: 0.857577	valid_1's auc: 0.850971
[35]	training's auc: 0.857909	valid_1's auc: 0.851106
[36]	training's auc: 0.858189	valid_1's auc: 0.851236
[37]	training's auc: 0.85849	valid_1's auc: 0.851321
[38]	training's auc: 0.858883	valid_1's auc: 0.851484
[39]	training's auc: 0.859225	valid_1's auc: 0.85163
[40]	training's auc: 0.859439	valid_1's auc: 0.85176
[41]	training's auc: 0.859801	valid_1's auc: 0.851994
[42]	training's auc: 0.86018	valid_1's auc: 0.852184
[43]	training's auc: 0.860385	valid_1's auc: 0.85224
[44]	training's auc: 0.860482	valid_1's auc: 0.852321
[45]	training's auc: 0.860697	valid_1's auc: 0.852382
[46]	training's auc: 0.860928	valid_1's auc: 0.852511
[47]	training's auc: 0.861179	valid_1's auc: 0.852557
[48]	training's auc: 0.861256	valid_1's auc: 0.852705
[49]	training's auc: 0.861442	valid_1's auc: 0.852756
[50]	training's auc: 0.861654	valid_1's auc: 0.852806
[51]	training's auc: 0.862051	valid_1's auc: 0.853056
[52]	training's auc: 0.862213	valid_1's auc: 0.853115
[53]	training's auc: 0.86254	valid_1's auc: 0.853285
[54]	training's auc: 0.86275	valid_1's auc: 0.853296
[55]	training's auc: 0.86296	valid_1's auc: 0.853526
[56]	training's auc: 0.863146	valid_1's auc: 0.85354
[57]	training's auc: 0.863191	valid_1's auc: 0.853621
[58]	training's auc: 0.863381	valid_1's auc: 0.853692
[59]	training's auc: 0.863486	valid_1's auc: 0.853745
[60]	training's auc: 0.863579	valid_1's auc: 0.853764
[61]	training's auc: 0.863731	valid_1's auc: 0.85386
[62]	training's auc: 0.863889	valid_1's auc: 0.853925
[63]	training's auc: 0.864327	valid_1's auc: 0.85412
[64]	training's auc: 0.864514	valid_1's auc: 0.854097
[65]	training's auc: 0.864663	valid_1's auc: 0.854147
[66]	training's auc: 0.864801	valid_1's auc: 0.854179
[67]	training's auc: 0.864937	valid_1's auc: 0.854212
[68]	training's auc: 0.865297	valid_1's auc: 0.85436
[69]	training's auc: 0.865527	valid_1's auc: 0.854493
[70]	training's auc: 0.86569	valid_1's auc: 0.854524
[71]	training's auc: 0.865838	valid_1's auc: 0.854533
[72]	training's auc: 0.866104	valid_1's auc: 0.854704
[73]	training's auc: 0.866296	valid_1's auc: 0.854757
[74]	training's auc: 0.866415	valid_1's auc: 0.854769
[75]	training's auc: 0.866578	valid_1's auc: 0.854699
[76]	training's auc: 0.866758	valid_1's auc: 0.854814
[77]	training's auc: 0.86683	valid_1's auc: 0.854822
[78]	training's auc: 0.866985	valid_1's auc: 0.854863
[79]	training's auc: 0.867137	valid_1's auc: 0.854878
[80]	training's auc: 0.867198	valid_1's auc: 0.854904
[81]	training's auc: 0.867352	valid_1's auc: 0.854906
[82]	training's auc: 0.867403	valid_1's auc: 0.854904
[83]	training's auc: 0.867643	valid_1's auc: 0.854979
[84]	training's auc: 0.867748	valid_1's auc: 0.854969
[85]	training's auc: 0.867888	valid_1's auc: 0.854988
[86]	training's auc: 0.867966	valid_1's auc: 0.855101
[87]	training's auc: 0.868229	valid_1's auc: 0.855201
[88]	training's auc: 0.868456	valid_1's auc: 0.855285
[89]	training's auc: 0.868514	valid_1's auc: 0.855381
[90]	training's auc: 0.86874	valid_1's auc: 0.855437
[91]	training's auc: 0.868777	valid_1's auc: 0.855444
[92]	training's auc: 0.86891	valid_1's auc: 0.855435
[93]	training's auc: 0.868953	valid_1's auc: 0.855438
[94]	training's auc: 0.869052	valid_1's auc: 0.855452
[95]	training's auc: 0.869244	valid_1's auc: 0.855536
[96]	training's auc: 0.869268	valid_1's auc: 0.855525
[97]	training's auc: 0.869416	valid_1's auc: 0.855533
[98]	training's auc: 0.869547	valid_1's auc: 0.85558
[99]	training's auc: 0.869632	valid_1's auc: 0.855564
[100]	training's auc: 0.869698	valid_1's auc: 0.855649
[101]	training's auc: 0.869748	valid_1's auc: 0.855713
[102]	training's auc: 0.869864	valid_1's auc: 0.855718
[103]	training's auc: 0.869906	valid_1's auc: 0.855735
[104]	training's auc: 0.870028	valid_1's auc: 0.855756
[105]	training's auc: 0.870125	valid_1's auc: 0.855793
[106]	training's auc: 0.870234	valid_1's auc: 0.855825
[107]	training's auc: 0.870327	valid_1's auc: 0.855864
[108]	training's auc: 0.870463	valid_1's auc: 0.855928
[109]	training's auc: 0.870562	valid_1's auc: 0.855944
[110]	training's auc: 0.870575	valid_1's auc: 0.855937
[111]	training's auc: 0.870772	valid_1's auc: 0.856048
[112]	training's auc: 0.870935	valid_1's auc: 0.856073
[113]	training's auc: 0.871155	valid_1's auc: 0.856199
[114]	training's auc: 0.871288	valid_1's auc: 0.856223
[115]	training's auc: 0.871344	valid_1's auc: 0.856271
[116]	training's auc: 0.871364	valid_1's auc: 0.856266
[117]	training's auc: 0.871475	valid_1's auc: 0.856266
[118]	training's auc: 0.871558	valid_1's auc: 0.856271
[119]	training's auc: 0.871773	valid_1's auc: 0.856388
[120]	training's auc: 0.871816	valid_1's auc: 0.856416
[121]	training's auc: 0.871922	valid_1's auc: 0.856454
[122]	training's auc: 0.872006	valid_1's auc: 0.856453
[123]	training's auc: 0.872036	valid_1's auc: 0.856491
[124]	training's auc: 0.872063	valid_1's auc: 0.856497
[125]	training's auc: 0.872149	valid_1's auc: 0.856498
[126]	training's auc: 0.872292	valid_1's auc: 0.856559
[127]	training's auc: 0.872418	valid_1's auc: 0.856565
[128]	training's auc: 0.872565	valid_1's auc: 0.856612
[129]	training's auc: 0.872643	valid_1's auc: 0.856591
[130]	training's auc: 0.872799	valid_1's auc: 0.856648
[131]	training's auc: 0.872895	valid_1's auc: 0.856652
[132]	training's auc: 0.873075	valid_1's auc: 0.856746
[133]	training's auc: 0.873267	valid_1's auc: 0.856812
[134]	training's auc: 0.873331	valid_1's auc: 0.856834
[135]	training's auc: 0.873458	valid_1's auc: 0.856883
[136]	training's auc: 0.873488	valid_1's auc: 0.856882
[137]	training's auc: 0.873594	valid_1's auc: 0.856915
[138]	training's auc: 0.87371	valid_1's auc: 0.856921
[139]	training's auc: 0.873802	valid_1's auc: 0.856928
[140]	training's auc: 0.87389	valid_1's auc: 0.856939
[141]	training's auc: 0.874033	valid_1's auc: 0.856955
[142]	training's auc: 0.874113	valid_1's auc: 0.856947
[143]	training's auc: 0.874138	valid_1's auc: 0.856928
[144]	training's auc: 0.874194	valid_1's auc: 0.856972
[145]	training's auc: 0.874277	valid_1's auc: 0.857034
[146]	training's auc: 0.874373	valid_1's auc: 0.857048
[147]	training's auc: 0.874469	valid_1's auc: 0.857042
[148]	training's auc: 0.874554	valid_1's auc: 0.857048
[149]	training's auc: 0.874644	valid_1's auc: 0.857082
[150]	training's auc: 0.874706	valid_1's auc: 0.857141
[151]	training's auc: 0.874751	valid_1's auc: 0.857223
[152]	training's auc: 0.874819	valid_1's auc: 0.85723
[153]	training's auc: 0.874876	valid_1's auc: 0.857272
[154]	training's auc: 0.874891	valid_1's auc: 0.85726
[155]	training's auc: 0.874975	valid_1's auc: 0.857266
[156]	training's auc: 0.87506	valid_1's auc: 0.857243
[157]	training's auc: 0.875078	valid_1's auc: 0.857255
[158]	training's auc: 0.87513	valid_1's auc: 0.857246
[159]	training's auc: 0.875163	valid_1's auc: 0.857269
[160]	training's auc: 0.875222	valid_1's auc: 0.857274
[161]	training's auc: 0.87523	valid_1's auc: 0.857248
[162]	training's auc: 0.875381	valid_1's auc: 0.857275
[163]	training's auc: 0.875452	valid_1's auc: 0.857263
[164]	training's auc: 0.875532	valid_1's auc: 0.857267
[165]	training's auc: 0.875625	valid_1's auc: 0.857264
[166]	training's auc: 0.875671	valid_1's auc: 0.857256
[167]	training's auc: 0.875794	valid_1's auc: 0.857254
[168]	training's auc: 0.875816	valid_1's auc: 0.857277
[169]	training's auc: 0.875876	valid_1's auc: 0.857309
[170]	training's auc: 0.875913	valid_1's auc: 0.857339
[171]	training's auc: 0.876095	valid_1's auc: 0.857389
[172]	training's auc: 0.876119	valid_1's auc: 0.857428
[173]	training's auc: 0.876172	valid_1's auc: 0.85743
[174]	training's auc: 0.876186	valid_1's auc: 0.857424
[175]	training's auc: 0.876209	valid_1's auc: 0.857435
[176]	training's auc: 0.876268	valid_1's auc: 0.857432
[177]	training's auc: 0.876304	valid_1's auc: 0.857457
[178]	training's auc: 0.876326	valid_1's auc: 0.857463
[179]	training's auc: 0.876388	valid_1's auc: 0.857457
[180]	training's auc: 0.876465	valid_1's auc: 0.857475
[181]	training's auc: 0.876643	valid_1's auc: 0.85749
[182]	training's auc: 0.876728	valid_1's auc: 0.85751
[183]	training's auc: 0.876749	valid_1's auc: 0.857521
[184]	training's auc: 0.876763	valid_1's auc: 0.857505
[185]	training's auc: 0.876799	valid_1's auc: 0.857548
[186]	training's auc: 0.876881	valid_1's auc: 0.857569
[187]	training's auc: 0.876947	valid_1's auc: 0.857536
[188]	training's auc: 0.877006	valid_1's auc: 0.85753
[189]	training's auc: 0.877089	valid_1's auc: 0.857573
[190]	training's auc: 0.877119	valid_1's auc: 0.85755
[191]	training's auc: 0.877133	valid_1's auc: 0.857554
[192]	training's auc: 0.877216	valid_1's auc: 0.857591
[193]	training's auc: 0.877258	valid_1's auc: 0.857598
