[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.815377	valid_1's auc: 0.817672
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.8201	valid_1's auc: 0.823349
[3]	training's auc: 0.826613	valid_1's auc: 0.830044
[4]	training's auc: 0.826312	valid_1's auc: 0.829649
[5]	training's auc: 0.831711	valid_1's auc: 0.834901
[6]	training's auc: 0.833903	valid_1's auc: 0.836935
[7]	training's auc: 0.83554	valid_1's auc: 0.83846
[8]	training's auc: 0.836301	valid_1's auc: 0.839228
[9]	training's auc: 0.836622	valid_1's auc: 0.839453
[10]	training's auc: 0.837573	valid_1's auc: 0.84032
[11]	training's auc: 0.83806	valid_1's auc: 0.840874
[12]	training's auc: 0.838352	valid_1's auc: 0.841111
[13]	training's auc: 0.84018	valid_1's auc: 0.842699
[14]	training's auc: 0.840633	valid_1's auc: 0.84313
[15]	training's auc: 0.841775	valid_1's auc: 0.84425
[16]	training's auc: 0.843006	valid_1's auc: 0.845442
[17]	training's auc: 0.843736	valid_1's auc: 0.846077
[18]	training's auc: 0.844556	valid_1's auc: 0.84682
[19]	training's auc: 0.845199	valid_1's auc: 0.847461
[20]	training's auc: 0.846039	valid_1's auc: 0.848182
[21]	training's auc: 0.846756	valid_1's auc: 0.848766
[22]	training's auc: 0.847434	valid_1's auc: 0.849351
[23]	training's auc: 0.847805	valid_1's auc: 0.849707
[24]	training's auc: 0.848318	valid_1's auc: 0.850087
[25]	training's auc: 0.848885	valid_1's auc: 0.850542
[26]	training's auc: 0.849405	valid_1's auc: 0.850938
[27]	training's auc: 0.849801	valid_1's auc: 0.851336
[28]	training's auc: 0.850213	valid_1's auc: 0.851689
[29]	training's auc: 0.850889	valid_1's auc: 0.852213
[30]	training's auc: 0.851331	valid_1's auc: 0.852523
[31]	training's auc: 0.851644	valid_1's auc: 0.852797
[32]	training's auc: 0.852099	valid_1's auc: 0.853169
[33]	training's auc: 0.852393	valid_1's auc: 0.853433
[34]	training's auc: 0.85285	valid_1's auc: 0.853719
[35]	training's auc: 0.853333	valid_1's auc: 0.854127
[36]	training's auc: 0.853618	valid_1's auc: 0.854313
[37]	training's auc: 0.853861	valid_1's auc: 0.854409
[38]	training's auc: 0.854311	valid_1's auc: 0.854671
[39]	training's auc: 0.854549	valid_1's auc: 0.854832
[40]	training's auc: 0.854807	valid_1's auc: 0.85497
[41]	training's auc: 0.855064	valid_1's auc: 0.855032
[42]	training's auc: 0.855383	valid_1's auc: 0.855183
[43]	training's auc: 0.855772	valid_1's auc: 0.855434
[44]	training's auc: 0.855965	valid_1's auc: 0.85566
[45]	training's auc: 0.856185	valid_1's auc: 0.855731
[46]	training's auc: 0.856495	valid_1's auc: 0.855938
[47]	training's auc: 0.856748	valid_1's auc: 0.856149
[48]	training's auc: 0.856844	valid_1's auc: 0.856223
[49]	training's auc: 0.856988	valid_1's auc: 0.856242
[50]	training's auc: 0.857216	valid_1's auc: 0.856355
[51]	training's auc: 0.857516	valid_1's auc: 0.85655
[52]	training's auc: 0.857707	valid_1's auc: 0.856586
[53]	training's auc: 0.857899	valid_1's auc: 0.856659
[54]	training's auc: 0.858105	valid_1's auc: 0.856726
[55]	training's auc: 0.858337	valid_1's auc: 0.85695
[56]	training's auc: 0.85855	valid_1's auc: 0.857041
[57]	training's auc: 0.858625	valid_1's auc: 0.857086
[58]	training's auc: 0.858811	valid_1's auc: 0.857193
[59]	training's auc: 0.85896	valid_1's auc: 0.857306
[60]	training's auc: 0.859198	valid_1's auc: 0.857513
[61]	training's auc: 0.859352	valid_1's auc: 0.857522
[62]	training's auc: 0.859456	valid_1's auc: 0.857562
[63]	training's auc: 0.859757	valid_1's auc: 0.857725
[64]	training's auc: 0.859918	valid_1's auc: 0.857688
[65]	training's auc: 0.860041	valid_1's auc: 0.857686
[66]	training's auc: 0.860183	valid_1's auc: 0.857785
[67]	training's auc: 0.860473	valid_1's auc: 0.857936
[68]	training's auc: 0.860613	valid_1's auc: 0.857969
[69]	training's auc: 0.860816	valid_1's auc: 0.85808
[70]	training's auc: 0.861017	valid_1's auc: 0.858189
[71]	training's auc: 0.861231	valid_1's auc: 0.858287
[72]	training's auc: 0.861414	valid_1's auc: 0.858408
[73]	training's auc: 0.861561	valid_1's auc: 0.85848
[74]	training's auc: 0.86172	valid_1's auc: 0.858548
[75]	training's auc: 0.861825	valid_1's auc: 0.858558
[76]	training's auc: 0.862002	valid_1's auc: 0.858679
[77]	training's auc: 0.862099	valid_1's auc: 0.858708
[78]	training's auc: 0.86225	valid_1's auc: 0.858814
[79]	training's auc: 0.862424	valid_1's auc: 0.858862
[80]	training's auc: 0.862503	valid_1's auc: 0.858878
[81]	training's auc: 0.862745	valid_1's auc: 0.858947
[82]	training's auc: 0.862872	valid_1's auc: 0.858984
[83]	training's auc: 0.863133	valid_1's auc: 0.859145
[84]	training's auc: 0.863211	valid_1's auc: 0.859151
[85]	training's auc: 0.863353	valid_1's auc: 0.859191
[86]	training's auc: 0.863436	valid_1's auc: 0.859261
[87]	training's auc: 0.863603	valid_1's auc: 0.85928
[88]	training's auc: 0.863673	valid_1's auc: 0.859295
[89]	training's auc: 0.863744	valid_1's auc: 0.859373
[90]	training's auc: 0.863894	valid_1's auc: 0.85946
[91]	training's auc: 0.864002	valid_1's auc: 0.859461
[92]	training's auc: 0.86408	valid_1's auc: 0.859487
[93]	training's auc: 0.864207	valid_1's auc: 0.859519
[94]	training's auc: 0.864298	valid_1's auc: 0.859525
[95]	training's auc: 0.864458	valid_1's auc: 0.859606
[96]	training's auc: 0.864613	valid_1's auc: 0.859679
[97]	training's auc: 0.86472	valid_1's auc: 0.85969
[98]	training's auc: 0.864797	valid_1's auc: 0.859738
[99]	training's auc: 0.864891	valid_1's auc: 0.85977
[100]	training's auc: 0.864949	valid_1's auc: 0.859842
[101]	training's auc: 0.865003	valid_1's auc: 0.859911
[102]	training's auc: 0.865093	valid_1's auc: 0.859932
[103]	training's auc: 0.865147	valid_1's auc: 0.859976
[104]	training's auc: 0.865365	valid_1's auc: 0.860136
[105]	training's auc: 0.865497	valid_1's auc: 0.860193
[106]	training's auc: 0.865685	valid_1's auc: 0.860284
[107]	training's auc: 0.865761	valid_1's auc: 0.860291
[108]	training's auc: 0.86591	valid_1's auc: 0.860315
[109]	training's auc: 0.865963	valid_1's auc: 0.8603
[110]	training's auc: 0.865994	valid_1's auc: 0.860276
[111]	training's auc: 0.866101	valid_1's auc: 0.860289
[112]	training's auc: 0.866228	valid_1's auc: 0.860323
[113]	training's auc: 0.866296	valid_1's auc: 0.860335
[114]	training's auc: 0.866387	valid_1's auc: 0.860348
[115]	training's auc: 0.866436	valid_1's auc: 0.860383
[116]	training's auc: 0.866559	valid_1's auc: 0.860415
[117]	training's auc: 0.866621	valid_1's auc: 0.860437
[118]	training's auc: 0.866679	valid_1's auc: 0.860437
[119]	training's auc: 0.866888	valid_1's auc: 0.86055
[120]	training's auc: 0.86694	valid_1's auc: 0.860624
[121]	training's auc: 0.867026	valid_1's auc: 0.860622
[122]	training's auc: 0.867123	valid_1's auc: 0.860645
[123]	training's auc: 0.867152	valid_1's auc: 0.860701
[124]	training's auc: 0.867189	valid_1's auc: 0.860715
[125]	training's auc: 0.867241	valid_1's auc: 0.860719
[126]	training's auc: 0.867327	valid_1's auc: 0.860742
[127]	training's auc: 0.86742	valid_1's auc: 0.860776
[128]	training's auc: 0.867502	valid_1's auc: 0.860772
[129]	training's auc: 0.867571	valid_1's auc: 0.860783
[130]	training's auc: 0.867637	valid_1's auc: 0.860777
[131]	training's auc: 0.867697	valid_1's auc: 0.860772
[132]	training's auc: 0.867748	valid_1's auc: 0.860765
[133]	training's auc: 0.867901	valid_1's auc: 0.860819
[134]	training's auc: 0.867984	valid_1's auc: 0.860849
[135]	training's auc: 0.868111	valid_1's auc: 0.860893
[136]	training's auc: 0.868245	valid_1's auc: 0.860956
[137]	training's auc: 0.868381	valid_1's auc: 0.860954
[138]	training's auc: 0.868504	valid_1's auc: 0.861024
[139]	training's auc: 0.868557	valid_1's auc: 0.861034
[140]	training's auc: 0.868682	valid_1's auc: 0.861059
[141]	training's auc: 0.868813	valid_1's auc: 0.861078
[142]	training's auc: 0.868908	valid_1's auc: 0.861137
[143]	training's auc: 0.868997	valid_1's auc: 0.861127
[144]	training's auc: 0.869047	valid_1's auc: 0.861196
[145]	training's auc: 0.869145	valid_1's auc: 0.861237
[146]	training's auc: 0.869208	valid_1's auc: 0.861249
[147]	training's auc: 0.869283	valid_1's auc: 0.861256
[148]	training's auc: 0.869342	valid_1's auc: 0.861264
[149]	training's auc: 0.86943	valid_1's auc: 0.861286
[150]	training's auc: 0.869449	valid_1's auc: 0.861281
[151]	training's auc: 0.869525	valid_1's auc: 0.861288
[152]	training's auc: 0.869571	valid_1's auc: 0.861269
[153]	training's auc: 0.869631	valid_1's auc: 0.861291
[154]	training's auc: 0.869671	valid_1's auc: 0.861283
[155]	training's auc: 0.869718	valid_1's auc: 0.861279
[156]	training's auc: 0.869779	valid_1's auc: 0.861281
[157]	training's auc: 0.86985	valid_1's auc: 0.861249
[158]	training's auc: 0.869955	valid_1's auc: 0.861289
[159]	training's auc: 0.869993	valid_1's auc: 0.861358
[160]	training's auc: 0.870135	valid_1's auc: 0.861399
[161]	training's auc: 0.870235	valid_1's auc: 0.861398
[162]	training's auc: 0.870291	valid_1's auc: 0.861384
[163]	training's auc: 0.87035	valid_1's auc: 0.861352
[164]	training's auc: 0.870404	valid_1's auc: 0.861343
[165]	training's auc: 0.870515	valid_1's auc: 0.861357
[166]	training's auc: 0.870537	valid_1's auc: 0.861357
[167]	training's auc: 0.870551	valid_1's auc: 0.861349
[168]	training's auc: 0.870573	valid_1's auc: 0.861342
[169]	training's auc: 0.870649	valid_1's auc: 0.861342
[170]	training's auc: 0.870693	valid_1's auc: 0.861347
[171]	training's auc: 0.87086	valid_1's auc: 0.861451
[172]	training's auc: 0.871008	valid_1's auc: 0.861523
[173]	training's auc: 0.87108	valid_1's auc: 0.861577
[174]	training's auc: 0.871116	valid_1's auc: 0.861561
[175]	training's auc: 0.871205	valid_1's auc: 0.861579
[176]	training's auc: 0.871335	valid_1's auc: 0.861613
[177]	training's auc: 0.871372	valid_1's auc: 0.861642
[178]	training's auc: 0.871455	valid_1's auc: 0.861681
[179]	training's auc: 0.871546	valid_1's auc: 0.861688
[180]	training's auc: 0.871633	valid_1's auc: 0.861712
[181]	training's auc: 0.87172	valid_1's auc: 0.8617
[182]	training's auc: 0.871791	valid_1's auc: 0.861709
[183]	training's auc: 0.871813	valid_1's auc: 0.861728
[184]	training's auc: 0.871827	valid_1's auc: 0.861724
[185]	training's auc: 0.871867	valid_1's auc: 0.861754
[186]	training's auc: 0.871918	valid_1's auc: 0.861748
[187]	training's auc: 0.872001	valid_1's auc: 0.861753
[188]	training's auc: 0.872053	valid_1's auc: 0.861756
[189]	training's auc: 0.872101	valid_1's auc: 0.861799
[190]	training's auc: 0.872136	valid_1's auc: 0.861794
[191]	training's auc: 0.872207	valid_1's auc: 0.861825
[192]	training's auc: 0.872269	valid_1's auc: 0.861854
[193]	training's auc: 0.87235	valid_1's auc: 0.861871
[194]	training's auc: 0.872423	valid_1's auc: 0.861865
[195]	training's auc: 0.872567	valid_1's auc: 0.861911
[196]	training's auc: 0.872661	valid_1's auc: 0.861947
[197]	training's auc: 0.872705	valid_1's auc: 0.86195
[198]	training's auc: 0.872811	valid_1's auc: 0.861962
[199]	training's auc: 0.872862	valid_1's auc: 0.861962
[200]	training's auc: 0.872871	valid_1's auc: 0.861949
[201]	training's auc: 0.872924	valid_1's auc: 0.861952
[202]	training's auc: 0.872979	valid_1's auc: 0.861965
[203]	training's auc: 0.873029	valid_1's auc: 0.861973
[204]	training's auc: 0.873043	valid_1's auc: 0.861963
[205]	training's auc: 0.873105	valid_1's auc: 0.861959
[206]	training's auc: 0.873137	valid_1's auc: 0.861986
[207]	training's auc: 0.873176	valid_1's auc: 0.861985
[208]	training's auc: 0.873241	valid_1's auc: 0.861984
[209]	training's auc: 0.873287	valid_1's auc: 0.861987
[210]	training's auc: 0.87332	valid_1's auc: 0.861994
[211]	training's auc: 0.873416	valid_1's auc: 0.862003
[212]	training's auc: 0.87347	valid_1's auc: 0.862001
[213]	training's auc: 0.873534	valid_1's auc: 0.861985
[214]	training's auc: 0.873614	valid_1's auc: 0.861979
[215]	training's auc: 0.873689	valid_1's auc: 0.861984
[216]	training's auc: 0.873737	valid_1's auc: 0.861985
[217]	training's auc: 0.873813	valid_1's auc: 0.862028
[218]	training's auc: 0.873819	valid_1's auc: 0.862028
[219]	training's auc: 0.873856	valid_1's auc: 0.862082
[220]	training's auc: 0.873914	valid_1's auc: 0.862078
[221]	training's auc: 0.87393	valid_1's auc: 0.862061
[222]	training's auc: 0.87394	valid_1's auc: 0.862052
[223]	training's auc: 0.87399	valid_1's auc: 0.862061
[224]	training's auc: 0.874022	valid_1's auc: 0.862048
[225]	training's auc: 0.874059	valid_1's auc: 0.862082
[226]	training's auc: 0.874152	valid_1's auc: 0.86207
[227]	training's auc: 0.874187	valid_1's auc: 0.862126
[228]	training's auc: 0.874231	valid_1's auc: 0.862137
[229]	training's auc: 0.87427	valid_1's auc: 0.862109
[230]	training's auc: 0.874294	valid_1's auc: 0.862136
[231]	training's auc: 0.874359	valid_1's auc: 0.862156
[232]	training's auc: 0.874381	valid_1's auc: 0.862197
[233]	training's auc: 0.874433	valid_1's auc: 0.862187
[234]	training's auc: 0.87451	valid_1's auc: 0.862204
