[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.811777	valid_1's auc: 0.81239
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.818328	valid_1's auc: 0.81937
[3]	training's auc: 0.825856	valid_1's auc: 0.826765
[4]	training's auc: 0.829642	valid_1's auc: 0.830582
[5]	training's auc: 0.832322	valid_1's auc: 0.832986
[6]	training's auc: 0.833936	valid_1's auc: 0.834638
[7]	training's auc: 0.835009	valid_1's auc: 0.835725
[8]	training's auc: 0.836371	valid_1's auc: 0.836965
[9]	training's auc: 0.836347	valid_1's auc: 0.836763
[10]	training's auc: 0.83705	valid_1's auc: 0.837399
[11]	training's auc: 0.838158	valid_1's auc: 0.838594
[12]	training's auc: 0.838843	valid_1's auc: 0.839405
[13]	training's auc: 0.84027	valid_1's auc: 0.840767
[14]	training's auc: 0.840703	valid_1's auc: 0.841112
[15]	training's auc: 0.841846	valid_1's auc: 0.842098
[16]	training's auc: 0.842736	valid_1's auc: 0.842905
[17]	training's auc: 0.843392	valid_1's auc: 0.843523
[18]	training's auc: 0.844011	valid_1's auc: 0.844005
[19]	training's auc: 0.844758	valid_1's auc: 0.844676
[20]	training's auc: 0.845508	valid_1's auc: 0.845275
[21]	training's auc: 0.846023	valid_1's auc: 0.845698
[22]	training's auc: 0.846648	valid_1's auc: 0.846197
[23]	training's auc: 0.846896	valid_1's auc: 0.846339
[24]	training's auc: 0.847451	valid_1's auc: 0.846828
[25]	training's auc: 0.847914	valid_1's auc: 0.847232
[26]	training's auc: 0.848376	valid_1's auc: 0.847609
[27]	training's auc: 0.84861	valid_1's auc: 0.847807
[28]	training's auc: 0.848966	valid_1's auc: 0.8481
[29]	training's auc: 0.8495	valid_1's auc: 0.848533
[30]	training's auc: 0.849927	valid_1's auc: 0.848876
[31]	training's auc: 0.850252	valid_1's auc: 0.849097
[32]	training's auc: 0.850622	valid_1's auc: 0.849373
[33]	training's auc: 0.85092	valid_1's auc: 0.849602
[34]	training's auc: 0.851373	valid_1's auc: 0.849892
[35]	training's auc: 0.851803	valid_1's auc: 0.85019
[36]	training's auc: 0.851986	valid_1's auc: 0.850321
[37]	training's auc: 0.852212	valid_1's auc: 0.850468
[38]	training's auc: 0.852565	valid_1's auc: 0.850703
[39]	training's auc: 0.852825	valid_1's auc: 0.850854
[40]	training's auc: 0.85308	valid_1's auc: 0.851066
[41]	training's auc: 0.853334	valid_1's auc: 0.851206
[42]	training's auc: 0.853595	valid_1's auc: 0.851415
[43]	training's auc: 0.853906	valid_1's auc: 0.851618
[44]	training's auc: 0.85411	valid_1's auc: 0.851829
[45]	training's auc: 0.854307	valid_1's auc: 0.851927
[46]	training's auc: 0.854613	valid_1's auc: 0.852146
[47]	training's auc: 0.854833	valid_1's auc: 0.852259
[48]	training's auc: 0.854926	valid_1's auc: 0.852349
[49]	training's auc: 0.855042	valid_1's auc: 0.85241
[50]	training's auc: 0.855361	valid_1's auc: 0.852651
[51]	training's auc: 0.855685	valid_1's auc: 0.852848
[52]	training's auc: 0.855879	valid_1's auc: 0.852961
[53]	training's auc: 0.856072	valid_1's auc: 0.853102
[54]	training's auc: 0.856308	valid_1's auc: 0.853244
[55]	training's auc: 0.856507	valid_1's auc: 0.853429
[56]	training's auc: 0.856662	valid_1's auc: 0.853471
[57]	training's auc: 0.856718	valid_1's auc: 0.853524
[58]	training's auc: 0.856855	valid_1's auc: 0.853614
[59]	training's auc: 0.857018	valid_1's auc: 0.853755
[60]	training's auc: 0.857219	valid_1's auc: 0.853837
[61]	training's auc: 0.857433	valid_1's auc: 0.853958
[62]	training's auc: 0.857617	valid_1's auc: 0.854048
[63]	training's auc: 0.857868	valid_1's auc: 0.85418
[64]	training's auc: 0.858053	valid_1's auc: 0.854262
[65]	training's auc: 0.858174	valid_1's auc: 0.854301
[66]	training's auc: 0.858344	valid_1's auc: 0.854418
[67]	training's auc: 0.858478	valid_1's auc: 0.854454
[68]	training's auc: 0.858575	valid_1's auc: 0.854506
[69]	training's auc: 0.858741	valid_1's auc: 0.854561
[70]	training's auc: 0.858945	valid_1's auc: 0.854655
[71]	training's auc: 0.859151	valid_1's auc: 0.854795
[72]	training's auc: 0.859364	valid_1's auc: 0.855002
[73]	training's auc: 0.859446	valid_1's auc: 0.85506
[74]	training's auc: 0.859542	valid_1's auc: 0.855062
[75]	training's auc: 0.859674	valid_1's auc: 0.855089
[76]	training's auc: 0.859838	valid_1's auc: 0.855189
[77]	training's auc: 0.859936	valid_1's auc: 0.855239
[78]	training's auc: 0.860112	valid_1's auc: 0.855365
[79]	training's auc: 0.86026	valid_1's auc: 0.855425
[80]	training's auc: 0.860398	valid_1's auc: 0.855524
[81]	training's auc: 0.860538	valid_1's auc: 0.855614
[82]	training's auc: 0.860732	valid_1's auc: 0.8557
[83]	training's auc: 0.860926	valid_1's auc: 0.855777
[84]	training's auc: 0.861014	valid_1's auc: 0.855812
[85]	training's auc: 0.861148	valid_1's auc: 0.855869
[86]	training's auc: 0.86126	valid_1's auc: 0.8559
[87]	training's auc: 0.861425	valid_1's auc: 0.855992
[88]	training's auc: 0.861588	valid_1's auc: 0.856053
[89]	training's auc: 0.861701	valid_1's auc: 0.856107
[90]	training's auc: 0.861813	valid_1's auc: 0.856087
[91]	training's auc: 0.861895	valid_1's auc: 0.856135
[92]	training's auc: 0.861986	valid_1's auc: 0.85621
[93]	training's auc: 0.862047	valid_1's auc: 0.856253
[94]	training's auc: 0.862172	valid_1's auc: 0.856264
[95]	training's auc: 0.86229	valid_1's auc: 0.856324
[96]	training's auc: 0.86239	valid_1's auc: 0.856329
[97]	training's auc: 0.862561	valid_1's auc: 0.856439
[98]	training's auc: 0.862665	valid_1's auc: 0.856483
[99]	training's auc: 0.862769	valid_1's auc: 0.856512
[100]	training's auc: 0.862861	valid_1's auc: 0.856537
[101]	training's auc: 0.862963	valid_1's auc: 0.856649
[102]	training's auc: 0.863033	valid_1's auc: 0.856663
[103]	training's auc: 0.863138	valid_1's auc: 0.856659
[104]	training's auc: 0.863284	valid_1's auc: 0.85676
[105]	training's auc: 0.863351	valid_1's auc: 0.856786
[106]	training's auc: 0.863434	valid_1's auc: 0.856827
[107]	training's auc: 0.863519	valid_1's auc: 0.856846
[108]	training's auc: 0.863628	valid_1's auc: 0.856896
[109]	training's auc: 0.863704	valid_1's auc: 0.856888
[110]	training's auc: 0.863746	valid_1's auc: 0.856894
[111]	training's auc: 0.863819	valid_1's auc: 0.856955
[112]	training's auc: 0.863923	valid_1's auc: 0.856988
[113]	training's auc: 0.864113	valid_1's auc: 0.857101
[114]	training's auc: 0.864221	valid_1's auc: 0.857165
[115]	training's auc: 0.864307	valid_1's auc: 0.857187
[116]	training's auc: 0.864438	valid_1's auc: 0.857291
[117]	training's auc: 0.864492	valid_1's auc: 0.857279
[118]	training's auc: 0.864548	valid_1's auc: 0.857258
[119]	training's auc: 0.864605	valid_1's auc: 0.857276
[120]	training's auc: 0.864639	valid_1's auc: 0.857314
[121]	training's auc: 0.864709	valid_1's auc: 0.857324
[122]	training's auc: 0.864757	valid_1's auc: 0.857332
[123]	training's auc: 0.864799	valid_1's auc: 0.857371
[124]	training's auc: 0.864855	valid_1's auc: 0.8574
[125]	training's auc: 0.864911	valid_1's auc: 0.857387
[126]	training's auc: 0.864963	valid_1's auc: 0.857385
[127]	training's auc: 0.865078	valid_1's auc: 0.857414
[128]	training's auc: 0.86513	valid_1's auc: 0.857418
[129]	training's auc: 0.865181	valid_1's auc: 0.857443
[130]	training's auc: 0.865248	valid_1's auc: 0.857451
[131]	training's auc: 0.865343	valid_1's auc: 0.857488
[132]	training's auc: 0.865397	valid_1's auc: 0.85748
[133]	training's auc: 0.86553	valid_1's auc: 0.857516
[134]	training's auc: 0.865605	valid_1's auc: 0.85755
[135]	training's auc: 0.865723	valid_1's auc: 0.857568
[136]	training's auc: 0.865762	valid_1's auc: 0.857558
[137]	training's auc: 0.865812	valid_1's auc: 0.857534
[138]	training's auc: 0.865885	valid_1's auc: 0.857534
[139]	training's auc: 0.866047	valid_1's auc: 0.857627
[140]	training's auc: 0.866231	valid_1's auc: 0.857688
[141]	training's auc: 0.866264	valid_1's auc: 0.857661
[142]	training's auc: 0.866365	valid_1's auc: 0.857726
[143]	training's auc: 0.866457	valid_1's auc: 0.857723
[144]	training's auc: 0.866512	valid_1's auc: 0.857781
[145]	training's auc: 0.86659	valid_1's auc: 0.857812
[146]	training's auc: 0.866657	valid_1's auc: 0.857819
[147]	training's auc: 0.866707	valid_1's auc: 0.857814
[148]	training's auc: 0.866847	valid_1's auc: 0.857908
[149]	training's auc: 0.866949	valid_1's auc: 0.857927
[150]	training's auc: 0.86698	valid_1's auc: 0.857954
[151]	training's auc: 0.867055	valid_1's auc: 0.857992
[152]	training's auc: 0.867103	valid_1's auc: 0.858009
[153]	training's auc: 0.867199	valid_1's auc: 0.858036
[154]	training's auc: 0.867247	valid_1's auc: 0.858019
[155]	training's auc: 0.867294	valid_1's auc: 0.858034
[156]	training's auc: 0.867343	valid_1's auc: 0.858051
[157]	training's auc: 0.867396	valid_1's auc: 0.858073
[158]	training's auc: 0.867464	valid_1's auc: 0.858097
[159]	training's auc: 0.867503	valid_1's auc: 0.85815
[160]	training's auc: 0.867549	valid_1's auc: 0.858149
[161]	training's auc: 0.867619	valid_1's auc: 0.85817
[162]	training's auc: 0.86767	valid_1's auc: 0.858181
[163]	training's auc: 0.867769	valid_1's auc: 0.85818
[164]	training's auc: 0.867922	valid_1's auc: 0.858251
[165]	training's auc: 0.868047	valid_1's auc: 0.858249
[166]	training's auc: 0.868095	valid_1's auc: 0.858223
[167]	training's auc: 0.868109	valid_1's auc: 0.858228
[168]	training's auc: 0.868135	valid_1's auc: 0.858249
[169]	training's auc: 0.868188	valid_1's auc: 0.85828
[170]	training's auc: 0.868247	valid_1's auc: 0.858332
[171]	training's auc: 0.868292	valid_1's auc: 0.85833
[172]	training's auc: 0.868394	valid_1's auc: 0.858321
[173]	training's auc: 0.868477	valid_1's auc: 0.858344
[174]	training's auc: 0.868519	valid_1's auc: 0.858345
[175]	training's auc: 0.868664	valid_1's auc: 0.858398
[176]	training's auc: 0.868799	valid_1's auc: 0.858473
[177]	training's auc: 0.868867	valid_1's auc: 0.858491
[178]	training's auc: 0.868889	valid_1's auc: 0.858498
[179]	training's auc: 0.868971	valid_1's auc: 0.858524
[180]	training's auc: 0.869087	valid_1's auc: 0.85856
[181]	training's auc: 0.869134	valid_1's auc: 0.858564
[182]	training's auc: 0.869189	valid_1's auc: 0.858584
[183]	training's auc: 0.86921	valid_1's auc: 0.858607
[184]	training's auc: 0.869227	valid_1's auc: 0.8586
[185]	training's auc: 0.869269	valid_1's auc: 0.858637
[186]	training's auc: 0.869329	valid_1's auc: 0.858647
[187]	training's auc: 0.869366	valid_1's auc: 0.858656
