[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.81589	valid_1's auc: 0.81716
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.820385	valid_1's auc: 0.821131
[3]	training's auc: 0.827008	valid_1's auc: 0.827433
[4]	training's auc: 0.826476	valid_1's auc: 0.826837
[5]	training's auc: 0.831767	valid_1's auc: 0.83272
[6]	training's auc: 0.833898	valid_1's auc: 0.834642
[7]	training's auc: 0.835488	valid_1's auc: 0.836315
[8]	training's auc: 0.836109	valid_1's auc: 0.83653
[9]	training's auc: 0.836299	valid_1's auc: 0.836784
[10]	training's auc: 0.837313	valid_1's auc: 0.83779
[11]	training's auc: 0.838094	valid_1's auc: 0.838697
[12]	training's auc: 0.838403	valid_1's auc: 0.838874
[13]	training's auc: 0.840149	valid_1's auc: 0.84068
[14]	training's auc: 0.840555	valid_1's auc: 0.841014
[15]	training's auc: 0.841605	valid_1's auc: 0.842192
[16]	training's auc: 0.842921	valid_1's auc: 0.843515
[17]	training's auc: 0.843596	valid_1's auc: 0.844202
[18]	training's auc: 0.844418	valid_1's auc: 0.844799
[19]	training's auc: 0.845061	valid_1's auc: 0.845319
[20]	training's auc: 0.845858	valid_1's auc: 0.846115
[21]	training's auc: 0.846517	valid_1's auc: 0.84659
[22]	training's auc: 0.847143	valid_1's auc: 0.847134
[23]	training's auc: 0.847499	valid_1's auc: 0.847562
[24]	training's auc: 0.848023	valid_1's auc: 0.847983
[25]	training's auc: 0.848626	valid_1's auc: 0.848472
[26]	training's auc: 0.849136	valid_1's auc: 0.848895
[27]	training's auc: 0.849447	valid_1's auc: 0.849272
[28]	training's auc: 0.849836	valid_1's auc: 0.849607
[29]	training's auc: 0.850448	valid_1's auc: 0.850108
[30]	training's auc: 0.850839	valid_1's auc: 0.850461
[31]	training's auc: 0.851147	valid_1's auc: 0.850691
[32]	training's auc: 0.851611	valid_1's auc: 0.851197
[33]	training's auc: 0.851922	valid_1's auc: 0.851474
[34]	training's auc: 0.852434	valid_1's auc: 0.851891
[35]	training's auc: 0.852939	valid_1's auc: 0.852158
[36]	training's auc: 0.853183	valid_1's auc: 0.852362
[37]	training's auc: 0.853454	valid_1's auc: 0.852513
[38]	training's auc: 0.853871	valid_1's auc: 0.852808
[39]	training's auc: 0.854137	valid_1's auc: 0.852947
[40]	training's auc: 0.854402	valid_1's auc: 0.853153
[41]	training's auc: 0.8547	valid_1's auc: 0.853359
[42]	training's auc: 0.855034	valid_1's auc: 0.853563
[43]	training's auc: 0.855468	valid_1's auc: 0.853839
[44]	training's auc: 0.85569	valid_1's auc: 0.854104
[45]	training's auc: 0.855875	valid_1's auc: 0.85422
[46]	training's auc: 0.856177	valid_1's auc: 0.854422
[47]	training's auc: 0.856376	valid_1's auc: 0.854527
[48]	training's auc: 0.856477	valid_1's auc: 0.854643
[49]	training's auc: 0.856642	valid_1's auc: 0.854733
[50]	training's auc: 0.85687	valid_1's auc: 0.854881
[51]	training's auc: 0.857195	valid_1's auc: 0.855066
[52]	training's auc: 0.857408	valid_1's auc: 0.855144
[53]	training's auc: 0.857652	valid_1's auc: 0.855294
[54]	training's auc: 0.857862	valid_1's auc: 0.855367
[55]	training's auc: 0.858101	valid_1's auc: 0.85557
[56]	training's auc: 0.858289	valid_1's auc: 0.855609
[57]	training's auc: 0.858339	valid_1's auc: 0.855686
[58]	training's auc: 0.858504	valid_1's auc: 0.855765
[59]	training's auc: 0.858669	valid_1's auc: 0.855813
[60]	training's auc: 0.858988	valid_1's auc: 0.856081
[61]	training's auc: 0.859167	valid_1's auc: 0.856191
[62]	training's auc: 0.859263	valid_1's auc: 0.856238
[63]	training's auc: 0.859534	valid_1's auc: 0.856329
[64]	training's auc: 0.859741	valid_1's auc: 0.856419
[65]	training's auc: 0.859906	valid_1's auc: 0.856553
[66]	training's auc: 0.86002	valid_1's auc: 0.856648
[67]	training's auc: 0.860164	valid_1's auc: 0.856728
[68]	training's auc: 0.860318	valid_1's auc: 0.856799
[69]	training's auc: 0.860481	valid_1's auc: 0.856845
[70]	training's auc: 0.860707	valid_1's auc: 0.856973
[71]	training's auc: 0.86096	valid_1's auc: 0.857151
[72]	training's auc: 0.861178	valid_1's auc: 0.857307
[73]	training's auc: 0.861315	valid_1's auc: 0.857333
[74]	training's auc: 0.861474	valid_1's auc: 0.857396
[75]	training's auc: 0.861584	valid_1's auc: 0.85741
[76]	training's auc: 0.86177	valid_1's auc: 0.857526
[77]	training's auc: 0.861859	valid_1's auc: 0.857548
[78]	training's auc: 0.861995	valid_1's auc: 0.857659
[79]	training's auc: 0.862218	valid_1's auc: 0.857776
[80]	training's auc: 0.862406	valid_1's auc: 0.857818
[81]	training's auc: 0.862511	valid_1's auc: 0.857848
[82]	training's auc: 0.862611	valid_1's auc: 0.857963
[83]	training's auc: 0.862878	valid_1's auc: 0.858128
[84]	training's auc: 0.863003	valid_1's auc: 0.858143
[85]	training's auc: 0.863115	valid_1's auc: 0.858185
[86]	training's auc: 0.863196	valid_1's auc: 0.858246
[87]	training's auc: 0.863318	valid_1's auc: 0.858287
[88]	training's auc: 0.863474	valid_1's auc: 0.858362
[89]	training's auc: 0.863543	valid_1's auc: 0.858421
[90]	training's auc: 0.863755	valid_1's auc: 0.858535
[91]	training's auc: 0.863906	valid_1's auc: 0.858595
[92]	training's auc: 0.864027	valid_1's auc: 0.858671
[93]	training's auc: 0.864182	valid_1's auc: 0.858763
[94]	training's auc: 0.86434	valid_1's auc: 0.85881
[95]	training's auc: 0.864461	valid_1's auc: 0.858846
[96]	training's auc: 0.864547	valid_1's auc: 0.858868
[97]	training's auc: 0.864655	valid_1's auc: 0.858909
[98]	training's auc: 0.864713	valid_1's auc: 0.858942
[99]	training's auc: 0.86483	valid_1's auc: 0.858939
[100]	training's auc: 0.864878	valid_1's auc: 0.858981
[101]	training's auc: 0.864962	valid_1's auc: 0.859092
[102]	training's auc: 0.86507	valid_1's auc: 0.85912
[103]	training's auc: 0.865128	valid_1's auc: 0.859149
[104]	training's auc: 0.865348	valid_1's auc: 0.859269
[105]	training's auc: 0.865543	valid_1's auc: 0.859392
[106]	training's auc: 0.865616	valid_1's auc: 0.859401
[107]	training's auc: 0.865701	valid_1's auc: 0.859427
[108]	training's auc: 0.865842	valid_1's auc: 0.859442
[109]	training's auc: 0.865978	valid_1's auc: 0.859461
[110]	training's auc: 0.866033	valid_1's auc: 0.859431
[111]	training's auc: 0.866123	valid_1's auc: 0.859434
[112]	training's auc: 0.866256	valid_1's auc: 0.859492
[113]	training's auc: 0.866331	valid_1's auc: 0.859476
[114]	training's auc: 0.866458	valid_1's auc: 0.859556
[115]	training's auc: 0.866501	valid_1's auc: 0.859603
[116]	training's auc: 0.866598	valid_1's auc: 0.859645
[117]	training's auc: 0.866781	valid_1's auc: 0.859715
[118]	training's auc: 0.866899	valid_1's auc: 0.859776
[119]	training's auc: 0.866978	valid_1's auc: 0.859777
[120]	training's auc: 0.867015	valid_1's auc: 0.859809
[121]	training's auc: 0.867107	valid_1's auc: 0.859833
[122]	training's auc: 0.867208	valid_1's auc: 0.859833
[123]	training's auc: 0.867237	valid_1's auc: 0.85986
[124]	training's auc: 0.86729	valid_1's auc: 0.85987
[125]	training's auc: 0.867356	valid_1's auc: 0.859847
[126]	training's auc: 0.867433	valid_1's auc: 0.859866
[127]	training's auc: 0.86755	valid_1's auc: 0.859893
[128]	training's auc: 0.867621	valid_1's auc: 0.859894
[129]	training's auc: 0.867687	valid_1's auc: 0.85991
[130]	training's auc: 0.867823	valid_1's auc: 0.859905
[131]	training's auc: 0.867896	valid_1's auc: 0.859947
[132]	training's auc: 0.867953	valid_1's auc: 0.859925
[133]	training's auc: 0.86802	valid_1's auc: 0.859925
[134]	training's auc: 0.868071	valid_1's auc: 0.859903
[135]	training's auc: 0.868209	valid_1's auc: 0.85997
[136]	training's auc: 0.868241	valid_1's auc: 0.859972
[137]	training's auc: 0.868387	valid_1's auc: 0.860014
