[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.818627	valid_1's auc: 0.815066
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.823007	valid_1's auc: 0.819001
[3]	training's auc: 0.828224	valid_1's auc: 0.824191
[4]	training's auc: 0.82715	valid_1's auc: 0.823033
[5]	training's auc: 0.830026	valid_1's auc: 0.826195
[6]	training's auc: 0.832096	valid_1's auc: 0.828528
[7]	training's auc: 0.832435	valid_1's auc: 0.828941
[8]	training's auc: 0.831862	valid_1's auc: 0.828164
[9]	training's auc: 0.831196	valid_1's auc: 0.827441
[10]	training's auc: 0.832393	valid_1's auc: 0.828764
[11]	training's auc: 0.832898	valid_1's auc: 0.829234
[12]	training's auc: 0.832243	valid_1's auc: 0.828425
[13]	training's auc: 0.833195	valid_1's auc: 0.829552
[14]	training's auc: 0.83271	valid_1's auc: 0.828896
[15]	training's auc: 0.833316	valid_1's auc: 0.829524
[16]	training's auc: 0.833461	valid_1's auc: 0.829728
[17]	training's auc: 0.834047	valid_1's auc: 0.830305
[18]	training's auc: 0.834138	valid_1's auc: 0.830287
[19]	training's auc: 0.834455	valid_1's auc: 0.830661
[20]	training's auc: 0.83523	valid_1's auc: 0.831402
[21]	training's auc: 0.834893	valid_1's auc: 0.830983
[22]	training's auc: 0.835324	valid_1's auc: 0.831427
[23]	training's auc: 0.835662	valid_1's auc: 0.831824
[24]	training's auc: 0.83625	valid_1's auc: 0.832444
[25]	training's auc: 0.836166	valid_1's auc: 0.832252
[26]	training's auc: 0.836771	valid_1's auc: 0.832914
[27]	training's auc: 0.83699	valid_1's auc: 0.833138
[28]	training's auc: 0.837183	valid_1's auc: 0.833332
[29]	training's auc: 0.837056	valid_1's auc: 0.833199
[30]	training's auc: 0.837329	valid_1's auc: 0.833519
[31]	training's auc: 0.837488	valid_1's auc: 0.833689
[32]	training's auc: 0.837896	valid_1's auc: 0.834148
[33]	training's auc: 0.837979	valid_1's auc: 0.834231
[34]	training's auc: 0.837925	valid_1's auc: 0.834117
[35]	training's auc: 0.838234	valid_1's auc: 0.834485
[36]	training's auc: 0.838323	valid_1's auc: 0.834559
[37]	training's auc: 0.838189	valid_1's auc: 0.834349
[38]	training's auc: 0.838551	valid_1's auc: 0.834719
[39]	training's auc: 0.83864	valid_1's auc: 0.834767
[40]	training's auc: 0.838852	valid_1's auc: 0.834999
[41]	training's auc: 0.838919	valid_1's auc: 0.835075
[42]	training's auc: 0.839192	valid_1's auc: 0.835341
[43]	training's auc: 0.839277	valid_1's auc: 0.835387
[44]	training's auc: 0.839496	valid_1's auc: 0.835654
[45]	training's auc: 0.839669	valid_1's auc: 0.835825
[46]	training's auc: 0.839738	valid_1's auc: 0.835898
[47]	training's auc: 0.839879	valid_1's auc: 0.836059
[48]	training's auc: 0.840102	valid_1's auc: 0.83632
[49]	training's auc: 0.840264	valid_1's auc: 0.836483
[50]	training's auc: 0.840565	valid_1's auc: 0.836766
[51]	training's auc: 0.840837	valid_1's auc: 0.837055
[52]	training's auc: 0.840952	valid_1's auc: 0.837155
[53]	training's auc: 0.841003	valid_1's auc: 0.837166
[54]	training's auc: 0.841167	valid_1's auc: 0.837334
[55]	training's auc: 0.841293	valid_1's auc: 0.837479
[56]	training's auc: 0.841412	valid_1's auc: 0.837609
[57]	training's auc: 0.841572	valid_1's auc: 0.837772
[58]	training's auc: 0.841612	valid_1's auc: 0.837802
[59]	training's auc: 0.841714	valid_1's auc: 0.837891
[60]	training's auc: 0.841869	valid_1's auc: 0.83806
[61]	training's auc: 0.841953	valid_1's auc: 0.838137
[62]	training's auc: 0.842008	valid_1's auc: 0.838168
[63]	training's auc: 0.842291	valid_1's auc: 0.838474
[64]	training's auc: 0.842351	valid_1's auc: 0.838538
[65]	training's auc: 0.842526	valid_1's auc: 0.838741
[66]	training's auc: 0.842669	valid_1's auc: 0.838885
[67]	training's auc: 0.842839	valid_1's auc: 0.839037
[68]	training's auc: 0.842997	valid_1's auc: 0.839207
[69]	training's auc: 0.843117	valid_1's auc: 0.83932
[70]	training's auc: 0.843142	valid_1's auc: 0.839315
[71]	training's auc: 0.843377	valid_1's auc: 0.839547
[72]	training's auc: 0.843548	valid_1's auc: 0.839742
[73]	training's auc: 0.843546	valid_1's auc: 0.839706
[74]	training's auc: 0.843634	valid_1's auc: 0.839794
[75]	training's auc: 0.843709	valid_1's auc: 0.839849
[76]	training's auc: 0.843866	valid_1's auc: 0.840031
[77]	training's auc: 0.843958	valid_1's auc: 0.840124
[78]	training's auc: 0.84405	valid_1's auc: 0.840227
[79]	training's auc: 0.844215	valid_1's auc: 0.840396
[80]	training's auc: 0.84434	valid_1's auc: 0.840516
[81]	training's auc: 0.844455	valid_1's auc: 0.840631
[82]	training's auc: 0.844614	valid_1's auc: 0.840803
[83]	training's auc: 0.844699	valid_1's auc: 0.84086
[84]	training's auc: 0.844848	valid_1's auc: 0.841033
[85]	training's auc: 0.844877	valid_1's auc: 0.841037
[86]	training's auc: 0.844983	valid_1's auc: 0.84116
[87]	training's auc: 0.845021	valid_1's auc: 0.841183
[88]	training's auc: 0.845071	valid_1's auc: 0.841208
[89]	training's auc: 0.845134	valid_1's auc: 0.841275
[90]	training's auc: 0.845179	valid_1's auc: 0.841284
[91]	training's auc: 0.845272	valid_1's auc: 0.841365
[92]	training's auc: 0.84534	valid_1's auc: 0.841427
[93]	training's auc: 0.845491	valid_1's auc: 0.841568
[94]	training's auc: 0.845571	valid_1's auc: 0.841645
[95]	training's auc: 0.845712	valid_1's auc: 0.841768
[96]	training's auc: 0.84577	valid_1's auc: 0.841805
[97]	training's auc: 0.84596	valid_1's auc: 0.842006
[98]	training's auc: 0.846088	valid_1's auc: 0.842143
[99]	training's auc: 0.846143	valid_1's auc: 0.842187
[100]	training's auc: 0.846242	valid_1's auc: 0.842315
[101]	training's auc: 0.846334	valid_1's auc: 0.842418
[102]	training's auc: 0.846458	valid_1's auc: 0.842537
[103]	training's auc: 0.846625	valid_1's auc: 0.842715
[104]	training's auc: 0.846739	valid_1's auc: 0.842825
[105]	training's auc: 0.846851	valid_1's auc: 0.842889
[106]	training's auc: 0.846916	valid_1's auc: 0.842943
[107]	training's auc: 0.846967	valid_1's auc: 0.842979
[108]	training's auc: 0.847049	valid_1's auc: 0.84304
[109]	training's auc: 0.847136	valid_1's auc: 0.843131
[110]	training's auc: 0.847212	valid_1's auc: 0.843172
[111]	training's auc: 0.847363	valid_1's auc: 0.843319
[112]	training's auc: 0.847414	valid_1's auc: 0.843356
[113]	training's auc: 0.84749	valid_1's auc: 0.843423
[114]	training's auc: 0.847561	valid_1's auc: 0.843485
[115]	training's auc: 0.847618	valid_1's auc: 0.843559
[116]	training's auc: 0.847713	valid_1's auc: 0.84364
[117]	training's auc: 0.847827	valid_1's auc: 0.843735
[118]	training's auc: 0.84798	valid_1's auc: 0.843872
[119]	training's auc: 0.84815	valid_1's auc: 0.844036
[120]	training's auc: 0.848229	valid_1's auc: 0.844131
[121]	training's auc: 0.8483	valid_1's auc: 0.844196
[122]	training's auc: 0.848378	valid_1's auc: 0.844268
[123]	training's auc: 0.848443	valid_1's auc: 0.844341
[124]	training's auc: 0.848554	valid_1's auc: 0.844437
[125]	training's auc: 0.848676	valid_1's auc: 0.844534
[126]	training's auc: 0.848715	valid_1's auc: 0.84456
[127]	training's auc: 0.848802	valid_1's auc: 0.844633
[128]	training's auc: 0.848867	valid_1's auc: 0.844685
[129]	training's auc: 0.848988	valid_1's auc: 0.844794
[130]	training's auc: 0.849114	valid_1's auc: 0.844905
[131]	training's auc: 0.849221	valid_1's auc: 0.844994
[132]	training's auc: 0.849344	valid_1's auc: 0.845097
[133]	training's auc: 0.849427	valid_1's auc: 0.845154
[134]	training's auc: 0.849512	valid_1's auc: 0.845243
[135]	training's auc: 0.849617	valid_1's auc: 0.845351
[136]	training's auc: 0.849741	valid_1's auc: 0.845456
[137]	training's auc: 0.849883	valid_1's auc: 0.845581
[138]	training's auc: 0.849951	valid_1's auc: 0.845622
[139]	training's auc: 0.850061	valid_1's auc: 0.845731
[140]	training's auc: 0.850164	valid_1's auc: 0.845836
[141]	training's auc: 0.850235	valid_1's auc: 0.845882
[142]	training's auc: 0.850312	valid_1's auc: 0.845966
[143]	training's auc: 0.85037	valid_1's auc: 0.846015
[144]	training's auc: 0.85041	valid_1's auc: 0.846063
[145]	training's auc: 0.850491	valid_1's auc: 0.846155
[146]	training's auc: 0.850561	valid_1's auc: 0.84621
[147]	training's auc: 0.850655	valid_1's auc: 0.846298
[148]	training's auc: 0.850755	valid_1's auc: 0.846402
[149]	training's auc: 0.850855	valid_1's auc: 0.846486
[150]	training's auc: 0.850922	valid_1's auc: 0.846543
[151]	training's auc: 0.850981	valid_1's auc: 0.846588
[152]	training's auc: 0.851088	valid_1's auc: 0.846662
[153]	training's auc: 0.851141	valid_1's auc: 0.846714
[154]	training's auc: 0.851214	valid_1's auc: 0.84677
[155]	training's auc: 0.851299	valid_1's auc: 0.84683
[156]	training's auc: 0.851357	valid_1's auc: 0.846878
[157]	training's auc: 0.85143	valid_1's auc: 0.846944
[158]	training's auc: 0.851523	valid_1's auc: 0.847031
