[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.822214	valid_1's auc: 0.82107
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.826624	valid_1's auc: 0.825043
[3]	training's auc: 0.832349	valid_1's auc: 0.830946
[4]	training's auc: 0.834273	valid_1's auc: 0.832796
[5]	training's auc: 0.835506	valid_1's auc: 0.834215
[6]	training's auc: 0.837175	valid_1's auc: 0.835628
[7]	training's auc: 0.837591	valid_1's auc: 0.836087
[8]	training's auc: 0.838607	valid_1's auc: 0.836856
[9]	training's auc: 0.838646	valid_1's auc: 0.836947
[10]	training's auc: 0.839325	valid_1's auc: 0.837553
[11]	training's auc: 0.839749	valid_1's auc: 0.838012
[12]	training's auc: 0.840252	valid_1's auc: 0.838379
[13]	training's auc: 0.841639	valid_1's auc: 0.83969
[14]	training's auc: 0.841885	valid_1's auc: 0.839864
[15]	training's auc: 0.842554	valid_1's auc: 0.84048
[16]	training's auc: 0.84316	valid_1's auc: 0.840984
[17]	training's auc: 0.84366	valid_1's auc: 0.841505
[18]	training's auc: 0.84412	valid_1's auc: 0.841869
[19]	training's auc: 0.844722	valid_1's auc: 0.842417
[20]	training's auc: 0.845385	valid_1's auc: 0.843068
[21]	training's auc: 0.845744	valid_1's auc: 0.843254
[22]	training's auc: 0.846292	valid_1's auc: 0.843742
[23]	training's auc: 0.846694	valid_1's auc: 0.844203
[24]	training's auc: 0.847325	valid_1's auc: 0.84474
[25]	training's auc: 0.847718	valid_1's auc: 0.845062
[26]	training's auc: 0.848252	valid_1's auc: 0.845438
[27]	training's auc: 0.848365	valid_1's auc: 0.845571
[28]	training's auc: 0.848661	valid_1's auc: 0.845806
[29]	training's auc: 0.849132	valid_1's auc: 0.846179
[30]	training's auc: 0.849651	valid_1's auc: 0.846606
[31]	training's auc: 0.84983	valid_1's auc: 0.846777
[32]	training's auc: 0.850231	valid_1's auc: 0.847158
[33]	training's auc: 0.850485	valid_1's auc: 0.847364
[34]	training's auc: 0.850922	valid_1's auc: 0.847645
[35]	training's auc: 0.851333	valid_1's auc: 0.847997
[36]	training's auc: 0.851568	valid_1's auc: 0.848188
[37]	training's auc: 0.851831	valid_1's auc: 0.848353
[38]	training's auc: 0.852279	valid_1's auc: 0.848703
[39]	training's auc: 0.852493	valid_1's auc: 0.848866
[40]	training's auc: 0.852778	valid_1's auc: 0.849063
[41]	training's auc: 0.85304	valid_1's auc: 0.849229
[42]	training's auc: 0.853413	valid_1's auc: 0.849463
[43]	training's auc: 0.853797	valid_1's auc: 0.849721
[44]	training's auc: 0.854031	valid_1's auc: 0.849958
[45]	training's auc: 0.854266	valid_1's auc: 0.850139
[46]	training's auc: 0.854526	valid_1's auc: 0.850299
[47]	training's auc: 0.854844	valid_1's auc: 0.850501
[48]	training's auc: 0.854982	valid_1's auc: 0.850644
[49]	training's auc: 0.855154	valid_1's auc: 0.850757
[50]	training's auc: 0.855592	valid_1's auc: 0.851069
[51]	training's auc: 0.855968	valid_1's auc: 0.851353
[52]	training's auc: 0.856253	valid_1's auc: 0.851483
[53]	training's auc: 0.856523	valid_1's auc: 0.851662
[54]	training's auc: 0.856893	valid_1's auc: 0.851915
[55]	training's auc: 0.857081	valid_1's auc: 0.852142
[56]	training's auc: 0.85723	valid_1's auc: 0.852202
[57]	training's auc: 0.857312	valid_1's auc: 0.852295
[58]	training's auc: 0.857485	valid_1's auc: 0.852397
[59]	training's auc: 0.857746	valid_1's auc: 0.852562
[60]	training's auc: 0.85804	valid_1's auc: 0.852737
[61]	training's auc: 0.858285	valid_1's auc: 0.852901
[62]	training's auc: 0.85854	valid_1's auc: 0.853043
[63]	training's auc: 0.858837	valid_1's auc: 0.853221
[64]	training's auc: 0.859112	valid_1's auc: 0.85338
[65]	training's auc: 0.85928	valid_1's auc: 0.853486
[66]	training's auc: 0.859423	valid_1's auc: 0.853578
[67]	training's auc: 0.859708	valid_1's auc: 0.853764
[68]	training's auc: 0.859981	valid_1's auc: 0.853936
[69]	training's auc: 0.860174	valid_1's auc: 0.854004
[70]	training's auc: 0.860354	valid_1's auc: 0.8541
[71]	training's auc: 0.860599	valid_1's auc: 0.854212
[72]	training's auc: 0.860792	valid_1's auc: 0.854352
[73]	training's auc: 0.860901	valid_1's auc: 0.854429
[74]	training's auc: 0.861105	valid_1's auc: 0.854523
[75]	training's auc: 0.861297	valid_1's auc: 0.854575
[76]	training's auc: 0.861458	valid_1's auc: 0.854686
[77]	training's auc: 0.861699	valid_1's auc: 0.854819
[78]	training's auc: 0.861829	valid_1's auc: 0.85489
[79]	training's auc: 0.862069	valid_1's auc: 0.854995
[80]	training's auc: 0.862293	valid_1's auc: 0.855126
[81]	training's auc: 0.862512	valid_1's auc: 0.855244
[82]	training's auc: 0.862722	valid_1's auc: 0.855325
[83]	training's auc: 0.862924	valid_1's auc: 0.855409
[84]	training's auc: 0.863089	valid_1's auc: 0.855493
[85]	training's auc: 0.863218	valid_1's auc: 0.855555
[86]	training's auc: 0.863387	valid_1's auc: 0.855646
[87]	training's auc: 0.86352	valid_1's auc: 0.855667
[88]	training's auc: 0.863661	valid_1's auc: 0.855693
[89]	training's auc: 0.863782	valid_1's auc: 0.855788
[90]	training's auc: 0.863964	valid_1's auc: 0.855842
[91]	training's auc: 0.864145	valid_1's auc: 0.855909
[92]	training's auc: 0.864242	valid_1's auc: 0.855972
[93]	training's auc: 0.864373	valid_1's auc: 0.856017
[94]	training's auc: 0.864485	valid_1's auc: 0.856045
[95]	training's auc: 0.864684	valid_1's auc: 0.856169
[96]	training's auc: 0.864829	valid_1's auc: 0.856168
[97]	training's auc: 0.865008	valid_1's auc: 0.856231
[98]	training's auc: 0.865084	valid_1's auc: 0.856273
[99]	training's auc: 0.865179	valid_1's auc: 0.856286
[100]	training's auc: 0.865301	valid_1's auc: 0.856351
[101]	training's auc: 0.865375	valid_1's auc: 0.856445
[102]	training's auc: 0.865501	valid_1's auc: 0.85649
[103]	training's auc: 0.865672	valid_1's auc: 0.856573
[104]	training's auc: 0.865823	valid_1's auc: 0.856657
[105]	training's auc: 0.865939	valid_1's auc: 0.8567
[106]	training's auc: 0.86608	valid_1's auc: 0.856734
[107]	training's auc: 0.866209	valid_1's auc: 0.856787
[108]	training's auc: 0.866331	valid_1's auc: 0.856783
[109]	training's auc: 0.866511	valid_1's auc: 0.85686
[110]	training's auc: 0.866608	valid_1's auc: 0.856884
[111]	training's auc: 0.866765	valid_1's auc: 0.856939
[112]	training's auc: 0.866839	valid_1's auc: 0.856951
[113]	training's auc: 0.866939	valid_1's auc: 0.856978
[114]	training's auc: 0.867017	valid_1's auc: 0.857007
[115]	training's auc: 0.867063	valid_1's auc: 0.857057
[116]	training's auc: 0.867208	valid_1's auc: 0.857135
[117]	training's auc: 0.867348	valid_1's auc: 0.857176
[118]	training's auc: 0.867448	valid_1's auc: 0.857212
[119]	training's auc: 0.867612	valid_1's auc: 0.857298
[120]	training's auc: 0.867642	valid_1's auc: 0.857345
[121]	training's auc: 0.867738	valid_1's auc: 0.857382
[122]	training's auc: 0.867873	valid_1's auc: 0.8574
[123]	training's auc: 0.867921	valid_1's auc: 0.857457
[124]	training's auc: 0.867992	valid_1's auc: 0.857478
[125]	training's auc: 0.868059	valid_1's auc: 0.857494
[126]	training's auc: 0.868172	valid_1's auc: 0.85749
[127]	training's auc: 0.868274	valid_1's auc: 0.857507
[128]	training's auc: 0.868394	valid_1's auc: 0.857573
[129]	training's auc: 0.86849	valid_1's auc: 0.857603
[130]	training's auc: 0.86862	valid_1's auc: 0.857636
[131]	training's auc: 0.868706	valid_1's auc: 0.857659
[132]	training's auc: 0.868771	valid_1's auc: 0.85766
[133]	training's auc: 0.868918	valid_1's auc: 0.857724
[134]	training's auc: 0.86898	valid_1's auc: 0.857745
[135]	training's auc: 0.869132	valid_1's auc: 0.857815
[136]	training's auc: 0.86922	valid_1's auc: 0.857823
[137]	training's auc: 0.869413	valid_1's auc: 0.857904
[138]	training's auc: 0.869545	valid_1's auc: 0.857966
[139]	training's auc: 0.869668	valid_1's auc: 0.858015
[140]	training's auc: 0.869824	valid_1's auc: 0.858092
[141]	training's auc: 0.869918	valid_1's auc: 0.858129
[142]	training's auc: 0.870042	valid_1's auc: 0.858205
[143]	training's auc: 0.870144	valid_1's auc: 0.858225
[144]	training's auc: 0.8702	valid_1's auc: 0.858294
[145]	training's auc: 0.870291	valid_1's auc: 0.858358
[146]	training's auc: 0.870379	valid_1's auc: 0.858373
[147]	training's auc: 0.870447	valid_1's auc: 0.858378
[148]	training's auc: 0.87051	valid_1's auc: 0.858386
[149]	training's auc: 0.870609	valid_1's auc: 0.858425
[150]	training's auc: 0.870665	valid_1's auc: 0.858432
[151]	training's auc: 0.87075	valid_1's auc: 0.858493
[152]	training's auc: 0.870805	valid_1's auc: 0.85848
[153]	training's auc: 0.870889	valid_1's auc: 0.858519
[154]	training's auc: 0.871	valid_1's auc: 0.858526
[155]	training's auc: 0.871059	valid_1's auc: 0.858523
[156]	training's auc: 0.871118	valid_1's auc: 0.858521
[157]	training's auc: 0.871165	valid_1's auc: 0.858529
[158]	training's auc: 0.871272	valid_1's auc: 0.858566
[159]	training's auc: 0.871308	valid_1's auc: 0.858614
[160]	training's auc: 0.871379	valid_1's auc: 0.858634
[161]	training's auc: 0.871493	valid_1's auc: 0.858633
[162]	training's auc: 0.871641	valid_1's auc: 0.858714
[163]	training's auc: 0.871737	valid_1's auc: 0.858701
[164]	training's auc: 0.871834	valid_1's auc: 0.858738
[165]	training's auc: 0.871913	valid_1's auc: 0.858746
[166]	training's auc: 0.871997	valid_1's auc: 0.858755
[167]	training's auc: 0.872086	valid_1's auc: 0.858801
[168]	training's auc: 0.87219	valid_1's auc: 0.858844
[169]	training's auc: 0.872242	valid_1's auc: 0.858852
[170]	training's auc: 0.872309	valid_1's auc: 0.85889
[171]	training's auc: 0.872403	valid_1's auc: 0.858916
[172]	training's auc: 0.872491	valid_1's auc: 0.858928
[173]	training's auc: 0.872589	valid_1's auc: 0.858989
[174]	training's auc: 0.872641	valid_1's auc: 0.858985
[175]	training's auc: 0.872764	valid_1's auc: 0.85902
[176]	training's auc: 0.872855	valid_1's auc: 0.859038
[177]	training's auc: 0.872924	valid_1's auc: 0.859068
[178]	training's auc: 0.872992	valid_1's auc: 0.859082
[179]	training's auc: 0.87307	valid_1's auc: 0.859087
[180]	training's auc: 0.873136	valid_1's auc: 0.859079
[181]	training's auc: 0.873206	valid_1's auc: 0.859087
[182]	training's auc: 0.873262	valid_1's auc: 0.85911
[183]	training's auc: 0.87331	valid_1's auc: 0.859125
[184]	training's auc: 0.87333	valid_1's auc: 0.859126
[185]	training's auc: 0.873367	valid_1's auc: 0.859166
[186]	training's auc: 0.873431	valid_1's auc: 0.859181
[187]	training's auc: 0.87348	valid_1's auc: 0.859164
[188]	training's auc: 0.873631	valid_1's auc: 0.859234
[189]	training's auc: 0.873707	valid_1's auc: 0.859275
[190]	training's auc: 0.873749	valid_1's auc: 0.859271
[191]	training's auc: 0.873827	valid_1's auc: 0.859307
[192]	training's auc: 0.873895	valid_1's auc: 0.859343
[193]	training's auc: 0.874012	valid_1's auc: 0.859357
[194]	training's auc: 0.874088	valid_1's auc: 0.859377
[195]	training's auc: 0.874204	valid_1's auc: 0.859407
[196]	training's auc: 0.874283	valid_1's auc: 0.859452
[197]	training's auc: 0.874333	valid_1's auc: 0.859446
[198]	training's auc: 0.874404	valid_1's auc: 0.859447
[199]	training's auc: 0.874464	valid_1's auc: 0.859457
[200]	training's auc: 0.874521	valid_1's auc: 0.859462
[201]	training's auc: 0.874582	valid_1's auc: 0.859475
[202]	training's auc: 0.87472	valid_1's auc: 0.859524
[203]	training's auc: 0.874772	valid_1's auc: 0.859527
[204]	training's auc: 0.87489	valid_1's auc: 0.859541
[205]	training's auc: 0.874984	valid_1's auc: 0.85957
[206]	training's auc: 0.875056	valid_1's auc: 0.859602
[207]	training's auc: 0.875145	valid_1's auc: 0.859619
[208]	training's auc: 0.875161	valid_1's auc: 0.859617
[209]	training's auc: 0.875271	valid_1's auc: 0.859658
[210]	training's auc: 0.875362	valid_1's auc: 0.859689
[211]	training's auc: 0.87544	valid_1's auc: 0.859704
[212]	training's auc: 0.875521	valid_1's auc: 0.85972
[213]	training's auc: 0.875588	valid_1's auc: 0.85972
[214]	training's auc: 0.875669	valid_1's auc: 0.85974
[215]	training's auc: 0.875739	valid_1's auc: 0.859747
[216]	training's auc: 0.875792	valid_1's auc: 0.859752
[217]	training's auc: 0.875845	valid_1's auc: 0.859753
[218]	training's auc: 0.875901	valid_1's auc: 0.859752
[219]	training's auc: 0.875964	valid_1's auc: 0.859779
[220]	training's auc: 0.876017	valid_1's auc: 0.859785
[221]	training's auc: 0.876112	valid_1's auc: 0.859836
[222]	training's auc: 0.876229	valid_1's auc: 0.859861
[223]	training's auc: 0.876291	valid_1's auc: 0.859891
[224]	training's auc: 0.876354	valid_1's auc: 0.859879
[225]	training's auc: 0.876415	valid_1's auc: 0.859897
[226]	training's auc: 0.876499	valid_1's auc: 0.859887
[227]	training's auc: 0.876536	valid_1's auc: 0.859947
[228]	training's auc: 0.876599	valid_1's auc: 0.859959
[229]	training's auc: 0.876645	valid_1's auc: 0.859957
[230]	training's auc: 0.87668	valid_1's auc: 0.86
[231]	training's auc: 0.876732	valid_1's auc: 0.859988
[232]	training's auc: 0.8768	valid_1's auc: 0.85998
[233]	training's auc: 0.876881	valid_1's auc: 0.860017
[234]	training's auc: 0.876937	valid_1's auc: 0.86003
[235]	training's auc: 0.876989	valid_1's auc: 0.860033
[236]	training's auc: 0.877035	valid_1's auc: 0.860044
[237]	training's auc: 0.877057	valid_1's auc: 0.860073
[238]	training's auc: 0.877125	valid_1's auc: 0.86009
[239]	training's auc: 0.877202	valid_1's auc: 0.860102
[240]	training's auc: 0.877258	valid_1's auc: 0.860097
[241]	training's auc: 0.877276	valid_1's auc: 0.860098
[242]	training's auc: 0.877312	valid_1's auc: 0.860087
[243]	training's auc: 0.877347	valid_1's auc: 0.860078
[244]	training's auc: 0.877384	valid_1's auc: 0.860072
[245]	training's auc: 0.877438	valid_1's auc: 0.860087
[246]	training's auc: 0.877497	valid_1's auc: 0.860113
[247]	training's auc: 0.877547	valid_1's auc: 0.860132
[248]	training's auc: 0.877582	valid_1's auc: 0.860126
[249]	training's auc: 0.877671	valid_1's auc: 0.860149
[250]	training's auc: 0.877709	valid_1's auc: 0.860151
[251]	training's auc: 0.877782	valid_1's auc: 0.860145
[252]	training's auc: 0.877854	valid_1's auc: 0.860169
[253]	training's auc: 0.87791	valid_1's auc: 0.860171
[254]	training's auc: 0.877921	valid_1's auc: 0.860175
[255]	training's auc: 0.877948	valid_1's auc: 0.860204
[256]	training's auc: 0.878014	valid_1's auc: 0.86022
[257]	training's auc: 0.878072	valid_1's auc: 0.860222
[258]	training's auc: 0.878096	valid_1's auc: 0.860254
[259]	training's auc: 0.878166	valid_1's auc: 0.860282
[260]	training's auc: 0.878194	valid_1's auc: 0.860314
[261]	training's auc: 0.878237	valid_1's auc: 0.860335
[262]	training's auc: 0.878292	valid_1's auc: 0.860343
[263]	training's auc: 0.878331	valid_1's auc: 0.860334
[264]	training's auc: 0.87843	valid_1's auc: 0.860389
[265]	training's auc: 0.878473	valid_1's auc: 0.860397
[266]	training's auc: 0.878553	valid_1's auc: 0.860438
[267]	training's auc: 0.878601	valid_1's auc: 0.86043
[268]	training's auc: 0.878665	valid_1's auc: 0.860462
[269]	training's auc: 0.878715	valid_1's auc: 0.860463
