[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.819614	valid_1's auc: 0.820094
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.822417	valid_1's auc: 0.823826
[3]	training's auc: 0.827508	valid_1's auc: 0.827967
[4]	training's auc: 0.826507	valid_1's auc: 0.82682
[5]	training's auc: 0.83057	valid_1's auc: 0.831065
[6]	training's auc: 0.832853	valid_1's auc: 0.833445
[7]	training's auc: 0.834034	valid_1's auc: 0.835001
[8]	training's auc: 0.834169	valid_1's auc: 0.834875
[9]	training's auc: 0.833566	valid_1's auc: 0.834167
[10]	training's auc: 0.834574	valid_1's auc: 0.835207
[11]	training's auc: 0.834936	valid_1's auc: 0.835672
[12]	training's auc: 0.835015	valid_1's auc: 0.835558
[13]	training's auc: 0.836652	valid_1's auc: 0.837215
[14]	training's auc: 0.836539	valid_1's auc: 0.836902
[15]	training's auc: 0.837543	valid_1's auc: 0.837918
[16]	training's auc: 0.838033	valid_1's auc: 0.838301
[17]	training's auc: 0.838678	valid_1's auc: 0.838927
[18]	training's auc: 0.838985	valid_1's auc: 0.83909
[19]	training's auc: 0.839393	valid_1's auc: 0.839431
[20]	training's auc: 0.840094	valid_1's auc: 0.840178
[21]	training's auc: 0.840284	valid_1's auc: 0.840231
[22]	training's auc: 0.84088	valid_1's auc: 0.840767
[23]	training's auc: 0.841482	valid_1's auc: 0.841476
[24]	training's auc: 0.842065	valid_1's auc: 0.842039
[25]	training's auc: 0.842301	valid_1's auc: 0.842183
[26]	training's auc: 0.842979	valid_1's auc: 0.842843
[27]	training's auc: 0.843278	valid_1's auc: 0.843216
[28]	training's auc: 0.843578	valid_1's auc: 0.843566
[29]	training's auc: 0.843847	valid_1's auc: 0.843795
[30]	training's auc: 0.844385	valid_1's auc: 0.844325
[31]	training's auc: 0.844614	valid_1's auc: 0.844605
[32]	training's auc: 0.845096	valid_1's auc: 0.845084
[33]	training's auc: 0.845305	valid_1's auc: 0.84532
[34]	training's auc: 0.845633	valid_1's auc: 0.845513
[35]	training's auc: 0.845868	valid_1's auc: 0.845727
[36]	training's auc: 0.846133	valid_1's auc: 0.846039
[37]	training's auc: 0.846352	valid_1's auc: 0.846157
[38]	training's auc: 0.846758	valid_1's auc: 0.846463
[39]	training's auc: 0.846927	valid_1's auc: 0.84662
[40]	training's auc: 0.847235	valid_1's auc: 0.846916
[41]	training's auc: 0.847436	valid_1's auc: 0.84702
[42]	training's auc: 0.847732	valid_1's auc: 0.847236
[43]	training's auc: 0.848072	valid_1's auc: 0.847451
[44]	training's auc: 0.848351	valid_1's auc: 0.847746
[45]	training's auc: 0.848593	valid_1's auc: 0.84792
[46]	training's auc: 0.8488	valid_1's auc: 0.848071
[47]	training's auc: 0.849059	valid_1's auc: 0.848294
[48]	training's auc: 0.849276	valid_1's auc: 0.848529
[49]	training's auc: 0.849489	valid_1's auc: 0.848728
[50]	training's auc: 0.849845	valid_1's auc: 0.849032
[51]	training's auc: 0.850181	valid_1's auc: 0.84925
[52]	training's auc: 0.850394	valid_1's auc: 0.849375
[53]	training's auc: 0.850585	valid_1's auc: 0.849505
[54]	training's auc: 0.850958	valid_1's auc: 0.849815
[55]	training's auc: 0.851134	valid_1's auc: 0.849981
[56]	training's auc: 0.851276	valid_1's auc: 0.850099
[57]	training's auc: 0.85143	valid_1's auc: 0.850276
[58]	training's auc: 0.851569	valid_1's auc: 0.850351
[59]	training's auc: 0.851818	valid_1's auc: 0.850487
[60]	training's auc: 0.8521	valid_1's auc: 0.850734
[61]	training's auc: 0.85234	valid_1's auc: 0.85093
[62]	training's auc: 0.85259	valid_1's auc: 0.851085
[63]	training's auc: 0.852886	valid_1's auc: 0.85136
[64]	training's auc: 0.853142	valid_1's auc: 0.851559
[65]	training's auc: 0.853282	valid_1's auc: 0.851684
[66]	training's auc: 0.853432	valid_1's auc: 0.851815
[67]	training's auc: 0.853718	valid_1's auc: 0.852028
[68]	training's auc: 0.853944	valid_1's auc: 0.852199
[69]	training's auc: 0.854133	valid_1's auc: 0.852305
[70]	training's auc: 0.854296	valid_1's auc: 0.852387
[71]	training's auc: 0.854536	valid_1's auc: 0.852551
[72]	training's auc: 0.854734	valid_1's auc: 0.852734
[73]	training's auc: 0.854878	valid_1's auc: 0.852792
[74]	training's auc: 0.855058	valid_1's auc: 0.852889
[75]	training's auc: 0.85522	valid_1's auc: 0.852968
[76]	training's auc: 0.855385	valid_1's auc: 0.853126
[77]	training's auc: 0.85557	valid_1's auc: 0.853239
[78]	training's auc: 0.855676	valid_1's auc: 0.853303
[79]	training's auc: 0.855904	valid_1's auc: 0.85346
[80]	training's auc: 0.856119	valid_1's auc: 0.853618
[81]	training's auc: 0.856317	valid_1's auc: 0.853749
[82]	training's auc: 0.856509	valid_1's auc: 0.853879
[83]	training's auc: 0.856718	valid_1's auc: 0.854015
[84]	training's auc: 0.856908	valid_1's auc: 0.85413
[85]	training's auc: 0.857034	valid_1's auc: 0.85418
[86]	training's auc: 0.857258	valid_1's auc: 0.854326
[87]	training's auc: 0.857406	valid_1's auc: 0.854374
[88]	training's auc: 0.857548	valid_1's auc: 0.854437
[89]	training's auc: 0.8576	valid_1's auc: 0.854499
[90]	training's auc: 0.857757	valid_1's auc: 0.85457
[91]	training's auc: 0.857913	valid_1's auc: 0.854618
[92]	training's auc: 0.85801	valid_1's auc: 0.854677
[93]	training's auc: 0.858154	valid_1's auc: 0.854742
[94]	training's auc: 0.858269	valid_1's auc: 0.85477
[95]	training's auc: 0.85844	valid_1's auc: 0.854869
[96]	training's auc: 0.85856	valid_1's auc: 0.854882
[97]	training's auc: 0.858744	valid_1's auc: 0.854998
[98]	training's auc: 0.858819	valid_1's auc: 0.855064
[99]	training's auc: 0.858905	valid_1's auc: 0.855114
[100]	training's auc: 0.858961	valid_1's auc: 0.855188
[101]	training's auc: 0.859034	valid_1's auc: 0.855288
[102]	training's auc: 0.859169	valid_1's auc: 0.855328
[103]	training's auc: 0.859355	valid_1's auc: 0.855444
[104]	training's auc: 0.859542	valid_1's auc: 0.855565
[105]	training's auc: 0.859688	valid_1's auc: 0.855608
[106]	training's auc: 0.859863	valid_1's auc: 0.855712
[107]	training's auc: 0.859954	valid_1's auc: 0.85574
[108]	training's auc: 0.860065	valid_1's auc: 0.85577
[109]	training's auc: 0.860194	valid_1's auc: 0.855847
[110]	training's auc: 0.86031	valid_1's auc: 0.855868
[111]	training's auc: 0.860455	valid_1's auc: 0.855938
[112]	training's auc: 0.860525	valid_1's auc: 0.85597
[113]	training's auc: 0.860636	valid_1's auc: 0.856009
[114]	training's auc: 0.860703	valid_1's auc: 0.856062
[115]	training's auc: 0.860756	valid_1's auc: 0.856111
[116]	training's auc: 0.860831	valid_1's auc: 0.85616
[117]	training's auc: 0.860968	valid_1's auc: 0.856192
[118]	training's auc: 0.861135	valid_1's auc: 0.856284
[119]	training's auc: 0.861272	valid_1's auc: 0.856366
[120]	training's auc: 0.861301	valid_1's auc: 0.856398
[121]	training's auc: 0.861383	valid_1's auc: 0.856422
[122]	training's auc: 0.861472	valid_1's auc: 0.85644
[123]	training's auc: 0.861496	valid_1's auc: 0.856478
[124]	training's auc: 0.861596	valid_1's auc: 0.856509
[125]	training's auc: 0.86169	valid_1's auc: 0.856536
[126]	training's auc: 0.861819	valid_1's auc: 0.856591
[127]	training's auc: 0.861943	valid_1's auc: 0.856668
[128]	training's auc: 0.862015	valid_1's auc: 0.856697
[129]	training's auc: 0.862095	valid_1's auc: 0.856728
[130]	training's auc: 0.862239	valid_1's auc: 0.856807
[131]	training's auc: 0.862365	valid_1's auc: 0.856832
[132]	training's auc: 0.862483	valid_1's auc: 0.856874
[133]	training's auc: 0.862607	valid_1's auc: 0.856932
[134]	training's auc: 0.862666	valid_1's auc: 0.856951
[135]	training's auc: 0.862796	valid_1's auc: 0.85705
[136]	training's auc: 0.8629	valid_1's auc: 0.857083
[137]	training's auc: 0.86301	valid_1's auc: 0.857135
[138]	training's auc: 0.863095	valid_1's auc: 0.857142
[139]	training's auc: 0.863206	valid_1's auc: 0.857206
[140]	training's auc: 0.863277	valid_1's auc: 0.857236
[141]	training's auc: 0.863374	valid_1's auc: 0.857279
[142]	training's auc: 0.863475	valid_1's auc: 0.857332
[143]	training's auc: 0.86351	valid_1's auc: 0.857334
[144]	training's auc: 0.863571	valid_1's auc: 0.857395
[145]	training's auc: 0.863652	valid_1's auc: 0.857461
[146]	training's auc: 0.863734	valid_1's auc: 0.857475
[147]	training's auc: 0.86381	valid_1's auc: 0.857523
[148]	training's auc: 0.863921	valid_1's auc: 0.85757
[149]	training's auc: 0.863994	valid_1's auc: 0.857621
[150]	training's auc: 0.86404	valid_1's auc: 0.857629
[151]	training's auc: 0.864112	valid_1's auc: 0.857657
[152]	training's auc: 0.864222	valid_1's auc: 0.857691
[153]	training's auc: 0.864288	valid_1's auc: 0.857702
[154]	training's auc: 0.864371	valid_1's auc: 0.857735
[155]	training's auc: 0.86443	valid_1's auc: 0.857753
[156]	training's auc: 0.864465	valid_1's auc: 0.857769
[157]	training's auc: 0.8645	valid_1's auc: 0.85778
[158]	training's auc: 0.864587	valid_1's auc: 0.857854
[159]	training's auc: 0.864632	valid_1's auc: 0.85791
[160]	training's auc: 0.86473	valid_1's auc: 0.857943
