[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.821639	valid_1's auc: 0.822135
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.825099	valid_1's auc: 0.825138
[3]	training's auc: 0.826435	valid_1's auc: 0.826453
[4]	training's auc: 0.830136	valid_1's auc: 0.830154
[5]	training's auc: 0.830666	valid_1's auc: 0.830557
[6]	training's auc: 0.832286	valid_1's auc: 0.832163
[7]	training's auc: 0.83293	valid_1's auc: 0.832899
[8]	training's auc: 0.834206	valid_1's auc: 0.834185
[9]	training's auc: 0.834834	valid_1's auc: 0.83479
[10]	training's auc: 0.83579	valid_1's auc: 0.835728
[11]	training's auc: 0.836077	valid_1's auc: 0.836004
[12]	training's auc: 0.836747	valid_1's auc: 0.836683
[13]	training's auc: 0.837035	valid_1's auc: 0.837006
[14]	training's auc: 0.837779	valid_1's auc: 0.837742
[15]	training's auc: 0.838222	valid_1's auc: 0.838222
[16]	training's auc: 0.838519	valid_1's auc: 0.838487
[17]	training's auc: 0.839053	valid_1's auc: 0.839016
[18]	training's auc: 0.83938	valid_1's auc: 0.839344
[19]	training's auc: 0.839837	valid_1's auc: 0.839833
[20]	training's auc: 0.840127	valid_1's auc: 0.840104
[21]	training's auc: 0.840523	valid_1's auc: 0.840511
[22]	training's auc: 0.840898	valid_1's auc: 0.840894
[23]	training's auc: 0.841271	valid_1's auc: 0.841221
[24]	training's auc: 0.841593	valid_1's auc: 0.841532
[25]	training's auc: 0.841885	valid_1's auc: 0.84179
[26]	training's auc: 0.842205	valid_1's auc: 0.842075
[27]	training's auc: 0.842513	valid_1's auc: 0.842325
[28]	training's auc: 0.842817	valid_1's auc: 0.842589
[29]	training's auc: 0.843185	valid_1's auc: 0.842922
[30]	training's auc: 0.843424	valid_1's auc: 0.843132
[31]	training's auc: 0.843674	valid_1's auc: 0.84335
[32]	training's auc: 0.844	valid_1's auc: 0.84363
[33]	training's auc: 0.844272	valid_1's auc: 0.843875
[34]	training's auc: 0.844551	valid_1's auc: 0.844131
[35]	training's auc: 0.844804	valid_1's auc: 0.844367
[36]	training's auc: 0.845033	valid_1's auc: 0.844558
[37]	training's auc: 0.845345	valid_1's auc: 0.844832
[38]	training's auc: 0.845552	valid_1's auc: 0.845018
[39]	training's auc: 0.845813	valid_1's auc: 0.845246
[40]	training's auc: 0.846056	valid_1's auc: 0.845445
[41]	training's auc: 0.846333	valid_1's auc: 0.845683
[42]	training's auc: 0.846555	valid_1's auc: 0.845879
[43]	training's auc: 0.846785	valid_1's auc: 0.846074
[44]	training's auc: 0.847066	valid_1's auc: 0.84632
[45]	training's auc: 0.847314	valid_1's auc: 0.846508
[46]	training's auc: 0.847568	valid_1's auc: 0.846722
[47]	training's auc: 0.847824	valid_1's auc: 0.846928
[48]	training's auc: 0.848052	valid_1's auc: 0.847125
[49]	training's auc: 0.848257	valid_1's auc: 0.847276
[50]	training's auc: 0.848508	valid_1's auc: 0.847491
[51]	training's auc: 0.848724	valid_1's auc: 0.847663
[52]	training's auc: 0.848936	valid_1's auc: 0.847834
[53]	training's auc: 0.849139	valid_1's auc: 0.847987
[54]	training's auc: 0.849355	valid_1's auc: 0.848178
[55]	training's auc: 0.849575	valid_1's auc: 0.848324
[56]	training's auc: 0.849804	valid_1's auc: 0.848498
[57]	training's auc: 0.850027	valid_1's auc: 0.848692
[58]	training's auc: 0.850229	valid_1's auc: 0.848838
[59]	training's auc: 0.850443	valid_1's auc: 0.849012
[60]	training's auc: 0.850647	valid_1's auc: 0.849168
[61]	training's auc: 0.850843	valid_1's auc: 0.849318
[62]	training's auc: 0.851049	valid_1's auc: 0.849475
[63]	training's auc: 0.851246	valid_1's auc: 0.849628
[64]	training's auc: 0.851425	valid_1's auc: 0.849748
[65]	training's auc: 0.851619	valid_1's auc: 0.849883
[66]	training's auc: 0.851822	valid_1's auc: 0.850017
[67]	training's auc: 0.852043	valid_1's auc: 0.850168
[68]	training's auc: 0.852226	valid_1's auc: 0.85031
[69]	training's auc: 0.852411	valid_1's auc: 0.850406
[70]	training's auc: 0.852582	valid_1's auc: 0.850517
[71]	training's auc: 0.852767	valid_1's auc: 0.850657
[72]	training's auc: 0.852934	valid_1's auc: 0.850766
[73]	training's auc: 0.85311	valid_1's auc: 0.850886
[74]	training's auc: 0.853297	valid_1's auc: 0.851035
[75]	training's auc: 0.853471	valid_1's auc: 0.851144
[76]	training's auc: 0.853654	valid_1's auc: 0.851294
[77]	training's auc: 0.853815	valid_1's auc: 0.851399
[78]	training's auc: 0.853989	valid_1's auc: 0.851507
[79]	training's auc: 0.854145	valid_1's auc: 0.85162
[80]	training's auc: 0.854306	valid_1's auc: 0.851717
[81]	training's auc: 0.854478	valid_1's auc: 0.851838
[82]	training's auc: 0.854639	valid_1's auc: 0.851937
[83]	training's auc: 0.85481	valid_1's auc: 0.852048
[84]	training's auc: 0.854981	valid_1's auc: 0.852162
[85]	training's auc: 0.855124	valid_1's auc: 0.852263
[86]	training's auc: 0.855285	valid_1's auc: 0.852366
[87]	training's auc: 0.855441	valid_1's auc: 0.852442
