[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.814551	valid_1's auc: 0.815176
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.825016	valid_1's auc: 0.824768
[3]	training's auc: 0.827538	valid_1's auc: 0.827496
[4]	training's auc: 0.829345	valid_1's auc: 0.829226
[5]	training's auc: 0.828942	valid_1's auc: 0.828749
[6]	training's auc: 0.829967	valid_1's auc: 0.8295
[7]	training's auc: 0.830504	valid_1's auc: 0.830231
[8]	training's auc: 0.831281	valid_1's auc: 0.8311
[9]	training's auc: 0.83207	valid_1's auc: 0.83185
[10]	training's auc: 0.833413	valid_1's auc: 0.833267
[11]	training's auc: 0.834196	valid_1's auc: 0.834088
[12]	training's auc: 0.834563	valid_1's auc: 0.834447
[13]	training's auc: 0.834209	valid_1's auc: 0.834097
[14]	training's auc: 0.834519	valid_1's auc: 0.834347
[15]	training's auc: 0.834387	valid_1's auc: 0.834212
[16]	training's auc: 0.835296	valid_1's auc: 0.835093
[17]	training's auc: 0.835869	valid_1's auc: 0.835578
[18]	training's auc: 0.835907	valid_1's auc: 0.835538
[19]	training's auc: 0.836461	valid_1's auc: 0.836143
[20]	training's auc: 0.836846	valid_1's auc: 0.836533
[21]	training's auc: 0.837202	valid_1's auc: 0.83691
[22]	training's auc: 0.837258	valid_1's auc: 0.837001
[23]	training's auc: 0.837348	valid_1's auc: 0.837055
[24]	training's auc: 0.837456	valid_1's auc: 0.837175
[25]	training's auc: 0.837572	valid_1's auc: 0.837209
[26]	training's auc: 0.837681	valid_1's auc: 0.837209
[27]	training's auc: 0.837904	valid_1's auc: 0.837397
[28]	training's auc: 0.838048	valid_1's auc: 0.837532
[29]	training's auc: 0.838272	valid_1's auc: 0.837755
[30]	training's auc: 0.838433	valid_1's auc: 0.837912
[31]	training's auc: 0.838487	valid_1's auc: 0.837953
[32]	training's auc: 0.838682	valid_1's auc: 0.838161
[33]	training's auc: 0.838937	valid_1's auc: 0.838416
[34]	training's auc: 0.839272	valid_1's auc: 0.838704
[35]	training's auc: 0.839393	valid_1's auc: 0.838763
[36]	training's auc: 0.839543	valid_1's auc: 0.838905
[37]	training's auc: 0.840087	valid_1's auc: 0.839464
[38]	training's auc: 0.840274	valid_1's auc: 0.839641
[39]	training's auc: 0.840487	valid_1's auc: 0.839838
[40]	training's auc: 0.840756	valid_1's auc: 0.840105
[41]	training's auc: 0.840967	valid_1's auc: 0.840347
[42]	training's auc: 0.841149	valid_1's auc: 0.840562
[43]	training's auc: 0.84148	valid_1's auc: 0.840874
[44]	training's auc: 0.84161	valid_1's auc: 0.840984
[45]	training's auc: 0.841714	valid_1's auc: 0.841028
[46]	training's auc: 0.842034	valid_1's auc: 0.841318
[47]	training's auc: 0.842328	valid_1's auc: 0.841576
[48]	training's auc: 0.842406	valid_1's auc: 0.841607
[49]	training's auc: 0.842693	valid_1's auc: 0.841874
[50]	training's auc: 0.842784	valid_1's auc: 0.841951
[51]	training's auc: 0.842909	valid_1's auc: 0.842037
[52]	training's auc: 0.843001	valid_1's auc: 0.842112
[53]	training's auc: 0.843116	valid_1's auc: 0.842188
[54]	training's auc: 0.843322	valid_1's auc: 0.842368
[55]	training's auc: 0.843593	valid_1's auc: 0.842623
[56]	training's auc: 0.843737	valid_1's auc: 0.842777
[57]	training's auc: 0.843889	valid_1's auc: 0.842906
[58]	training's auc: 0.844156	valid_1's auc: 0.843121
[59]	training's auc: 0.844254	valid_1's auc: 0.843196
[60]	training's auc: 0.844366	valid_1's auc: 0.8433
[61]	training's auc: 0.844602	valid_1's auc: 0.843472
[62]	training's auc: 0.844814	valid_1's auc: 0.843671
[63]	training's auc: 0.845039	valid_1's auc: 0.843888
[64]	training's auc: 0.845187	valid_1's auc: 0.843968
[65]	training's auc: 0.845295	valid_1's auc: 0.844042
[66]	training's auc: 0.845376	valid_1's auc: 0.844135
[67]	training's auc: 0.845441	valid_1's auc: 0.844191
[68]	training's auc: 0.845715	valid_1's auc: 0.844436
[69]	training's auc: 0.84596	valid_1's auc: 0.844633
[70]	training's auc: 0.84616	valid_1's auc: 0.844802
[71]	training's auc: 0.846316	valid_1's auc: 0.844939
[72]	training's auc: 0.846487	valid_1's auc: 0.845105
[73]	training's auc: 0.846703	valid_1's auc: 0.845296
[74]	training's auc: 0.846836	valid_1's auc: 0.845374
[75]	training's auc: 0.846977	valid_1's auc: 0.845491
[76]	training's auc: 0.847153	valid_1's auc: 0.845625
[77]	training's auc: 0.847299	valid_1's auc: 0.845759
[78]	training's auc: 0.84743	valid_1's auc: 0.845852
[79]	training's auc: 0.847604	valid_1's auc: 0.845993
[80]	training's auc: 0.847659	valid_1's auc: 0.84606
[81]	training's auc: 0.847835	valid_1's auc: 0.846191
[82]	training's auc: 0.847941	valid_1's auc: 0.846307
[83]	training's auc: 0.848119	valid_1's auc: 0.846435
