[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.820388	valid_1's auc: 0.821429
Training until validation scores don't improve for 100 rounds
[2]	training's auc: 0.825236	valid_1's auc: 0.825859
[3]	training's auc: 0.828929	valid_1's auc: 0.830109
[4]	training's auc: 0.831459	valid_1's auc: 0.832608
[5]	training's auc: 0.832893	valid_1's auc: 0.833852
[6]	training's auc: 0.835032	valid_1's auc: 0.835818
[7]	training's auc: 0.836308	valid_1's auc: 0.836932
[8]	training's auc: 0.837432	valid_1's auc: 0.837945
[9]	training's auc: 0.838143	valid_1's auc: 0.838733
[10]	training's auc: 0.83855	valid_1's auc: 0.838978
[11]	training's auc: 0.838824	valid_1's auc: 0.839103
[12]	training's auc: 0.839503	valid_1's auc: 0.839853
[13]	training's auc: 0.839997	valid_1's auc: 0.840482
[14]	training's auc: 0.840465	valid_1's auc: 0.840856
[15]	training's auc: 0.840987	valid_1's auc: 0.841314
[16]	training's auc: 0.841421	valid_1's auc: 0.84174
[17]	training's auc: 0.841832	valid_1's auc: 0.842048
[18]	training's auc: 0.842323	valid_1's auc: 0.842406
[19]	training's auc: 0.842834	valid_1's auc: 0.842914
[20]	training's auc: 0.843227	valid_1's auc: 0.843297
[21]	training's auc: 0.843635	valid_1's auc: 0.843611
[22]	training's auc: 0.844103	valid_1's auc: 0.84402
[23]	training's auc: 0.844406	valid_1's auc: 0.84426
[24]	training's auc: 0.844707	valid_1's auc: 0.844551
[25]	training's auc: 0.845026	valid_1's auc: 0.844898
[26]	training's auc: 0.84542	valid_1's auc: 0.845227
[27]	training's auc: 0.845809	valid_1's auc: 0.845568
[28]	training's auc: 0.846079	valid_1's auc: 0.845807
[29]	training's auc: 0.846276	valid_1's auc: 0.84594
[30]	training's auc: 0.846598	valid_1's auc: 0.846202
[31]	training's auc: 0.847054	valid_1's auc: 0.846608
[32]	training's auc: 0.847484	valid_1's auc: 0.846926
[33]	training's auc: 0.847718	valid_1's auc: 0.847148
[34]	training's auc: 0.848007	valid_1's auc: 0.847369
[35]	training's auc: 0.848404	valid_1's auc: 0.8477
[36]	training's auc: 0.848746	valid_1's auc: 0.847953
[37]	training's auc: 0.849092	valid_1's auc: 0.848201
[38]	training's auc: 0.849372	valid_1's auc: 0.848455
[39]	training's auc: 0.849727	valid_1's auc: 0.848721
[40]	training's auc: 0.850018	valid_1's auc: 0.848962
[41]	training's auc: 0.850342	valid_1's auc: 0.84923
[42]	training's auc: 0.85064	valid_1's auc: 0.849412
[43]	training's auc: 0.850924	valid_1's auc: 0.849595
[44]	training's auc: 0.851214	valid_1's auc: 0.849835
[45]	training's auc: 0.851484	valid_1's auc: 0.850013
[46]	training's auc: 0.851774	valid_1's auc: 0.850245
[47]	training's auc: 0.851946	valid_1's auc: 0.850375
[48]	training's auc: 0.852142	valid_1's auc: 0.850524
[49]	training's auc: 0.852411	valid_1's auc: 0.850673
[50]	training's auc: 0.852585	valid_1's auc: 0.850822
[51]	training's auc: 0.852771	valid_1's auc: 0.850952
[52]	training's auc: 0.852928	valid_1's auc: 0.851082
[53]	training's auc: 0.853149	valid_1's auc: 0.851187
[54]	training's auc: 0.85342	valid_1's auc: 0.851351
[55]	training's auc: 0.85367	valid_1's auc: 0.851486
[56]	training's auc: 0.853837	valid_1's auc: 0.851632
[57]	training's auc: 0.854076	valid_1's auc: 0.85175
[58]	training's auc: 0.854315	valid_1's auc: 0.85189
[59]	training's auc: 0.854487	valid_1's auc: 0.852035
[60]	training's auc: 0.854735	valid_1's auc: 0.852179
[61]	training's auc: 0.854955	valid_1's auc: 0.852284
[62]	training's auc: 0.85519	valid_1's auc: 0.852427
[63]	training's auc: 0.855415	valid_1's auc: 0.852551
[64]	training's auc: 0.855653	valid_1's auc: 0.852673
[65]	training's auc: 0.855897	valid_1's auc: 0.852817
[66]	training's auc: 0.856091	valid_1's auc: 0.852928
[67]	training's auc: 0.856268	valid_1's auc: 0.853064
[68]	training's auc: 0.856481	valid_1's auc: 0.853148
[69]	training's auc: 0.856671	valid_1's auc: 0.853254
[70]	training's auc: 0.856824	valid_1's auc: 0.853311
[71]	training's auc: 0.857049	valid_1's auc: 0.853465
[72]	training's auc: 0.857261	valid_1's auc: 0.853581
[73]	training's auc: 0.857421	valid_1's auc: 0.853662
[74]	training's auc: 0.85765	valid_1's auc: 0.853783
[75]	training's auc: 0.857852	valid_1's auc: 0.85388
[76]	training's auc: 0.858005	valid_1's auc: 0.853944
[77]	training's auc: 0.858163	valid_1's auc: 0.854022
[78]	training's auc: 0.858296	valid_1's auc: 0.854083
[79]	training's auc: 0.858514	valid_1's auc: 0.854168
[80]	training's auc: 0.858644	valid_1's auc: 0.854271
[81]	training's auc: 0.858788	valid_1's auc: 0.854315
[82]	training's auc: 0.858947	valid_1's auc: 0.854372
[83]	training's auc: 0.859089	valid_1's auc: 0.854458
[84]	training's auc: 0.85927	valid_1's auc: 0.854531
