[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.770705	valid_1's auc: 0.768806
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.822109	valid_1's auc: 0.821437
[3]	training's auc: 0.822765	valid_1's auc: 0.82195
[4]	training's auc: 0.829778	valid_1's auc: 0.828969
[5]	training's auc: 0.829623	valid_1's auc: 0.828562
[6]	training's auc: 0.832135	valid_1's auc: 0.830831
[7]	training's auc: 0.83527	valid_1's auc: 0.834075
[8]	training's auc: 0.837473	valid_1's auc: 0.836134
[9]	training's auc: 0.838159	valid_1's auc: 0.836526
[10]	training's auc: 0.839591	valid_1's auc: 0.837999
[11]	training's auc: 0.841775	valid_1's auc: 0.840079
[12]	training's auc: 0.842995	valid_1's auc: 0.841166
[13]	training's auc: 0.84415	valid_1's auc: 0.84219
[14]	training's auc: 0.845401	valid_1's auc: 0.843301
[15]	training's auc: 0.846308	valid_1's auc: 0.843983
[16]	training's auc: 0.847214	valid_1's auc: 0.844919
[17]	training's auc: 0.847827	valid_1's auc: 0.845263
[18]	training's auc: 0.848368	valid_1's auc: 0.845761
[19]	training's auc: 0.848674	valid_1's auc: 0.846078
[20]	training's auc: 0.849458	valid_1's auc: 0.846733
[21]	training's auc: 0.849877	valid_1's auc: 0.846919
[22]	training's auc: 0.850466	valid_1's auc: 0.847306
[23]	training's auc: 0.851126	valid_1's auc: 0.847837
[24]	training's auc: 0.851925	valid_1's auc: 0.848483
[25]	training's auc: 0.852591	valid_1's auc: 0.849005
[26]	training's auc: 0.853185	valid_1's auc: 0.849364
[27]	training's auc: 0.853733	valid_1's auc: 0.849767
[28]	training's auc: 0.854239	valid_1's auc: 0.850109
[29]	training's auc: 0.854484	valid_1's auc: 0.850372
[30]	training's auc: 0.854843	valid_1's auc: 0.8505
[31]	training's auc: 0.855279	valid_1's auc: 0.850752
[32]	training's auc: 0.85573	valid_1's auc: 0.851033
[33]	training's auc: 0.856076	valid_1's auc: 0.85121
[34]	training's auc: 0.85647	valid_1's auc: 0.851434
[35]	training's auc: 0.856725	valid_1's auc: 0.851544
[36]	training's auc: 0.857054	valid_1's auc: 0.851801
[37]	training's auc: 0.857437	valid_1's auc: 0.852014
[38]	training's auc: 0.857782	valid_1's auc: 0.852198
[39]	training's auc: 0.858143	valid_1's auc: 0.852386
[40]	training's auc: 0.858568	valid_1's auc: 0.852588
[41]	training's auc: 0.858902	valid_1's auc: 0.852724
[42]	training's auc: 0.859211	valid_1's auc: 0.85285
[43]	training's auc: 0.859576	valid_1's auc: 0.85304
[44]	training's auc: 0.859882	valid_1's auc: 0.853132
[45]	training's auc: 0.860162	valid_1's auc: 0.85322
[46]	training's auc: 0.860422	valid_1's auc: 0.853281
[47]	training's auc: 0.860629	valid_1's auc: 0.853513
[48]	training's auc: 0.860838	valid_1's auc: 0.853637
[49]	training's auc: 0.861079	valid_1's auc: 0.853625
[50]	training's auc: 0.861354	valid_1's auc: 0.853702
[51]	training's auc: 0.861583	valid_1's auc: 0.85376
[52]	training's auc: 0.861817	valid_1's auc: 0.853838
[53]	training's auc: 0.862025	valid_1's auc: 0.853881
[54]	training's auc: 0.862274	valid_1's auc: 0.854053
[55]	training's auc: 0.862437	valid_1's auc: 0.854078
[56]	training's auc: 0.862772	valid_1's auc: 0.854242
[57]	training's auc: 0.86293	valid_1's auc: 0.854287
[58]	training's auc: 0.863227	valid_1's auc: 0.854477
[59]	training's auc: 0.863342	valid_1's auc: 0.854553
[60]	training's auc: 0.863488	valid_1's auc: 0.854599
[61]	training's auc: 0.863787	valid_1's auc: 0.854747
[62]	training's auc: 0.863988	valid_1's auc: 0.854731
[63]	training's auc: 0.864215	valid_1's auc: 0.854838
[64]	training's auc: 0.864403	valid_1's auc: 0.854951
[65]	training's auc: 0.864518	valid_1's auc: 0.85498
[66]	training's auc: 0.864606	valid_1's auc: 0.855068
[67]	training's auc: 0.864716	valid_1's auc: 0.855199
[68]	training's auc: 0.864864	valid_1's auc: 0.85522
[69]	training's auc: 0.86499	valid_1's auc: 0.855224
[70]	training's auc: 0.865177	valid_1's auc: 0.855225
[71]	training's auc: 0.865319	valid_1's auc: 0.855273
[72]	training's auc: 0.865445	valid_1's auc: 0.855285
[73]	training's auc: 0.865589	valid_1's auc: 0.855281
[74]	training's auc: 0.865743	valid_1's auc: 0.855347
[75]	training's auc: 0.865866	valid_1's auc: 0.855384
[76]	training's auc: 0.866047	valid_1's auc: 0.855396
[77]	training's auc: 0.866139	valid_1's auc: 0.855406
[78]	training's auc: 0.86633	valid_1's auc: 0.855463
[79]	training's auc: 0.866484	valid_1's auc: 0.855457
[80]	training's auc: 0.866555	valid_1's auc: 0.855473
[81]	training's auc: 0.866782	valid_1's auc: 0.855563
[82]	training's auc: 0.866851	valid_1's auc: 0.855596
[83]	training's auc: 0.867111	valid_1's auc: 0.855713
[84]	training's auc: 0.867292	valid_1's auc: 0.855806
[85]	training's auc: 0.86757	valid_1's auc: 0.855942
[86]	training's auc: 0.86779	valid_1's auc: 0.856045
[87]	training's auc: 0.867969	valid_1's auc: 0.856075
[88]	training's auc: 0.868076	valid_1's auc: 0.856134
