[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.771004	valid_1's auc: 0.769954
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.823681	valid_1's auc: 0.820891
[3]	training's auc: 0.826538	valid_1's auc: 0.823147
[4]	training's auc: 0.831328	valid_1's auc: 0.827827
[5]	training's auc: 0.82942	valid_1's auc: 0.825655
[6]	training's auc: 0.831291	valid_1's auc: 0.827443
[7]	training's auc: 0.834179	valid_1's auc: 0.830224
[8]	training's auc: 0.835565	valid_1's auc: 0.831707
[9]	training's auc: 0.835223	valid_1's auc: 0.831316
[10]	training's auc: 0.836693	valid_1's auc: 0.832809
[11]	training's auc: 0.838228	valid_1's auc: 0.834407
[12]	training's auc: 0.839274	valid_1's auc: 0.835428
[13]	training's auc: 0.840159	valid_1's auc: 0.836403
[14]	training's auc: 0.840839	valid_1's auc: 0.836918
[15]	training's auc: 0.841667	valid_1's auc: 0.83756
[16]	training's auc: 0.842394	valid_1's auc: 0.838348
[17]	training's auc: 0.842689	valid_1's auc: 0.838532
[18]	training's auc: 0.843154	valid_1's auc: 0.838941
[19]	training's auc: 0.843311	valid_1's auc: 0.839161
[20]	training's auc: 0.84407	valid_1's auc: 0.83983
[21]	training's auc: 0.844365	valid_1's auc: 0.840056
[22]	training's auc: 0.84479	valid_1's auc: 0.840443
[23]	training's auc: 0.845421	valid_1's auc: 0.841004
[24]	training's auc: 0.846104	valid_1's auc: 0.841623
[25]	training's auc: 0.846698	valid_1's auc: 0.842095
[26]	training's auc: 0.847188	valid_1's auc: 0.842467
[27]	training's auc: 0.847755	valid_1's auc: 0.843044
[28]	training's auc: 0.848267	valid_1's auc: 0.84349
[29]	training's auc: 0.848523	valid_1's auc: 0.843769
[30]	training's auc: 0.848814	valid_1's auc: 0.843956
[31]	training's auc: 0.849207	valid_1's auc: 0.844259
[32]	training's auc: 0.849641	valid_1's auc: 0.844674
[33]	training's auc: 0.849947	valid_1's auc: 0.844966
[34]	training's auc: 0.850325	valid_1's auc: 0.845214
[35]	training's auc: 0.850595	valid_1's auc: 0.845426
[36]	training's auc: 0.850844	valid_1's auc: 0.845609
[37]	training's auc: 0.851208	valid_1's auc: 0.845825
[38]	training's auc: 0.851575	valid_1's auc: 0.846113
[39]	training's auc: 0.851961	valid_1's auc: 0.846419
[40]	training's auc: 0.852306	valid_1's auc: 0.846664
[41]	training's auc: 0.852622	valid_1's auc: 0.84685
[42]	training's auc: 0.852942	valid_1's auc: 0.84711
[43]	training's auc: 0.85314	valid_1's auc: 0.847288
[44]	training's auc: 0.853478	valid_1's auc: 0.847547
[45]	training's auc: 0.853751	valid_1's auc: 0.847792
[46]	training's auc: 0.854052	valid_1's auc: 0.848004
[47]	training's auc: 0.854162	valid_1's auc: 0.848089
[48]	training's auc: 0.854534	valid_1's auc: 0.848368
[49]	training's auc: 0.8548	valid_1's auc: 0.848505
[50]	training's auc: 0.855093	valid_1's auc: 0.848697
[51]	training's auc: 0.85536	valid_1's auc: 0.848911
[52]	training's auc: 0.855573	valid_1's auc: 0.849048
[53]	training's auc: 0.855925	valid_1's auc: 0.84929
[54]	training's auc: 0.856124	valid_1's auc: 0.849417
[55]	training's auc: 0.856319	valid_1's auc: 0.849568
[56]	training's auc: 0.856563	valid_1's auc: 0.849712
[57]	training's auc: 0.85681	valid_1's auc: 0.849887
[58]	training's auc: 0.857036	valid_1's auc: 0.849972
[59]	training's auc: 0.857192	valid_1's auc: 0.850059
[60]	training's auc: 0.85747	valid_1's auc: 0.850223
[61]	training's auc: 0.857609	valid_1's auc: 0.850336
[62]	training's auc: 0.857832	valid_1's auc: 0.850427
[63]	training's auc: 0.858053	valid_1's auc: 0.850569
[64]	training's auc: 0.858179	valid_1's auc: 0.850673
[65]	training's auc: 0.858452	valid_1's auc: 0.850831
[66]	training's auc: 0.858531	valid_1's auc: 0.850871
[67]	training's auc: 0.858617	valid_1's auc: 0.85097
[68]	training's auc: 0.858792	valid_1's auc: 0.851073
[69]	training's auc: 0.858979	valid_1's auc: 0.851136
[70]	training's auc: 0.859176	valid_1's auc: 0.85122
[71]	training's auc: 0.859292	valid_1's auc: 0.851268
[72]	training's auc: 0.859441	valid_1's auc: 0.851359
[73]	training's auc: 0.859598	valid_1's auc: 0.851416
[74]	training's auc: 0.85972	valid_1's auc: 0.851493
[75]	training's auc: 0.859959	valid_1's auc: 0.851657
[76]	training's auc: 0.860116	valid_1's auc: 0.85168
[77]	training's auc: 0.860345	valid_1's auc: 0.851827
[78]	training's auc: 0.8605	valid_1's auc: 0.851895
[79]	training's auc: 0.860639	valid_1's auc: 0.851938
[80]	training's auc: 0.860809	valid_1's auc: 0.852038
[81]	training's auc: 0.861005	valid_1's auc: 0.852138
[82]	training's auc: 0.861081	valid_1's auc: 0.852181
[83]	training's auc: 0.861234	valid_1's auc: 0.85222
[84]	training's auc: 0.861453	valid_1's auc: 0.852319
[85]	training's auc: 0.861626	valid_1's auc: 0.852425
[86]	training's auc: 0.861828	valid_1's auc: 0.852545
[87]	training's auc: 0.862	valid_1's auc: 0.852646
[88]	training's auc: 0.862216	valid_1's auc: 0.852783
[89]	training's auc: 0.862369	valid_1's auc: 0.852841
[90]	training's auc: 0.862525	valid_1's auc: 0.852915
[91]	training's auc: 0.862705	valid_1's auc: 0.852938
[92]	training's auc: 0.862831	valid_1's auc: 0.852948
[93]	training's auc: 0.862972	valid_1's auc: 0.853028
[94]	training's auc: 0.863058	valid_1's auc: 0.853066
[95]	training's auc: 0.863185	valid_1's auc: 0.853096
[96]	training's auc: 0.863229	valid_1's auc: 0.853145
[97]	training's auc: 0.863333	valid_1's auc: 0.85315
[98]	training's auc: 0.863452	valid_1's auc: 0.853216
[99]	training's auc: 0.863568	valid_1's auc: 0.85326
[100]	training's auc: 0.863676	valid_1's auc: 0.853288
[101]	training's auc: 0.863773	valid_1's auc: 0.85335
[102]	training's auc: 0.863894	valid_1's auc: 0.853404
[103]	training's auc: 0.864009	valid_1's auc: 0.853458
[104]	training's auc: 0.864141	valid_1's auc: 0.853507
[105]	training's auc: 0.864296	valid_1's auc: 0.853586
[106]	training's auc: 0.864422	valid_1's auc: 0.853631
[107]	training's auc: 0.864494	valid_1's auc: 0.853687
[108]	training's auc: 0.864619	valid_1's auc: 0.853716
[109]	training's auc: 0.86471	valid_1's auc: 0.853727
[110]	training's auc: 0.864769	valid_1's auc: 0.85381
[111]	training's auc: 0.864849	valid_1's auc: 0.853807
[112]	training's auc: 0.864994	valid_1's auc: 0.853821
[113]	training's auc: 0.865097	valid_1's auc: 0.853836
[114]	training's auc: 0.865282	valid_1's auc: 0.853948
[115]	training's auc: 0.865359	valid_1's auc: 0.853922
[116]	training's auc: 0.865411	valid_1's auc: 0.853981
[117]	training's auc: 0.865515	valid_1's auc: 0.854033
[118]	training's auc: 0.865578	valid_1's auc: 0.854065
[119]	training's auc: 0.865645	valid_1's auc: 0.854059
[120]	training's auc: 0.865731	valid_1's auc: 0.854087
[121]	training's auc: 0.865791	valid_1's auc: 0.854108
[122]	training's auc: 0.865927	valid_1's auc: 0.854161
[123]	training's auc: 0.866013	valid_1's auc: 0.854169
[124]	training's auc: 0.866109	valid_1's auc: 0.854159
[125]	training's auc: 0.866198	valid_1's auc: 0.854192
[126]	training's auc: 0.866277	valid_1's auc: 0.85423
[127]	training's auc: 0.866394	valid_1's auc: 0.854274
[128]	training's auc: 0.866471	valid_1's auc: 0.854281
[129]	training's auc: 0.866529	valid_1's auc: 0.85433
[130]	training's auc: 0.866608	valid_1's auc: 0.854365
[131]	training's auc: 0.866681	valid_1's auc: 0.854388
[132]	training's auc: 0.866772	valid_1's auc: 0.854373
[133]	training's auc: 0.866931	valid_1's auc: 0.854471
[134]	training's auc: 0.867012	valid_1's auc: 0.854486
[135]	training's auc: 0.867097	valid_1's auc: 0.854499
[136]	training's auc: 0.867187	valid_1's auc: 0.854526
[137]	training's auc: 0.867295	valid_1's auc: 0.854567
[138]	training's auc: 0.867366	valid_1's auc: 0.854556
[139]	training's auc: 0.867457	valid_1's auc: 0.854562
[140]	training's auc: 0.867526	valid_1's auc: 0.854587
[141]	training's auc: 0.867564	valid_1's auc: 0.854627
[142]	training's auc: 0.867634	valid_1's auc: 0.854645
[143]	training's auc: 0.867716	valid_1's auc: 0.854706
[144]	training's auc: 0.867817	valid_1's auc: 0.854739
[145]	training's auc: 0.867917	valid_1's auc: 0.854773
[146]	training's auc: 0.867981	valid_1's auc: 0.854752
[147]	training's auc: 0.868045	valid_1's auc: 0.854798
[148]	training's auc: 0.868099	valid_1's auc: 0.854821
[149]	training's auc: 0.868163	valid_1's auc: 0.85483
[150]	training's auc: 0.868235	valid_1's auc: 0.854846
[151]	training's auc: 0.868336	valid_1's auc: 0.85487
[152]	training's auc: 0.868393	valid_1's auc: 0.85487
[153]	training's auc: 0.868479	valid_1's auc: 0.854851
[154]	training's auc: 0.868538	valid_1's auc: 0.854845
[155]	training's auc: 0.868646	valid_1's auc: 0.854919
[156]	training's auc: 0.868743	valid_1's auc: 0.85496
[157]	training's auc: 0.868794	valid_1's auc: 0.854967
[158]	training's auc: 0.868873	valid_1's auc: 0.854975
[159]	training's auc: 0.868951	valid_1's auc: 0.855015
[160]	training's auc: 0.869088	valid_1's auc: 0.855094
[161]	training's auc: 0.869165	valid_1's auc: 0.855118
[162]	training's auc: 0.869239	valid_1's auc: 0.855136
[163]	training's auc: 0.869371	valid_1's auc: 0.855178
[164]	training's auc: 0.869459	valid_1's auc: 0.855219
[165]	training's auc: 0.869482	valid_1's auc: 0.855238
[166]	training's auc: 0.869544	valid_1's auc: 0.855271
[167]	training's auc: 0.869665	valid_1's auc: 0.855319
[168]	training's auc: 0.86969	valid_1's auc: 0.855347
[169]	training's auc: 0.869764	valid_1's auc: 0.855378
