[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.822244	valid_1's auc: 0.821154
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.829748	valid_1's auc: 0.828378
[3]	training's auc: 0.831627	valid_1's auc: 0.830208
[4]	training's auc: 0.832446	valid_1's auc: 0.830872
[5]	training's auc: 0.833243	valid_1's auc: 0.831595
[6]	training's auc: 0.833385	valid_1's auc: 0.831757
[7]	training's auc: 0.833608	valid_1's auc: 0.831915
[8]	training's auc: 0.833742	valid_1's auc: 0.83208
[9]	training's auc: 0.834463	valid_1's auc: 0.832746
[10]	training's auc: 0.835418	valid_1's auc: 0.833704
[11]	training's auc: 0.835733	valid_1's auc: 0.834034
[12]	training's auc: 0.836402	valid_1's auc: 0.834655
[13]	training's auc: 0.83667	valid_1's auc: 0.83497
[14]	training's auc: 0.837411	valid_1's auc: 0.835732
[15]	training's auc: 0.837646	valid_1's auc: 0.835941
[16]	training's auc: 0.837987	valid_1's auc: 0.836307
[17]	training's auc: 0.838381	valid_1's auc: 0.836698
[18]	training's auc: 0.838717	valid_1's auc: 0.837055
[19]	training's auc: 0.839037	valid_1's auc: 0.837373
[20]	training's auc: 0.839457	valid_1's auc: 0.837804
[21]	training's auc: 0.83975	valid_1's auc: 0.838095
[22]	training's auc: 0.840033	valid_1's auc: 0.838376
[23]	training's auc: 0.840468	valid_1's auc: 0.838793
[24]	training's auc: 0.840695	valid_1's auc: 0.838999
[25]	training's auc: 0.841022	valid_1's auc: 0.839278
[26]	training's auc: 0.841363	valid_1's auc: 0.839631
[27]	training's auc: 0.841671	valid_1's auc: 0.839917
[28]	training's auc: 0.841966	valid_1's auc: 0.840153
[29]	training's auc: 0.842191	valid_1's auc: 0.840374
[30]	training's auc: 0.842489	valid_1's auc: 0.840651
[31]	training's auc: 0.842747	valid_1's auc: 0.840892
[32]	training's auc: 0.842948	valid_1's auc: 0.841063
[33]	training's auc: 0.843261	valid_1's auc: 0.841324
[34]	training's auc: 0.843544	valid_1's auc: 0.841551
[35]	training's auc: 0.843807	valid_1's auc: 0.841785
[36]	training's auc: 0.844077	valid_1's auc: 0.842049
[37]	training's auc: 0.844316	valid_1's auc: 0.842233
[38]	training's auc: 0.844555	valid_1's auc: 0.842437
[39]	training's auc: 0.84479	valid_1's auc: 0.842633
[40]	training's auc: 0.845058	valid_1's auc: 0.842853
[41]	training's auc: 0.845274	valid_1's auc: 0.843047
[42]	training's auc: 0.84547	valid_1's auc: 0.843196
[43]	training's auc: 0.845689	valid_1's auc: 0.843402
[44]	training's auc: 0.845879	valid_1's auc: 0.843565
[45]	training's auc: 0.846083	valid_1's auc: 0.843727
[46]	training's auc: 0.846301	valid_1's auc: 0.843911
[47]	training's auc: 0.846569	valid_1's auc: 0.844148
[48]	training's auc: 0.846753	valid_1's auc: 0.844306
[49]	training's auc: 0.84694	valid_1's auc: 0.844468
[50]	training's auc: 0.847125	valid_1's auc: 0.844622
[51]	training's auc: 0.847323	valid_1's auc: 0.844771
[52]	training's auc: 0.847565	valid_1's auc: 0.844955
[53]	training's auc: 0.847842	valid_1's auc: 0.845188
[54]	training's auc: 0.84806	valid_1's auc: 0.845367
[55]	training's auc: 0.848218	valid_1's auc: 0.845504
[56]	training's auc: 0.84846	valid_1's auc: 0.845702
[57]	training's auc: 0.84867	valid_1's auc: 0.845861
[58]	training's auc: 0.848836	valid_1's auc: 0.845976
[59]	training's auc: 0.849058	valid_1's auc: 0.846146
[60]	training's auc: 0.849232	valid_1's auc: 0.84629
[61]	training's auc: 0.849422	valid_1's auc: 0.846451
[62]	training's auc: 0.849635	valid_1's auc: 0.846611
[63]	training's auc: 0.84984	valid_1's auc: 0.846753
[64]	training's auc: 0.850018	valid_1's auc: 0.846885
[65]	training's auc: 0.850187	valid_1's auc: 0.847009
[66]	training's auc: 0.85038	valid_1's auc: 0.847139
[67]	training's auc: 0.850572	valid_1's auc: 0.847287
[68]	training's auc: 0.850743	valid_1's auc: 0.847402
[69]	training's auc: 0.850926	valid_1's auc: 0.847545
[70]	training's auc: 0.851074	valid_1's auc: 0.847662
[71]	training's auc: 0.851215	valid_1's auc: 0.847775
[72]	training's auc: 0.851385	valid_1's auc: 0.847899
[73]	training's auc: 0.851559	valid_1's auc: 0.848025
[74]	training's auc: 0.851735	valid_1's auc: 0.848155
[75]	training's auc: 0.851892	valid_1's auc: 0.84826
[76]	training's auc: 0.852068	valid_1's auc: 0.848384
[77]	training's auc: 0.852218	valid_1's auc: 0.848487
[78]	training's auc: 0.852389	valid_1's auc: 0.848587
[79]	training's auc: 0.85256	valid_1's auc: 0.848719
[80]	training's auc: 0.85273	valid_1's auc: 0.848824
[81]	training's auc: 0.852892	valid_1's auc: 0.848948
[82]	training's auc: 0.853056	valid_1's auc: 0.84906
[83]	training's auc: 0.853216	valid_1's auc: 0.849164
[84]	training's auc: 0.853381	valid_1's auc: 0.84928
[85]	training's auc: 0.853546	valid_1's auc: 0.849394
[86]	training's auc: 0.853701	valid_1's auc: 0.849513
[87]	training's auc: 0.853864	valid_1's auc: 0.849602
[88]	training's auc: 0.854049	valid_1's auc: 0.849726
[89]	training's auc: 0.854197	valid_1's auc: 0.849827
[90]	training's auc: 0.854354	valid_1's auc: 0.849916
[91]	training's auc: 0.854508	valid_1's auc: 0.850023
[92]	training's auc: 0.854683	valid_1's auc: 0.850149
[93]	training's auc: 0.854804	valid_1's auc: 0.850216
[94]	training's auc: 0.854951	valid_1's auc: 0.850312
[95]	training's auc: 0.855088	valid_1's auc: 0.850387
[96]	training's auc: 0.855232	valid_1's auc: 0.850482
[97]	training's auc: 0.855382	valid_1's auc: 0.850571
[98]	training's auc: 0.855528	valid_1's auc: 0.85067
[99]	training's auc: 0.855663	valid_1's auc: 0.850746
[100]	training's auc: 0.855804	valid_1's auc: 0.850814
[101]	training's auc: 0.85594	valid_1's auc: 0.850893
[102]	training's auc: 0.856083	valid_1's auc: 0.850976
[103]	training's auc: 0.856215	valid_1's auc: 0.851063
[104]	training's auc: 0.856356	valid_1's auc: 0.851145
[105]	training's auc: 0.856494	valid_1's auc: 0.851225
[106]	training's auc: 0.856629	valid_1's auc: 0.851309
[107]	training's auc: 0.85673	valid_1's auc: 0.851357
[108]	training's auc: 0.856856	valid_1's auc: 0.851425
[109]	training's auc: 0.856969	valid_1's auc: 0.851493
[110]	training's auc: 0.857094	valid_1's auc: 0.851553
[111]	training's auc: 0.857221	valid_1's auc: 0.851622
[112]	training's auc: 0.857344	valid_1's auc: 0.851688
[113]	training's auc: 0.857455	valid_1's auc: 0.851747
[114]	training's auc: 0.857581	valid_1's auc: 0.851813
[115]	training's auc: 0.857697	valid_1's auc: 0.851878
[116]	training's auc: 0.8578	valid_1's auc: 0.851919
[117]	training's auc: 0.857915	valid_1's auc: 0.851983
[118]	training's auc: 0.858029	valid_1's auc: 0.852032
[119]	training's auc: 0.858131	valid_1's auc: 0.852085
[120]	training's auc: 0.858275	valid_1's auc: 0.852181
[121]	training's auc: 0.858386	valid_1's auc: 0.85223
[122]	training's auc: 0.858497	valid_1's auc: 0.852295
[123]	training's auc: 0.858618	valid_1's auc: 0.852349
[124]	training's auc: 0.858756	valid_1's auc: 0.852434
[125]	training's auc: 0.858875	valid_1's auc: 0.852502
[126]	training's auc: 0.858995	valid_1's auc: 0.852566
[127]	training's auc: 0.859106	valid_1's auc: 0.852617
[128]	training's auc: 0.859209	valid_1's auc: 0.852656
[129]	training's auc: 0.859333	valid_1's auc: 0.852713
[130]	training's auc: 0.859465	valid_1's auc: 0.852785
[131]	training's auc: 0.859589	valid_1's auc: 0.852855
[132]	training's auc: 0.859688	valid_1's auc: 0.852892
[133]	training's auc: 0.85979	valid_1's auc: 0.852949
[134]	training's auc: 0.859904	valid_1's auc: 0.853021
[135]	training's auc: 0.859994	valid_1's auc: 0.853067
[136]	training's auc: 0.860098	valid_1's auc: 0.853111
[137]	training's auc: 0.860186	valid_1's auc: 0.853135
[138]	training's auc: 0.860295	valid_1's auc: 0.853194
[139]	training's auc: 0.860394	valid_1's auc: 0.85324
[140]	training's auc: 0.860503	valid_1's auc: 0.853287
[141]	training's auc: 0.8606	valid_1's auc: 0.853325
[142]	training's auc: 0.860703	valid_1's auc: 0.853384
[143]	training's auc: 0.86079	valid_1's auc: 0.853413
[144]	training's auc: 0.860894	valid_1's auc: 0.853473
[145]	training's auc: 0.860983	valid_1's auc: 0.853511
[146]	training's auc: 0.861082	valid_1's auc: 0.853557
[147]	training's auc: 0.861182	valid_1's auc: 0.853627
[148]	training's auc: 0.861286	valid_1's auc: 0.853679
[149]	training's auc: 0.861373	valid_1's auc: 0.853716
[150]	training's auc: 0.861465	valid_1's auc: 0.853758
[151]	training's auc: 0.861546	valid_1's auc: 0.853796
[152]	training's auc: 0.861643	valid_1's auc: 0.853863
[153]	training's auc: 0.861721	valid_1's auc: 0.853899
[154]	training's auc: 0.861806	valid_1's auc: 0.853931
[155]	training's auc: 0.861878	valid_1's auc: 0.853962
[156]	training's auc: 0.861973	valid_1's auc: 0.853997
[157]	training's auc: 0.862064	valid_1's auc: 0.854024
[158]	training's auc: 0.862148	valid_1's auc: 0.854062
[159]	training's auc: 0.862227	valid_1's auc: 0.854104
[160]	training's auc: 0.862312	valid_1's auc: 0.854136
[161]	training's auc: 0.862397	valid_1's auc: 0.854164
[162]	training's auc: 0.862475	valid_1's auc: 0.854189
[163]	training's auc: 0.862554	valid_1's auc: 0.854211
[164]	training's auc: 0.862619	valid_1's auc: 0.854236
[165]	training's auc: 0.862684	valid_1's auc: 0.854258
[166]	training's auc: 0.862747	valid_1's auc: 0.854292
[167]	training's auc: 0.862823	valid_1's auc: 0.854321
[168]	training's auc: 0.862893	valid_1's auc: 0.854344
[169]	training's auc: 0.862964	valid_1's auc: 0.854367
[170]	training's auc: 0.863033	valid_1's auc: 0.854381
[171]	training's auc: 0.863111	valid_1's auc: 0.854403
[172]	training's auc: 0.863191	valid_1's auc: 0.85445
[173]	training's auc: 0.863252	valid_1's auc: 0.854477
[174]	training's auc: 0.863313	valid_1's auc: 0.854494
[175]	training's auc: 0.863382	valid_1's auc: 0.854513
[176]	training's auc: 0.863451	valid_1's auc: 0.854529
[177]	training's auc: 0.863508	valid_1's auc: 0.854553
[178]	training's auc: 0.863581	valid_1's auc: 0.854569
[179]	training's auc: 0.863663	valid_1's auc: 0.854592
[180]	training's auc: 0.863733	valid_1's auc: 0.854639
[181]	training's auc: 0.863777	valid_1's auc: 0.85465
[182]	training's auc: 0.863819	valid_1's auc: 0.854659
