[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.822456	valid_1's auc: 0.792088
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.831169	valid_1's auc: 0.799497
[3]	training's auc: 0.833029	valid_1's auc: 0.801351
[4]	training's auc: 0.833604	valid_1's auc: 0.802628
[5]	training's auc: 0.834416	valid_1's auc: 0.802379
[6]	training's auc: 0.834902	valid_1's auc: 0.802419
[7]	training's auc: 0.835133	valid_1's auc: 0.802711
[8]	training's auc: 0.835488	valid_1's auc: 0.803644
[9]	training's auc: 0.836031	valid_1's auc: 0.803989
[10]	training's auc: 0.836347	valid_1's auc: 0.804495
[11]	training's auc: 0.836544	valid_1's auc: 0.804241
[12]	training's auc: 0.836741	valid_1's auc: 0.804048
[13]	training's auc: 0.837337	valid_1's auc: 0.804394
[14]	training's auc: 0.837552	valid_1's auc: 0.804426
[15]	training's auc: 0.838107	valid_1's auc: 0.805401
[16]	training's auc: 0.838365	valid_1's auc: 0.805956
[17]	training's auc: 0.838422	valid_1's auc: 0.805875
[18]	training's auc: 0.838805	valid_1's auc: 0.806342
[19]	training's auc: 0.839043	valid_1's auc: 0.806565
[20]	training's auc: 0.839428	valid_1's auc: 0.807114
[21]	training's auc: 0.83973	valid_1's auc: 0.807414
[22]	training's auc: 0.83996	valid_1's auc: 0.807639
[23]	training's auc: 0.840328	valid_1's auc: 0.808042
[24]	training's auc: 0.840422	valid_1's auc: 0.808031
[25]	training's auc: 0.840705	valid_1's auc: 0.808364
[26]	training's auc: 0.841032	valid_1's auc: 0.808598
[27]	training's auc: 0.841275	valid_1's auc: 0.808824
[28]	training's auc: 0.841483	valid_1's auc: 0.809122
[29]	training's auc: 0.841664	valid_1's auc: 0.809228
[30]	training's auc: 0.841966	valid_1's auc: 0.809577
[31]	training's auc: 0.8422	valid_1's auc: 0.809855
[32]	training's auc: 0.842439	valid_1's auc: 0.810093
[33]	training's auc: 0.842676	valid_1's auc: 0.810512
[34]	training's auc: 0.8429	valid_1's auc: 0.810594
[35]	training's auc: 0.84309	valid_1's auc: 0.810956
[36]	training's auc: 0.84331	valid_1's auc: 0.811259
[37]	training's auc: 0.843547	valid_1's auc: 0.81149
[38]	training's auc: 0.843751	valid_1's auc: 0.81169
[39]	training's auc: 0.84393	valid_1's auc: 0.812023
[40]	training's auc: 0.84416	valid_1's auc: 0.812142
[41]	training's auc: 0.84436	valid_1's auc: 0.81219
[42]	training's auc: 0.844573	valid_1's auc: 0.812374
[43]	training's auc: 0.844791	valid_1's auc: 0.812536
[44]	training's auc: 0.844992	valid_1's auc: 0.812769
[45]	training's auc: 0.845162	valid_1's auc: 0.812913
[46]	training's auc: 0.845339	valid_1's auc: 0.813027
[47]	training's auc: 0.845536	valid_1's auc: 0.813361
[48]	training's auc: 0.845731	valid_1's auc: 0.813663
[49]	training's auc: 0.845943	valid_1's auc: 0.813816
[50]	training's auc: 0.846145	valid_1's auc: 0.813847
[51]	training's auc: 0.846298	valid_1's auc: 0.813988
[52]	training's auc: 0.846439	valid_1's auc: 0.814121
[53]	training's auc: 0.84671	valid_1's auc: 0.81441
[54]	training's auc: 0.846902	valid_1's auc: 0.814596
[55]	training's auc: 0.847046	valid_1's auc: 0.814774
[56]	training's auc: 0.847248	valid_1's auc: 0.815003
[57]	training's auc: 0.847411	valid_1's auc: 0.815151
[58]	training's auc: 0.847582	valid_1's auc: 0.815283
[59]	training's auc: 0.847757	valid_1's auc: 0.815411
[60]	training's auc: 0.847918	valid_1's auc: 0.815596
[61]	training's auc: 0.848067	valid_1's auc: 0.815796
[62]	training's auc: 0.848192	valid_1's auc: 0.815967
[63]	training's auc: 0.848367	valid_1's auc: 0.81608
[64]	training's auc: 0.848532	valid_1's auc: 0.816287
[65]	training's auc: 0.848735	valid_1's auc: 0.816542
[66]	training's auc: 0.848932	valid_1's auc: 0.816652
[67]	training's auc: 0.849094	valid_1's auc: 0.81665
[68]	training's auc: 0.84921	valid_1's auc: 0.816887
[69]	training's auc: 0.849368	valid_1's auc: 0.817077
[70]	training's auc: 0.849502	valid_1's auc: 0.817123
[71]	training's auc: 0.849628	valid_1's auc: 0.817385
[72]	training's auc: 0.849735	valid_1's auc: 0.817553
[73]	training's auc: 0.84991	valid_1's auc: 0.817782
[74]	training's auc: 0.850077	valid_1's auc: 0.817894
[75]	training's auc: 0.850249	valid_1's auc: 0.818118
[76]	training's auc: 0.850405	valid_1's auc: 0.818257
[77]	training's auc: 0.850565	valid_1's auc: 0.818332
[78]	training's auc: 0.850712	valid_1's auc: 0.818563
[79]	training's auc: 0.850857	valid_1's auc: 0.818642
[80]	training's auc: 0.851023	valid_1's auc: 0.818665
[81]	training's auc: 0.85117	valid_1's auc: 0.818741
[82]	training's auc: 0.851299	valid_1's auc: 0.818999
[83]	training's auc: 0.851449	valid_1's auc: 0.819098
[84]	training's auc: 0.851628	valid_1's auc: 0.819136
[85]	training's auc: 0.85176	valid_1's auc: 0.819326
[86]	training's auc: 0.85193	valid_1's auc: 0.819412
[87]	training's auc: 0.852072	valid_1's auc: 0.819555
[88]	training's auc: 0.852239	valid_1's auc: 0.819667
[89]	training's auc: 0.852378	valid_1's auc: 0.819866
[90]	training's auc: 0.85251	valid_1's auc: 0.820085
[91]	training's auc: 0.852654	valid_1's auc: 0.820156
[92]	training's auc: 0.852781	valid_1's auc: 0.820236
[93]	training's auc: 0.852898	valid_1's auc: 0.820381
[94]	training's auc: 0.853051	valid_1's auc: 0.820467
[95]	training's auc: 0.853177	valid_1's auc: 0.820678
[96]	training's auc: 0.85332	valid_1's auc: 0.820755
[97]	training's auc: 0.853453	valid_1's auc: 0.820922
[98]	training's auc: 0.853587	valid_1's auc: 0.821016
[99]	training's auc: 0.853723	valid_1's auc: 0.821075
[100]	training's auc: 0.853854	valid_1's auc: 0.821162
[101]	training's auc: 0.853979	valid_1's auc: 0.821263
[102]	training's auc: 0.854117	valid_1's auc: 0.821329
[103]	training's auc: 0.854205	valid_1's auc: 0.821434
[104]	training's auc: 0.854346	valid_1's auc: 0.821475
[105]	training's auc: 0.854473	valid_1's auc: 0.82157
[106]	training's auc: 0.854613	valid_1's auc: 0.821739
[107]	training's auc: 0.854694	valid_1's auc: 0.821796
[108]	training's auc: 0.854827	valid_1's auc: 0.821976
[109]	training's auc: 0.854953	valid_1's auc: 0.822049
[110]	training's auc: 0.855063	valid_1's auc: 0.82221
[111]	training's auc: 0.855198	valid_1's auc: 0.822294
[112]	training's auc: 0.855323	valid_1's auc: 0.82243
[113]	training's auc: 0.855445	valid_1's auc: 0.822539
[114]	training's auc: 0.855564	valid_1's auc: 0.822588
[115]	training's auc: 0.855675	valid_1's auc: 0.822609
[116]	training's auc: 0.85579	valid_1's auc: 0.822674
[117]	training's auc: 0.855911	valid_1's auc: 0.822738
[118]	training's auc: 0.856028	valid_1's auc: 0.822842
[119]	training's auc: 0.856142	valid_1's auc: 0.822882
[120]	training's auc: 0.856277	valid_1's auc: 0.822934
[121]	training's auc: 0.856401	valid_1's auc: 0.822998
[122]	training's auc: 0.856514	valid_1's auc: 0.823085
[123]	training's auc: 0.856636	valid_1's auc: 0.823161
[124]	training's auc: 0.856752	valid_1's auc: 0.823231
[125]	training's auc: 0.856868	valid_1's auc: 0.823265
[126]	training's auc: 0.856972	valid_1's auc: 0.823291
[127]	training's auc: 0.857087	valid_1's auc: 0.823436
[128]	training's auc: 0.857193	valid_1's auc: 0.823497
[129]	training's auc: 0.857299	valid_1's auc: 0.823538
[130]	training's auc: 0.857405	valid_1's auc: 0.823588
[131]	training's auc: 0.857505	valid_1's auc: 0.823707
[132]	training's auc: 0.857608	valid_1's auc: 0.823742
[133]	training's auc: 0.857707	valid_1's auc: 0.823823
[134]	training's auc: 0.85782	valid_1's auc: 0.823931
[135]	training's auc: 0.857914	valid_1's auc: 0.823977
[136]	training's auc: 0.858016	valid_1's auc: 0.824031
[137]	training's auc: 0.858105	valid_1's auc: 0.824064
[138]	training's auc: 0.858183	valid_1's auc: 0.824148
[139]	training's auc: 0.85825	valid_1's auc: 0.82426
[140]	training's auc: 0.858341	valid_1's auc: 0.824331
[141]	training's auc: 0.858437	valid_1's auc: 0.824377
[142]	training's auc: 0.858532	valid_1's auc: 0.824439
[143]	training's auc: 0.858635	valid_1's auc: 0.824511
[144]	training's auc: 0.858728	valid_1's auc: 0.824539
[145]	training's auc: 0.858812	valid_1's auc: 0.824583
[146]	training's auc: 0.858908	valid_1's auc: 0.824624
[147]	training's auc: 0.858998	valid_1's auc: 0.824766
[148]	training's auc: 0.859089	valid_1's auc: 0.82486
[149]	training's auc: 0.859179	valid_1's auc: 0.824932
[150]	training's auc: 0.859266	valid_1's auc: 0.824997
[151]	training's auc: 0.859352	valid_1's auc: 0.825073
[152]	training's auc: 0.859448	valid_1's auc: 0.825088
[153]	training's auc: 0.859535	valid_1's auc: 0.825118
[154]	training's auc: 0.859634	valid_1's auc: 0.825145
[155]	training's auc: 0.859727	valid_1's auc: 0.825176
[156]	training's auc: 0.859806	valid_1's auc: 0.825291
[157]	training's auc: 0.859895	valid_1's auc: 0.825327
[158]	training's auc: 0.859995	valid_1's auc: 0.825406
[159]	training's auc: 0.860076	valid_1's auc: 0.825503
[160]	training's auc: 0.860151	valid_1's auc: 0.825521
[161]	training's auc: 0.860243	valid_1's auc: 0.825641
[162]	training's auc: 0.860322	valid_1's auc: 0.8257
[163]	training's auc: 0.860402	valid_1's auc: 0.825731
[164]	training's auc: 0.86048	valid_1's auc: 0.825817
[165]	training's auc: 0.860543	valid_1's auc: 0.825865
[166]	training's auc: 0.860616	valid_1's auc: 0.82587
[167]	training's auc: 0.860681	valid_1's auc: 0.825888
[168]	training's auc: 0.860778	valid_1's auc: 0.825916
[169]	training's auc: 0.860843	valid_1's auc: 0.825971
[170]	training's auc: 0.860915	valid_1's auc: 0.826042
[171]	training's auc: 0.861008	valid_1's auc: 0.82603
[172]	training's auc: 0.86107	valid_1's auc: 0.82605
[173]	training's auc: 0.861158	valid_1's auc: 0.826125
[174]	training's auc: 0.861215	valid_1's auc: 0.82617
[175]	training's auc: 0.861295	valid_1's auc: 0.826218
[176]	training's auc: 0.861372	valid_1's auc: 0.826229
[177]	training's auc: 0.861429	valid_1's auc: 0.826311
[178]	training's auc: 0.861505	valid_1's auc: 0.826348
[179]	training's auc: 0.861576	valid_1's auc: 0.826383
[180]	training's auc: 0.861645	valid_1's auc: 0.826422
[181]	training's auc: 0.861725	valid_1's auc: 0.826482
[182]	training's auc: 0.861805	valid_1's auc: 0.826519
[183]	training's auc: 0.861857	valid_1's auc: 0.826538
[184]	training's auc: 0.861924	valid_1's auc: 0.826586
[185]	training's auc: 0.862006	valid_1's auc: 0.826699
[186]	training's auc: 0.862067	valid_1's auc: 0.826752
[187]	training's auc: 0.862128	valid_1's auc: 0.826777
[188]	training's auc: 0.862169	valid_1's auc: 0.826811
[189]	training's auc: 0.862239	valid_1's auc: 0.826843
[190]	training's auc: 0.862305	valid_1's auc: 0.826881
[191]	training's auc: 0.862357	valid_1's auc: 0.826928
[192]	training's auc: 0.862416	valid_1's auc: 0.826952
[193]	training's auc: 0.862478	valid_1's auc: 0.826966
[194]	training's auc: 0.862538	valid_1's auc: 0.826976
[195]	training's auc: 0.862598	valid_1's auc: 0.827057
[196]	training's auc: 0.862657	valid_1's auc: 0.827058
[197]	training's auc: 0.862702	valid_1's auc: 0.827087
[198]	training's auc: 0.862756	valid_1's auc: 0.827128
[199]	training's auc: 0.862821	valid_1's auc: 0.82713
[200]	training's auc: 0.86289	valid_1's auc: 0.827249
[201]	training's auc: 0.862939	valid_1's auc: 0.827248
[202]	training's auc: 0.863004	valid_1's auc: 0.827291
[203]	training's auc: 0.863064	valid_1's auc: 0.827367
[204]	training's auc: 0.863129	valid_1's auc: 0.827369
[205]	training's auc: 0.863174	valid_1's auc: 0.827397
[206]	training's auc: 0.863229	valid_1's auc: 0.827472
[207]	training's auc: 0.863275	valid_1's auc: 0.827482
[208]	training's auc: 0.863316	valid_1's auc: 0.827518
[209]	training's auc: 0.863367	valid_1's auc: 0.827533
[210]	training's auc: 0.863429	valid_1's auc: 0.827553
[211]	training's auc: 0.86347	valid_1's auc: 0.827553
[212]	training's auc: 0.863524	valid_1's auc: 0.827548
[213]	training's auc: 0.86358	valid_1's auc: 0.827544
[214]	training's auc: 0.863615	valid_1's auc: 0.827515
[215]	training's auc: 0.863675	valid_1's auc: 0.827494
[216]	training's auc: 0.863725	valid_1's auc: 0.827503
[217]	training's auc: 0.863781	valid_1's auc: 0.827519
[218]	training's auc: 0.863821	valid_1's auc: 0.827521
[219]	training's auc: 0.863877	valid_1's auc: 0.827475
[220]	training's auc: 0.863915	valid_1's auc: 0.827477
[221]	training's auc: 0.86398	valid_1's auc: 0.827544
[222]	training's auc: 0.864026	valid_1's auc: 0.827594
[223]	training's auc: 0.86409	valid_1's auc: 0.827615
[224]	training's auc: 0.864144	valid_1's auc: 0.827697
[225]	training's auc: 0.864192	valid_1's auc: 0.827664
[226]	training's auc: 0.864243	valid_1's auc: 0.82772
[227]	training's auc: 0.864278	valid_1's auc: 0.827714
[228]	training's auc: 0.864304	valid_1's auc: 0.827715
[229]	training's auc: 0.864338	valid_1's auc: 0.827719
[230]	training's auc: 0.864376	valid_1's auc: 0.827752
[231]	training's auc: 0.864409	valid_1's auc: 0.827752
[232]	training's auc: 0.864468	valid_1's auc: 0.827772
[233]	training's auc: 0.864527	valid_1's auc: 0.827777
[234]	training's auc: 0.86457	valid_1's auc: 0.827813
[235]	training's auc: 0.864614	valid_1's auc: 0.827827
[236]	training's auc: 0.864672	valid_1's auc: 0.827821
[237]	training's auc: 0.864722	valid_1's auc: 0.827916
[238]	training's auc: 0.864758	valid_1's auc: 0.82794
[239]	training's auc: 0.86481	valid_1's auc: 0.827915
[240]	training's auc: 0.864854	valid_1's auc: 0.827894
[241]	training's auc: 0.8649	valid_1's auc: 0.827907
[242]	training's auc: 0.864944	valid_1's auc: 0.827893
[243]	training's auc: 0.86498	valid_1's auc: 0.827878
[244]	training's auc: 0.865003	valid_1's auc: 0.827858
[245]	training's auc: 0.865031	valid_1's auc: 0.82785
[246]	training's auc: 0.865072	valid_1's auc: 0.827838
[247]	training's auc: 0.865103	valid_1's auc: 0.827815
[248]	training's auc: 0.865139	valid_1's auc: 0.827787
[249]	training's auc: 0.865166	valid_1's auc: 0.827775
[250]	training's auc: 0.865208	valid_1's auc: 0.827768
[251]	training's auc: 0.865261	valid_1's auc: 0.827779
[252]	training's auc: 0.865299	valid_1's auc: 0.827808
[253]	training's auc: 0.865335	valid_1's auc: 0.827835
[254]	training's auc: 0.865388	valid_1's auc: 0.827868
[255]	training's auc: 0.86543	valid_1's auc: 0.827884
[256]	training's auc: 0.865466	valid_1's auc: 0.82787
[257]	training's auc: 0.865495	valid_1's auc: 0.827874
