[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.779216	valid_1's auc: 0.731999
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.823887	valid_1's auc: 0.791903
[3]	training's auc: 0.822616	valid_1's auc: 0.789464
[4]	training's auc: 0.82983	valid_1's auc: 0.798116
[5]	training's auc: 0.829542	valid_1's auc: 0.795404
[6]	training's auc: 0.830766	valid_1's auc: 0.798024
[7]	training's auc: 0.834149	valid_1's auc: 0.801368
[8]	training's auc: 0.836139	valid_1's auc: 0.803731
[9]	training's auc: 0.836319	valid_1's auc: 0.803813
[10]	training's auc: 0.837483	valid_1's auc: 0.804634
[11]	training's auc: 0.838778	valid_1's auc: 0.805851
[12]	training's auc: 0.839636	valid_1's auc: 0.80676
[13]	training's auc: 0.840571	valid_1's auc: 0.80812
[14]	training's auc: 0.841154	valid_1's auc: 0.808459
[15]	training's auc: 0.842034	valid_1's auc: 0.809361
[16]	training's auc: 0.842733	valid_1's auc: 0.810362
[17]	training's auc: 0.843127	valid_1's auc: 0.81061
[18]	training's auc: 0.8438	valid_1's auc: 0.811282
[19]	training's auc: 0.844156	valid_1's auc: 0.811848
[20]	training's auc: 0.84496	valid_1's auc: 0.812689
[21]	training's auc: 0.845352	valid_1's auc: 0.813054
[22]	training's auc: 0.845855	valid_1's auc: 0.813425
[23]	training's auc: 0.84637	valid_1's auc: 0.813861
[24]	training's auc: 0.846903	valid_1's auc: 0.814246
[25]	training's auc: 0.847478	valid_1's auc: 0.814547
[26]	training's auc: 0.848054	valid_1's auc: 0.814908
[27]	training's auc: 0.848577	valid_1's auc: 0.81558
[28]	training's auc: 0.849032	valid_1's auc: 0.816128
[29]	training's auc: 0.849375	valid_1's auc: 0.816668
[30]	training's auc: 0.849706	valid_1's auc: 0.817039
[31]	training's auc: 0.85012	valid_1's auc: 0.817567
[32]	training's auc: 0.850561	valid_1's auc: 0.817912
[33]	training's auc: 0.850882	valid_1's auc: 0.818026
[34]	training's auc: 0.851289	valid_1's auc: 0.818516
[35]	training's auc: 0.851566	valid_1's auc: 0.819071
[36]	training's auc: 0.851834	valid_1's auc: 0.819524
[37]	training's auc: 0.852203	valid_1's auc: 0.819789
[38]	training's auc: 0.852568	valid_1's auc: 0.819922
[39]	training's auc: 0.852946	valid_1's auc: 0.82027
[40]	training's auc: 0.853265	valid_1's auc: 0.820662
[41]	training's auc: 0.853589	valid_1's auc: 0.821002
[42]	training's auc: 0.853911	valid_1's auc: 0.821255
[43]	training's auc: 0.85423	valid_1's auc: 0.821464
[44]	training's auc: 0.854551	valid_1's auc: 0.821816
[45]	training's auc: 0.854834	valid_1's auc: 0.821918
[46]	training's auc: 0.855143	valid_1's auc: 0.822012
[47]	training's auc: 0.85526	valid_1's auc: 0.822202
[48]	training's auc: 0.855633	valid_1's auc: 0.822484
[49]	training's auc: 0.855897	valid_1's auc: 0.822632
[50]	training's auc: 0.856189	valid_1's auc: 0.822767
[51]	training's auc: 0.85641	valid_1's auc: 0.822883
[52]	training's auc: 0.85665	valid_1's auc: 0.822964
[53]	training's auc: 0.85701	valid_1's auc: 0.823137
[54]	training's auc: 0.857232	valid_1's auc: 0.823479
[55]	training's auc: 0.857433	valid_1's auc: 0.823829
[56]	training's auc: 0.857655	valid_1's auc: 0.824065
[57]	training's auc: 0.85789	valid_1's auc: 0.82417
[58]	training's auc: 0.858101	valid_1's auc: 0.824558
[59]	training's auc: 0.858263	valid_1's auc: 0.824672
[60]	training's auc: 0.858515	valid_1's auc: 0.824789
[61]	training's auc: 0.858789	valid_1's auc: 0.824889
[62]	training's auc: 0.859018	valid_1's auc: 0.824998
[63]	training's auc: 0.859227	valid_1's auc: 0.82522
[64]	training's auc: 0.859327	valid_1's auc: 0.825311
[65]	training's auc: 0.859565	valid_1's auc: 0.825444
[66]	training's auc: 0.859724	valid_1's auc: 0.825477
[67]	training's auc: 0.859836	valid_1's auc: 0.825625
[68]	training's auc: 0.859971	valid_1's auc: 0.825844
[69]	training's auc: 0.860154	valid_1's auc: 0.825909
[70]	training's auc: 0.860329	valid_1's auc: 0.825997
[71]	training's auc: 0.86049	valid_1's auc: 0.826006
[72]	training's auc: 0.860603	valid_1's auc: 0.826188
[73]	training's auc: 0.860756	valid_1's auc: 0.826242
[74]	training's auc: 0.860931	valid_1's auc: 0.826391
[75]	training's auc: 0.861138	valid_1's auc: 0.826418
[76]	training's auc: 0.861256	valid_1's auc: 0.826426
[77]	training's auc: 0.861406	valid_1's auc: 0.826511
[78]	training's auc: 0.861548	valid_1's auc: 0.826542
[79]	training's auc: 0.861672	valid_1's auc: 0.826518
[80]	training's auc: 0.861803	valid_1's auc: 0.82661
[81]	training's auc: 0.861906	valid_1's auc: 0.826636
[82]	training's auc: 0.862034	valid_1's auc: 0.826841
[83]	training's auc: 0.862147	valid_1's auc: 0.8268
[84]	training's auc: 0.862324	valid_1's auc: 0.826938
[85]	training's auc: 0.862474	valid_1's auc: 0.826904
[86]	training's auc: 0.862583	valid_1's auc: 0.826914
[87]	training's auc: 0.862705	valid_1's auc: 0.826849
[88]	training's auc: 0.862837	valid_1's auc: 0.826875
[89]	training's auc: 0.862948	valid_1's auc: 0.826793
[90]	training's auc: 0.863085	valid_1's auc: 0.82677
[91]	training's auc: 0.863145	valid_1's auc: 0.826777
[92]	training's auc: 0.863244	valid_1's auc: 0.826709
[93]	training's auc: 0.863412	valid_1's auc: 0.826907
[94]	training's auc: 0.863502	valid_1's auc: 0.826916
[95]	training's auc: 0.863687	valid_1's auc: 0.827084
[96]	training's auc: 0.863782	valid_1's auc: 0.827092
[97]	training's auc: 0.863883	valid_1's auc: 0.827153
[98]	training's auc: 0.86407	valid_1's auc: 0.827238
[99]	training's auc: 0.864139	valid_1's auc: 0.827153
[100]	training's auc: 0.864217	valid_1's auc: 0.827191
[101]	training's auc: 0.864324	valid_1's auc: 0.82731
[102]	training's auc: 0.864417	valid_1's auc: 0.827276
[103]	training's auc: 0.864512	valid_1's auc: 0.82733
[104]	training's auc: 0.864602	valid_1's auc: 0.827291
[105]	training's auc: 0.864675	valid_1's auc: 0.827296
[106]	training's auc: 0.864738	valid_1's auc: 0.827287
[107]	training's auc: 0.864831	valid_1's auc: 0.827478
[108]	training's auc: 0.864862	valid_1's auc: 0.827448
[109]	training's auc: 0.864962	valid_1's auc: 0.82747
[110]	training's auc: 0.865013	valid_1's auc: 0.827451
[111]	training's auc: 0.865096	valid_1's auc: 0.827501
[112]	training's auc: 0.865158	valid_1's auc: 0.827511
[113]	training's auc: 0.865206	valid_1's auc: 0.827459
[114]	training's auc: 0.865261	valid_1's auc: 0.827453
[115]	training's auc: 0.865357	valid_1's auc: 0.827431
[116]	training's auc: 0.865425	valid_1's auc: 0.827495
[117]	training's auc: 0.865504	valid_1's auc: 0.82754
[118]	training's auc: 0.865626	valid_1's auc: 0.827729
[119]	training's auc: 0.865698	valid_1's auc: 0.827725
[120]	training's auc: 0.865753	valid_1's auc: 0.82774
[121]	training's auc: 0.865819	valid_1's auc: 0.827786
[122]	training's auc: 0.865868	valid_1's auc: 0.827812
[123]	training's auc: 0.865995	valid_1's auc: 0.827965
[124]	training's auc: 0.866087	valid_1's auc: 0.82797
[125]	training's auc: 0.866191	valid_1's auc: 0.828041
[126]	training's auc: 0.866264	valid_1's auc: 0.828061
