[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.782138	valid_1's auc: 0.732162
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.826036	valid_1's auc: 0.791831
[3]	training's auc: 0.825081	valid_1's auc: 0.790224
[4]	training's auc: 0.832494	valid_1's auc: 0.800068
[5]	training's auc: 0.8324	valid_1's auc: 0.797746
[6]	training's auc: 0.834382	valid_1's auc: 0.800617
[7]	training's auc: 0.837539	valid_1's auc: 0.804345
[8]	training's auc: 0.839259	valid_1's auc: 0.806137
[9]	training's auc: 0.839662	valid_1's auc: 0.806462
[10]	training's auc: 0.840739	valid_1's auc: 0.807215
[11]	training's auc: 0.842074	valid_1's auc: 0.807975
[12]	training's auc: 0.843049	valid_1's auc: 0.808805
[13]	training's auc: 0.844061	valid_1's auc: 0.810042
[14]	training's auc: 0.844752	valid_1's auc: 0.810533
[15]	training's auc: 0.845584	valid_1's auc: 0.81154
[16]	training's auc: 0.846346	valid_1's auc: 0.812706
[17]	training's auc: 0.846866	valid_1's auc: 0.812991
[18]	training's auc: 0.847548	valid_1's auc: 0.813928
[19]	training's auc: 0.847894	valid_1's auc: 0.814198
[20]	training's auc: 0.848577	valid_1's auc: 0.814904
[21]	training's auc: 0.849046	valid_1's auc: 0.815608
[22]	training's auc: 0.849596	valid_1's auc: 0.816032
[23]	training's auc: 0.850219	valid_1's auc: 0.816516
[24]	training's auc: 0.850901	valid_1's auc: 0.816971
[25]	training's auc: 0.851414	valid_1's auc: 0.817261
[26]	training's auc: 0.852065	valid_1's auc: 0.817531
[27]	training's auc: 0.852595	valid_1's auc: 0.818229
[28]	training's auc: 0.85312	valid_1's auc: 0.818684
[29]	training's auc: 0.853469	valid_1's auc: 0.819142
[30]	training's auc: 0.853867	valid_1's auc: 0.819626
[31]	training's auc: 0.854335	valid_1's auc: 0.820296
[32]	training's auc: 0.854837	valid_1's auc: 0.820689
[33]	training's auc: 0.855342	valid_1's auc: 0.821095
[34]	training's auc: 0.855795	valid_1's auc: 0.821512
[35]	training's auc: 0.856116	valid_1's auc: 0.821858
[36]	training's auc: 0.856354	valid_1's auc: 0.822072
[37]	training's auc: 0.856762	valid_1's auc: 0.822171
[38]	training's auc: 0.857171	valid_1's auc: 0.822493
[39]	training's auc: 0.85756	valid_1's auc: 0.822742
[40]	training's auc: 0.857996	valid_1's auc: 0.823272
[41]	training's auc: 0.858364	valid_1's auc: 0.823537
[42]	training's auc: 0.858753	valid_1's auc: 0.823743
[43]	training's auc: 0.859134	valid_1's auc: 0.82415
[44]	training's auc: 0.859513	valid_1's auc: 0.824302
[45]	training's auc: 0.859804	valid_1's auc: 0.824437
[46]	training's auc: 0.860204	valid_1's auc: 0.82482
[47]	training's auc: 0.860357	valid_1's auc: 0.825186
[48]	training's auc: 0.860765	valid_1's auc: 0.825408
[49]	training's auc: 0.861074	valid_1's auc: 0.825683
[50]	training's auc: 0.861411	valid_1's auc: 0.825805
[51]	training's auc: 0.861693	valid_1's auc: 0.825953
[52]	training's auc: 0.861955	valid_1's auc: 0.826077
[53]	training's auc: 0.862334	valid_1's auc: 0.826193
[54]	training's auc: 0.86257	valid_1's auc: 0.826361
[55]	training's auc: 0.86279	valid_1's auc: 0.826672
[56]	training's auc: 0.86305	valid_1's auc: 0.826966
[57]	training's auc: 0.863347	valid_1's auc: 0.827028
[58]	training's auc: 0.863613	valid_1's auc: 0.827311
[59]	training's auc: 0.863776	valid_1's auc: 0.827421
[60]	training's auc: 0.864046	valid_1's auc: 0.82753
[61]	training's auc: 0.864297	valid_1's auc: 0.827717
[62]	training's auc: 0.864554	valid_1's auc: 0.827818
[63]	training's auc: 0.864812	valid_1's auc: 0.828041
[64]	training's auc: 0.86494	valid_1's auc: 0.828132
[65]	training's auc: 0.865224	valid_1's auc: 0.828195
[66]	training's auc: 0.865399	valid_1's auc: 0.828245
[67]	training's auc: 0.865485	valid_1's auc: 0.828366
[68]	training's auc: 0.865615	valid_1's auc: 0.828451
[69]	training's auc: 0.865815	valid_1's auc: 0.828491
[70]	training's auc: 0.865998	valid_1's auc: 0.828563
[71]	training's auc: 0.866214	valid_1's auc: 0.828593
[72]	training's auc: 0.866369	valid_1's auc: 0.828787
[73]	training's auc: 0.866558	valid_1's auc: 0.828919
[74]	training's auc: 0.866713	valid_1's auc: 0.829017
[75]	training's auc: 0.866985	valid_1's auc: 0.829068
[76]	training's auc: 0.867135	valid_1's auc: 0.829108
[77]	training's auc: 0.86732	valid_1's auc: 0.829057
[78]	training's auc: 0.867466	valid_1's auc: 0.829046
[79]	training's auc: 0.867619	valid_1's auc: 0.829105
[80]	training's auc: 0.867875	valid_1's auc: 0.829026
[81]	training's auc: 0.868104	valid_1's auc: 0.829155
[82]	training's auc: 0.868218	valid_1's auc: 0.829385
[83]	training's auc: 0.868423	valid_1's auc: 0.829627
[84]	training's auc: 0.868627	valid_1's auc: 0.829665
[85]	training's auc: 0.868827	valid_1's auc: 0.829804
[86]	training's auc: 0.868961	valid_1's auc: 0.829745
[87]	training's auc: 0.869176	valid_1's auc: 0.8298
[88]	training's auc: 0.869307	valid_1's auc: 0.829827
[89]	training's auc: 0.869532	valid_1's auc: 0.829912
[90]	training's auc: 0.869766	valid_1's auc: 0.83012
[91]	training's auc: 0.8699	valid_1's auc: 0.830174
[92]	training's auc: 0.870107	valid_1's auc: 0.830339
[93]	training's auc: 0.870267	valid_1's auc: 0.830493
[94]	training's auc: 0.870399	valid_1's auc: 0.830487
[95]	training's auc: 0.87055	valid_1's auc: 0.830586
[96]	training's auc: 0.870648	valid_1's auc: 0.830596
[97]	training's auc: 0.870801	valid_1's auc: 0.830608
[98]	training's auc: 0.870961	valid_1's auc: 0.830656
[99]	training's auc: 0.871059	valid_1's auc: 0.830644
[100]	training's auc: 0.871286	valid_1's auc: 0.830531
[101]	training's auc: 0.871431	valid_1's auc: 0.830596
[102]	training's auc: 0.871536	valid_1's auc: 0.830561
[103]	training's auc: 0.871716	valid_1's auc: 0.830712
[104]	training's auc: 0.871824	valid_1's auc: 0.830694
[105]	training's auc: 0.872002	valid_1's auc: 0.830743
[106]	training's auc: 0.872088	valid_1's auc: 0.830786
[107]	training's auc: 0.872169	valid_1's auc: 0.83086
[108]	training's auc: 0.872291	valid_1's auc: 0.830944
[109]	training's auc: 0.872458	valid_1's auc: 0.830904
[110]	training's auc: 0.87258	valid_1's auc: 0.830904
[111]	training's auc: 0.872697	valid_1's auc: 0.830958
[112]	training's auc: 0.872832	valid_1's auc: 0.830929
[113]	training's auc: 0.872972	valid_1's auc: 0.831177
[114]	training's auc: 0.873093	valid_1's auc: 0.831226
[115]	training's auc: 0.873233	valid_1's auc: 0.831266
[116]	training's auc: 0.873311	valid_1's auc: 0.831393
[117]	training's auc: 0.87347	valid_1's auc: 0.831303
[118]	training's auc: 0.873555	valid_1's auc: 0.83147
[119]	training's auc: 0.873655	valid_1's auc: 0.831471
[120]	training's auc: 0.873794	valid_1's auc: 0.831353
[121]	training's auc: 0.873986	valid_1's auc: 0.831387
