[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.766244	valid_1's auc: 0.721892
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.82293	valid_1's auc: 0.78784
[3]	training's auc: 0.825176	valid_1's auc: 0.78971
[4]	training's auc: 0.832711	valid_1's auc: 0.801821
[5]	training's auc: 0.831467	valid_1's auc: 0.799392
[6]	training's auc: 0.835411	valid_1's auc: 0.803998
[7]	training's auc: 0.838606	valid_1's auc: 0.806704
[8]	training's auc: 0.840745	valid_1's auc: 0.809561
[9]	training's auc: 0.841914	valid_1's auc: 0.810982
[10]	training's auc: 0.843267	valid_1's auc: 0.811624
[11]	training's auc: 0.844835	valid_1's auc: 0.813009
[12]	training's auc: 0.846013	valid_1's auc: 0.813611
[13]	training's auc: 0.846671	valid_1's auc: 0.815053
[14]	training's auc: 0.847396	valid_1's auc: 0.815261
[15]	training's auc: 0.848517	valid_1's auc: 0.816187
[16]	training's auc: 0.849444	valid_1's auc: 0.817269
[17]	training's auc: 0.850095	valid_1's auc: 0.817469
[18]	training's auc: 0.850378	valid_1's auc: 0.817768
[19]	training's auc: 0.850677	valid_1's auc: 0.818174
[20]	training's auc: 0.851632	valid_1's auc: 0.818981
[21]	training's auc: 0.852261	valid_1's auc: 0.819341
[22]	training's auc: 0.852781	valid_1's auc: 0.820009
[23]	training's auc: 0.853558	valid_1's auc: 0.820469
[24]	training's auc: 0.854535	valid_1's auc: 0.821046
[25]	training's auc: 0.855277	valid_1's auc: 0.821496
[26]	training's auc: 0.855957	valid_1's auc: 0.821908
[27]	training's auc: 0.856565	valid_1's auc: 0.822194
[28]	training's auc: 0.857225	valid_1's auc: 0.822851
[29]	training's auc: 0.85745	valid_1's auc: 0.823413
[30]	training's auc: 0.857981	valid_1's auc: 0.824179
[31]	training's auc: 0.858441	valid_1's auc: 0.824944
[32]	training's auc: 0.859063	valid_1's auc: 0.825522
[33]	training's auc: 0.859279	valid_1's auc: 0.825654
[34]	training's auc: 0.859425	valid_1's auc: 0.825984
[35]	training's auc: 0.859774	valid_1's auc: 0.826212
[36]	training's auc: 0.860104	valid_1's auc: 0.826558
[37]	training's auc: 0.860737	valid_1's auc: 0.826851
[38]	training's auc: 0.861218	valid_1's auc: 0.826867
[39]	training's auc: 0.86166	valid_1's auc: 0.826964
[40]	training's auc: 0.862058	valid_1's auc: 0.827073
[41]	training's auc: 0.862464	valid_1's auc: 0.827317
[42]	training's auc: 0.862831	valid_1's auc: 0.827419
[43]	training's auc: 0.863055	valid_1's auc: 0.827605
[44]	training's auc: 0.863357	valid_1's auc: 0.827785
[45]	training's auc: 0.863711	valid_1's auc: 0.827823
[46]	training's auc: 0.864023	valid_1's auc: 0.828007
[47]	training's auc: 0.8641	valid_1's auc: 0.828046
[48]	training's auc: 0.86445	valid_1's auc: 0.828113
[49]	training's auc: 0.864737	valid_1's auc: 0.828265
[50]	training's auc: 0.865051	valid_1's auc: 0.828342
[51]	training's auc: 0.865365	valid_1's auc: 0.828592
[52]	training's auc: 0.865515	valid_1's auc: 0.828854
[53]	training's auc: 0.865863	valid_1's auc: 0.828979
[54]	training's auc: 0.866073	valid_1's auc: 0.829148
[55]	training's auc: 0.866381	valid_1's auc: 0.829276
[56]	training's auc: 0.866658	valid_1's auc: 0.829342
[57]	training's auc: 0.866951	valid_1's auc: 0.829464
[58]	training's auc: 0.867177	valid_1's auc: 0.829555
[59]	training's auc: 0.867398	valid_1's auc: 0.829802
[60]	training's auc: 0.867659	valid_1's auc: 0.829814
[61]	training's auc: 0.867761	valid_1's auc: 0.830092
[62]	training's auc: 0.868013	valid_1's auc: 0.830123
[63]	training's auc: 0.868273	valid_1's auc: 0.830359
[64]	training's auc: 0.868486	valid_1's auc: 0.830648
[65]	training's auc: 0.868617	valid_1's auc: 0.830628
[66]	training's auc: 0.868682	valid_1's auc: 0.830688
[67]	training's auc: 0.868747	valid_1's auc: 0.830846
[68]	training's auc: 0.86882	valid_1's auc: 0.830898
[69]	training's auc: 0.869049	valid_1's auc: 0.830888
[70]	training's auc: 0.869212	valid_1's auc: 0.830862
[71]	training's auc: 0.869344	valid_1's auc: 0.830976
[72]	training's auc: 0.869392	valid_1's auc: 0.831026
[73]	training's auc: 0.869557	valid_1's auc: 0.831106
[74]	training's auc: 0.869699	valid_1's auc: 0.831468
[75]	training's auc: 0.869757	valid_1's auc: 0.831554
[76]	training's auc: 0.869946	valid_1's auc: 0.831548
[77]	training's auc: 0.870107	valid_1's auc: 0.831572
[78]	training's auc: 0.870215	valid_1's auc: 0.831592
[79]	training's auc: 0.870388	valid_1's auc: 0.831608
[80]	training's auc: 0.870482	valid_1's auc: 0.831565
[81]	training's auc: 0.870577	valid_1's auc: 0.831762
[82]	training's auc: 0.870654	valid_1's auc: 0.831745
[83]	training's auc: 0.870921	valid_1's auc: 0.831759
[84]	training's auc: 0.871075	valid_1's auc: 0.831695
[85]	training's auc: 0.871382	valid_1's auc: 0.831748
