[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.760739	valid_1's auc: 0.716105
Training until validation scores don't improve for 90 rounds
[2]	training's auc: 0.81789	valid_1's auc: 0.784486
[3]	training's auc: 0.818101	valid_1's auc: 0.785989
[4]	training's auc: 0.826447	valid_1's auc: 0.797181
[5]	training's auc: 0.825266	valid_1's auc: 0.794615
[6]	training's auc: 0.830012	valid_1's auc: 0.800485
[7]	training's auc: 0.834272	valid_1's auc: 0.804082
[8]	training's auc: 0.834954	valid_1's auc: 0.804848
[9]	training's auc: 0.835732	valid_1's auc: 0.806273
[10]	training's auc: 0.837159	valid_1's auc: 0.806287
[11]	training's auc: 0.840071	valid_1's auc: 0.808869
[12]	training's auc: 0.841877	valid_1's auc: 0.810171
[13]	training's auc: 0.842867	valid_1's auc: 0.811602
[14]	training's auc: 0.843807	valid_1's auc: 0.812044
[15]	training's auc: 0.845059	valid_1's auc: 0.812975
[16]	training's auc: 0.846211	valid_1's auc: 0.814469
[17]	training's auc: 0.846909	valid_1's auc: 0.814646
[18]	training's auc: 0.847338	valid_1's auc: 0.815095
[19]	training's auc: 0.847638	valid_1's auc: 0.815426
[20]	training's auc: 0.8486	valid_1's auc: 0.815881
[21]	training's auc: 0.849202	valid_1's auc: 0.816578
[22]	training's auc: 0.849724	valid_1's auc: 0.817285
[23]	training's auc: 0.85054	valid_1's auc: 0.818136
[24]	training's auc: 0.851507	valid_1's auc: 0.818622
[25]	training's auc: 0.852308	valid_1's auc: 0.818998
[26]	training's auc: 0.852967	valid_1's auc: 0.8195
[27]	training's auc: 0.853587	valid_1's auc: 0.819872
[28]	training's auc: 0.854197	valid_1's auc: 0.820531
[29]	training's auc: 0.854495	valid_1's auc: 0.820964
[30]	training's auc: 0.854991	valid_1's auc: 0.821387
[31]	training's auc: 0.855462	valid_1's auc: 0.821665
[32]	training's auc: 0.85568	valid_1's auc: 0.822082
[33]	training's auc: 0.855874	valid_1's auc: 0.822236
[34]	training's auc: 0.856064	valid_1's auc: 0.822557
[35]	training's auc: 0.856373	valid_1's auc: 0.822911
[36]	training's auc: 0.856499	valid_1's auc: 0.823272
[37]	training's auc: 0.857064	valid_1's auc: 0.823514
[38]	training's auc: 0.857561	valid_1's auc: 0.823726
[39]	training's auc: 0.858028	valid_1's auc: 0.823936
[40]	training's auc: 0.858503	valid_1's auc: 0.823922
[41]	training's auc: 0.858887	valid_1's auc: 0.824253
[42]	training's auc: 0.859217	valid_1's auc: 0.824696
[43]	training's auc: 0.859494	valid_1's auc: 0.825074
[44]	training's auc: 0.859844	valid_1's auc: 0.825573
[45]	training's auc: 0.860206	valid_1's auc: 0.825655
[46]	training's auc: 0.860643	valid_1's auc: 0.825754
[47]	training's auc: 0.860729	valid_1's auc: 0.825928
[48]	training's auc: 0.861069	valid_1's auc: 0.826065
[49]	training's auc: 0.861373	valid_1's auc: 0.82622
[50]	training's auc: 0.861751	valid_1's auc: 0.826284
[51]	training's auc: 0.862041	valid_1's auc: 0.826534
[52]	training's auc: 0.862192	valid_1's auc: 0.826664
[53]	training's auc: 0.862534	valid_1's auc: 0.826798
[54]	training's auc: 0.862748	valid_1's auc: 0.827044
[55]	training's auc: 0.862964	valid_1's auc: 0.827515
[56]	training's auc: 0.863209	valid_1's auc: 0.82755
[57]	training's auc: 0.863498	valid_1's auc: 0.827484
[58]	training's auc: 0.863772	valid_1's auc: 0.827647
[59]	training's auc: 0.863976	valid_1's auc: 0.827732
[60]	training's auc: 0.864351	valid_1's auc: 0.827855
[61]	training's auc: 0.864387	valid_1's auc: 0.828025
[62]	training's auc: 0.864604	valid_1's auc: 0.828095
[63]	training's auc: 0.86483	valid_1's auc: 0.828453
[64]	training's auc: 0.865039	valid_1's auc: 0.828715
[65]	training's auc: 0.865214	valid_1's auc: 0.828765
[66]	training's auc: 0.865307	valid_1's auc: 0.828899
[67]	training's auc: 0.86535	valid_1's auc: 0.828907
[68]	training's auc: 0.865395	valid_1's auc: 0.828963
[69]	training's auc: 0.865605	valid_1's auc: 0.828993
[70]	training's auc: 0.865819	valid_1's auc: 0.829151
[71]	training's auc: 0.865965	valid_1's auc: 0.829155
[72]	training's auc: 0.866032	valid_1's auc: 0.829199
[73]	training's auc: 0.866142	valid_1's auc: 0.829338
[74]	training's auc: 0.866375	valid_1's auc: 0.829633
[75]	training's auc: 0.866418	valid_1's auc: 0.829642
[76]	training's auc: 0.866614	valid_1's auc: 0.82964
[77]	training's auc: 0.866829	valid_1's auc: 0.829672
[78]	training's auc: 0.867025	valid_1's auc: 0.829828
[79]	training's auc: 0.867108	valid_1's auc: 0.829921
[80]	training's auc: 0.867231	valid_1's auc: 0.829857
[81]	training's auc: 0.867337	valid_1's auc: 0.830078
[82]	training's auc: 0.867374	valid_1's auc: 0.830162
[83]	training's auc: 0.867552	valid_1's auc: 0.830304
[84]	training's auc: 0.867769	valid_1's auc: 0.830325
[85]	training's auc: 0.867965	valid_1's auc: 0.830284
[86]	training's auc: 0.868209	valid_1's auc: 0.830341
[87]	training's auc: 0.868262	valid_1's auc: 0.830504
[88]	training's auc: 0.868434	valid_1's auc: 0.830569
[89]	training's auc: 0.868548	valid_1's auc: 0.830884
[90]	training's auc: 0.868699	valid_1's auc: 0.830855
[91]	training's auc: 0.868949	valid_1's auc: 0.830739
[92]	training's auc: 0.869077	valid_1's auc: 0.83078
[93]	training's auc: 0.869175	valid_1's auc: 0.830778
[94]	training's auc: 0.869278	valid_1's auc: 0.830852
[95]	training's auc: 0.869405	valid_1's auc: 0.830759
[96]	training's auc: 0.869458	valid_1's auc: 0.830901
[97]	training's auc: 0.869589	valid_1's auc: 0.830876
[98]	training's auc: 0.869689	valid_1's auc: 0.830839
[99]	training's auc: 0.86982	valid_1's auc: 0.830836
[100]	training's auc: 0.869942	valid_1's auc: 0.830772
[101]	training's auc: 0.870065	valid_1's auc: 0.830842
[102]	training's auc: 0.870177	valid_1's auc: 0.830882
[103]	training's auc: 0.87021	valid_1's auc: 0.830888
[104]	training's auc: 0.87033	valid_1's auc: 0.83085
[105]	training's auc: 0.870572	valid_1's auc: 0.830915
[106]	training's auc: 0.87072	valid_1's auc: 0.830912
[107]	training's auc: 0.870768	valid_1's auc: 0.831016
[108]	training's auc: 0.870818	valid_1's auc: 0.831099
[109]	training's auc: 0.8709	valid_1's auc: 0.831093
[110]	training's auc: 0.870959	valid_1's auc: 0.831159
[111]	training's auc: 0.871018	valid_1's auc: 0.831181
[112]	training's auc: 0.87117	valid_1's auc: 0.831298
[113]	training's auc: 0.871357	valid_1's auc: 0.831553
[114]	training's auc: 0.871454	valid_1's auc: 0.831546
[115]	training's auc: 0.871579	valid_1's auc: 0.831543
[116]	training's auc: 0.871624	valid_1's auc: 0.831591
[117]	training's auc: 0.871783	valid_1's auc: 0.831634
[118]	training's auc: 0.871837	valid_1's auc: 0.83174
[119]	training's auc: 0.871933	valid_1's auc: 0.831752
[120]	training's auc: 0.872024	valid_1's auc: 0.831596
[121]	training's auc: 0.872073	valid_1's auc: 0.831549
[122]	training's auc: 0.872271	valid_1's auc: 0.831428
[123]	training's auc: 0.872379	valid_1's auc: 0.831432
[124]	training's auc: 0.872504	valid_1's auc: 0.83138
[125]	training's auc: 0.872606	valid_1's auc: 0.831603
[126]	training's auc: 0.872683	valid_1's auc: 0.831619
[127]	training's auc: 0.872729	valid_1's auc: 0.831503
[128]	training's auc: 0.872882	valid_1's auc: 0.831441
[129]	training's auc: 0.872908	valid_1's auc: 0.831532
[130]	training's auc: 0.873008	valid_1's auc: 0.831609
[131]	training's auc: 0.873102	valid_1's auc: 0.831636
[132]	training's auc: 0.873219	valid_1's auc: 0.831632
[133]	training's auc: 0.873266	valid_1's auc: 0.831766
[134]	training's auc: 0.873384	valid_1's auc: 0.831812
[135]	training's auc: 0.873549	valid_1's auc: 0.831845
[136]	training's auc: 0.873614	valid_1's auc: 0.831891
[137]	training's auc: 0.87372	valid_1's auc: 0.83196
[138]	training's auc: 0.873764	valid_1's auc: 0.832001
[139]	training's auc: 0.873856	valid_1's auc: 0.832159
[140]	training's auc: 0.873938	valid_1's auc: 0.832172
[141]	training's auc: 0.873989	valid_1's auc: 0.83229
